TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-aker,3480,FrostByte,1,10,180,250,5,WC,
1516resq-aker,5532,Cacophony Wolves,2,10,87,92,5,FC,
1516resq-aker,9843,Fire Island Robotics,3,8,179,174,5,W1,
1516resq-aker,9019,Nuclear Wolves,4,8,178,250,5,F1,
1516resq-aker,7298,Polar Bots,5,8,109,148,5,SC,
1516resq-aker,5530,I 8 Sum Pi,6,8,109,58,5,S1,
1516resq-aker,5215,THAT Team,7,7,167,81,5,SC,
1516resq-aker,5247,Panzershrekt,8,7,138,59,5,,
1516resq-aker,3492,Team Zip Tie,9,6,172,157,5,,
1516resq-aker,8539,Bazinga Bots,10,6,133,174,5,W2,
1516resq-aker,4539,Tacobots,11,6,111,59,5,S2,
1516resq-aker,8311,Trial and Error,12,6,108,182,5,,
1516resq-aker,10513,Smart Metal,13,4,148,58,5,F2,
1516resq-aker,3208,Rockit 3.0,14,4,138,83,5,,
1516resq-aker,3826,Crimson Omega,15,4,138,55,5,,
1516resq-aker,5394,Objective A,16,4,135,58,5,S1,
1516resq-aker,8469,Think Again,17,4,132,63,5,,
1516resq-aker,9180,Phantom Wolves,18,4,118,94,5,,
1516resq-aker,4955,We're the FLUXBOTS,19,4,97,63,5,,
1516resq-aker,9781,Gravity Check,20,4,70,48,5,,
1516resq-aker,7388,StarBots,21,4,67,63,5,,
1516resq-aker,10610,Mears Gears,22,3,123,170,5,,
1516resq-aker,10998,MechaLynx,23,3,118,67,5,,
1516resq-aker,3825,SnoBots,24,2,142,86,5,S2,
1516resq-aker,5664,The Wolfpack,25,2,111,40,5,,
1516resq-aker,10647,Blue Epsilon,26,2,90,58,5,,
1516resq-aker,6695,Frost Bots,27,2,52,43,5,,
1516resq-aker,4954,SPECTRE,28,0,150,62,5,,
