TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-az-cmp,8995,Mogollon Rim Jaegers,1,12,394,339,6,WC,1.00,182.7,158.2,177.3,153.4,17.9,15.3,0.0,0.0,150.3,129.1,11.8,11.2,2.7,2.4,2.6,2.2,
1516resq-az-cmp,5132,AHERT Ravens,2,10,356,339,6,W1,0.83,120.8,109.4,124.2,111.5,3.6,3.6,0.0,0.0,101.1,91.8,17.2,14.5,-1.1,-0.6,-2.3,-1.6,
1516resq-az-cmp,7156,SHPE Wolves #2,3,10,332,201,6,SC,0.83,78.5,71.5,81.5,73.4,5.3,4.7,0.0,0.0,45.5,42.6,28.9,24.9,-1.2,-0.9,-1.7,-1.1,
1516resq-az-cmp,8640,Trojan Robotics,4,10,294,237,6,FC,0.83,99.7,86.3,104.7,89.6,4.1,3.4,0.0,0.0,100.2,86.1,-2.2,-1.8,-2.4,-1.7,-2.6,-1.9,
1516resq-az-cmp,6174,Odyssey Automatons,5,10,238,120,6,SC,0.83,37.5,38.5,33.4,34.9,1.9,1.9,0.0,0.0,32.2,34.0,1.4,0.9,2.0,1.5,2.1,2.0,
1516resq-az-cmp,5661,SHPE Wolves,6,10,221,237,6,S1,0.83,88.2,86.2,84.1,82.9,7.5,7.3,0.0,0.0,52.8,53.6,28.3,25.5,-0.4,-0.4,4.5,3.5,
1516resq-az-cmp,201,BroncoBotics,7,9,405,126,6,,0.75,36.6,40.8,32.2,37.0,-0.4,0.1,0.0,0.0,39.1,41.3,-5.2,-3.4,3.1,2.6,1.2,1.0,
1516resq-az-cmp,10924,Beta Hawks,8,8,411,149,6,,0.67,23.7,31.8,15.2,24.8,0.4,1.0,0.0,0.0,21.3,28.1,-5.9,-4.1,7.9,6.7,0.5,0.2,
1516resq-az-cmp,2844,Valley X Robotics,9,8,395,183,6,S1,0.67,63.2,57.7,60.9,55.1,2.3,2.0,0.0,0.0,63.7,57.1,-2.1,-1.4,-0.6,-0.2,3.0,2.6,
1516resq-az-cmp,10523,Dragons,10,8,392,162,6,F2,0.67,70.8,64.5,71.1,64.4,1.7,1.6,0.0,0.0,52.1,47.7,17.5,15.2,-0.5,-0.1,0.1,0.1,
1516resq-az-cmp,10780,Geek Bots,11,7,283,155,6,W2,0.58,39.5,39.9,33.9,34.9,1.3,1.2,0.0,0.0,26.5,28.6,5.9,4.9,5.8,4.9,-0.2,-0.1,
