TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-az-gy-Q-1,Q-1,42-56 B,6526,6174,0,8640,10523,0,42,5,0,37,0,0,56,0,0,56,0,0,
1516resq-az-gy-Q-2,Q-2,42-68 B,7156,7221,0,6900,8995,0,42,0,0,2,0,40,68,0,0,68,0,0,
1516resq-az-gy-Q-3,Q-3,39-44 B,10981,9695,0,8784,8499,0,39,0,0,39,0,0,44,0,0,34,0,10,
1516resq-az-gy-Q-4,Q-4,14-95 B,7807,4314,0,2844,7167,0,14,0,0,14,0,0,95,0,0,95,0,0,
1516resq-az-gy-Q-5,Q-5,58-89 B,6471,10984,0,10239,3666,0,58,5,0,53,0,0,89,5,0,4,80,0,
1516resq-az-gy-Q-6,Q-6,1-7 B,8081,6422,0,2944,7716,0,1,0,0,1,0,0,7,0,0,7,0,0,
1516resq-az-gy-Q-7,Q-7,25-25 T,6526,9695,0,2844,7221,0,25,0,0,25,0,0,25,0,0,25,0,0,
1516resq-az-gy-Q-8,Q-8,36-67 B,7167,6900,0,10523,10984,0,36,0,0,36,0,0,67,5,0,62,0,0,
1516resq-az-gy-Q-9,Q-9,161-129 R,8995,6422,0,6174,4314,0,161,5,0,156,0,0,129,45,0,84,0,0,
1516resq-az-gy-Q-10,Q-10,11-78 B,10981,8081,0,6471,8640,0,11,0,0,11,0,0,78,0,0,78,0,0,
1516resq-az-gy-Q-11,Q-11,56-23 R,8499,7807,0,2944,10239,0,56,0,0,16,0,40,23,0,0,23,0,0,
1516resq-az-gy-Q-12,Q-12,21-61 B,7716,7156,0,8784,3666,0,21,0,0,21,0,0,61,5,0,56,0,0,
1516resq-az-gy-Q-13,Q-13,231-11 R,6471,8995,0,7167,6526,0,231,5,0,146,80,0,11,0,0,11,0,0,
1516resq-az-gy-Q-14,Q-14,140-19 R,2844,6174,0,8081,8499,0,140,15,0,125,0,0,19,0,0,19,0,0,
1516resq-az-gy-Q-15,Q-15,70-28 R,10523,8784,0,7807,6422,0,70,0,0,70,0,0,28,0,0,28,0,0,
1516resq-az-gy-Q-16,Q-16,60-156 B,9695,2944,0,7156,10984,0,60,0,0,20,0,40,156,5,0,101,0,50,
1516resq-az-gy-Q-17,Q-17,53-35 R,10239,8640,0,7221,7716,0,53,5,0,48,0,0,35,0,0,35,0,0,
1516resq-az-gy-Q-18,Q-18,70-66 R,4314,3666,0,6900,10981,0,70,5,0,65,0,0,66,0,0,66,0,0,
1516resq-az-gy-Q-19,Q-19,16-125 B,6422,8499,0,6471,7156,0,16,0,0,16,0,0,125,5,0,90,20,10,
1516resq-az-gy-Q-20,Q-20,82-148 B,8640,2844,0,10984,8995,0,82,20,0,62,0,0,148,5,0,143,0,0,
1516resq-az-gy-Q-21,Q-21,95-38 R,10523,10239,0,4314,9695,0,95,5,0,50,0,40,38,5,0,33,0,0,
1516resq-az-gy-Q-22,Q-22,24-101 B,7221,8081,0,3666,7167,0,24,0,0,24,0,0,101,5,0,96,0,0,
1516resq-az-gy-Q-23,Q-23,13-108 B,2944,6900,0,6174,8784,0,13,0,0,13,0,0,108,25,0,83,0,0,
1516resq-az-gy-Q-24,Q-24,16-38 B,6526,7716,0,10981,7807,0,16,0,0,16,0,0,38,0,0,38,0,0,
1516resq-az-gy-Q-25,Q-25,75-72 R,3666,10523,0,8995,8499,0,75,5,0,70,0,0,72,25,0,37,0,10,
1516resq-az-gy-Q-26,Q-26,8-34 B,2944,7221,0,6471,4314,0,8,0,0,8,0,0,34,0,0,34,0,0,
1516resq-az-gy-Q-27,Q-27,22-59 B,6900,7807,0,8640,9695,0,22,0,0,22,0,0,59,5,0,54,0,0,
1516resq-az-gy-Q-28,Q-28,86-36 R,10239,2844,0,6422,10981,0,86,5,0,81,0,0,36,0,0,16,0,20,
1516resq-az-gy-Q-29,Q-29,101-62 R,7156,7167,0,6174,7716,0,101,0,0,101,0,0,62,0,0,62,0,0,
1516resq-az-gy-Q-30,Q-30,70-10 R,8784,10984,0,6526,8081,0,70,5,0,65,0,0,10,0,0,10,0,0,
1516resq-az-gy-SF-1-1,SF-1-1,92-179 B,3666,8640,7167,8995,6471,6900,92,0,0,52,0,40,179,5,0,94,80,0,
1516resq-az-gy-SF-2-1,SF-2-1,95-53 R,10523,10984,2844,8784,10239,4314,95,0,0,95,0,0,53,0,0,53,0,0,
1516resq-az-gy-SF-1-2,SF-1-2,19-92 B,3666,8640,7167,8995,6471,6900,19,5,0,14,0,0,92,5,0,87,0,0,
1516resq-az-gy-SF-2-2,SF-2-2,73-28 R,10523,10984,2844,8784,10239,4314,73,5,0,68,0,0,28,5,0,23,0,0,
1516resq-az-gy-F-1,F-1,171-161 R,8995,6471,6900,10523,10984,2844,171,0,0,91,80,0,161,25,0,136,0,0,
1516resq-az-gy-F-2,F-2,190-83 R,8995,6471,6900,10523,10984,2844,190,5,0,105,80,0,83,5,0,78,0,0,
