TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-ca-bu-Q-1,Q-1,15-55 B,10163,5214,0,9578,7591,0,15,0,0,15,0,0,55,5,0,50,0,0,
1516resq-ca-bu-Q-2,Q-2,54-27 R,9144,8404,0,4475,9924,0,54,0,0,54,0,0,27,0,0,27,0,0,
1516resq-ca-bu-Q-3,Q-3,25-87 B,3791,10340,0,524,6982,0,25,0,0,25,0,0,87,0,0,77,0,10,
1516resq-ca-bu-Q-4,Q-4,40-30 R,8804,3873,0,9456,8367,0,40,0,0,40,0,0,30,0,0,10,0,20,
1516resq-ca-bu-Q-5,Q-5,14-22 B,7175,9578,0,3791,9924,0,14,0,0,14,0,0,22,0,0,2,0,20,
1516resq-ca-bu-Q-6,Q-6,5-51 B,9144,6982,0,8367,8804,0,5,0,0,5,0,0,51,0,0,51,0,0,
1516resq-ca-bu-Q-7,Q-7,188-103 R,4475,7591,0,7175,10340,0,188,0,0,108,80,0,103,0,0,43,0,60,
1516resq-ca-bu-Q-8,Q-8,3-45 B,5214,9456,0,524,10163,0,3,0,0,3,0,0,45,0,0,45,0,0,
1516resq-ca-bu-Q-9,Q-9,60-52 R,8404,7175,0,3873,10340,0,60,0,0,60,0,0,52,0,0,52,0,0,
1516resq-ca-bu-Q-10,Q-10,106-21 R,524,8367,0,4475,9578,0,106,0,0,106,0,0,21,0,0,21,0,0,
1516resq-ca-bu-Q-11,Q-11,9-38 B,9144,9456,0,3791,7591,0,9,0,0,9,0,0,38,0,0,38,0,0,
1516resq-ca-bu-Q-12,Q-12,24-15 R,9924,8404,0,8804,5214,0,24,0,0,24,0,0,15,5,0,10,0,0,
1516resq-ca-bu-Q-13,Q-13,27-34 B,6982,10163,0,3873,9144,0,27,5,0,22,0,0,34,0,0,34,0,0,
1516resq-ca-bu-Q-14,Q-14,47-30 R,9924,8367,0,10340,9456,0,47,0,0,47,0,0,30,0,0,30,0,0,
1516resq-ca-bu-Q-15,Q-15,19-44 B,8804,524,0,10163,7175,0,19,5,0,14,0,0,44,0,0,44,0,0,
1516resq-ca-bu-Q-16,Q-16,13-94 B,9578,6982,0,7591,8404,0,13,0,0,13,0,0,94,0,0,84,0,10,
1516resq-ca-bu-Q-17,Q-17,36-54 B,5214,3873,0,4475,3791,0,36,0,0,36,0,0,54,5,0,49,0,0,
1516resq-ca-bu-Q-18,Q-18,65-14 R,10340,9578,0,9144,8804,0,65,5,0,60,0,0,14,0,0,14,0,0,
1516resq-ca-bu-Q-19,Q-19,36-81 B,3791,10163,0,8367,8404,0,36,0,0,16,0,20,81,0,0,81,0,0,
1516resq-ca-bu-Q-20,Q-20,38-1 R,7175,4475,0,9456,6982,0,38,0,0,38,0,0,1,0,0,1,0,0,
1516resq-ca-bu-Q-21,Q-21,204-164 R,9924,7591,0,524,3873,0,204,0,0,104,80,20,164,0,0,84,80,0,
1516resq-ca-bu-Q-22,Q-22,65-29 R,5214,8367,0,9144,7175,0,65,0,0,55,0,10,29,0,0,29,0,0,
1516resq-ca-bu-SF-1-1,SF-1-1,204-76 R,7591,3873,0,524,3791,0,204,0,0,124,80,0,76,0,0,76,0,0,
1516resq-ca-bu-SF-2-1,SF-2-1,68-41 R,8404,8367,0,9924,4475,0,68,0,0,68,0,0,41,5,0,36,0,0,
1516resq-ca-bu-SF-1-2,SF-1-2,121-47 R,7591,3873,0,524,3791,0,121,0,0,121,0,0,47,0,0,47,0,0,
1516resq-ca-bu-SF-2-2,SF-2-2,75-14 R,8404,8367,0,9924,4475,0,75,0,0,65,0,10,14,0,0,14,0,0,
1516resq-ca-bu-F-1,F-1,33-60 B,7591,3873,0,8404,8367,0,33,0,0,33,0,0,60,0,0,60,0,0,
1516resq-ca-bu-F-2,F-2,222-85 R,7591,3873,0,8404,8367,0,222,0,0,132,80,10,85,0,0,75,0,10,
1516resq-ca-bu-F-3,F-3,48-89 B,7591,3873,0,8404,8367,0,48,0,0,48,0,0,89,0,0,89,0,0,
