TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-ca-bu,7591,Voltage of Imagination,1,10,244,204,5,FC,1.00,103.8,86.4,86.7,72.5,0.4,0.4,0.0,0.0,63.6,54.0,33.3,26.8,6.4,4.9,10.7,8.8,
1516resq-ca-bu,8404,Quixilver,2,10,123,94,5,WC,1.00,19.8,24.3,21.4,24.2,0.2,0.1,0.0,0.0,31.6,31.3,-8.8,-5.6,-3.3,-1.8,1.7,1.7,
1516resq-ca-bu,9924,The White Hat Hackers,3,8,250,204,5,SC,0.80,25.1,26.9,23.6,24.5,-0.3,-0.2,0.0,0.0,7.2,11.3,11.6,10.0,6.6,5.6,-5.1,-3.5,
1516resq-ca-bu,8367,ACME Robotics,4,8,106,106,5,W1,0.80,46.6,41.1,38.7,34.5,-0.5,-0.4,0.0,0.0,45.1,39.6,-2.0,-1.7,4.0,3.4,3.9,3.0,
1516resq-ca-bu,524,Boss Bots,5,6,232,164,5,SC,0.60,62.7,56.1,60.7,53.4,0.6,0.5,0.0,0.0,46.0,41.6,14.9,12.7,1.2,1.1,0.8,1.4,
1516resq-ca-bu,4475,Purple Reign,6,6,128,188,5,S1,0.60,38.8,35.6,33.1,30.0,0.7,0.6,0.0,0.0,31.9,28.4,10.8,9.6,-4.6,-3.2,10.3,8.6,
1516resq-ca-bu,7175,Walbots,7,6,115,60,5,,0.60,28.7,27.2,14.9,15.5,-0.7,-0.5,0.0,0.0,17.6,18.2,1.1,0.6,10.7,8.7,3.2,2.9,
1516resq-ca-bu,3791,Ziptiez,8,6,100,54,5,S1,0.60,-10.7,-0.6,-13.9,-4.4,0.5,0.5,0.0,0.0,-4.2,2.1,-11.2,-7.4,4.3,4.1,-1.1,-0.4,
1516resq-ca-bu,3873,Scotbotics,9,4,289,164,5,F1,0.40,40.1,38.8,34.2,33.4,-0.8,-0.6,0.0,0.0,29.1,28.3,14.2,12.3,-2.3,-1.4,8.2,6.6,
1516resq-ca-bu,9144,Jet-Net,10,4,106,54,5,,0.40,9.9,9.6,12.4,11.0,-0.2,-0.1,0.0,0.0,11.5,10.9,-0.2,-0.3,-1.3,-1.0,-1.2,-0.5,
1516resq-ca-bu,10163,KSJC,11,4,80,45,5,,0.40,12.2,13.9,12.9,13.6,0.6,0.5,0.0,0.0,12.2,12.9,-0.4,-0.3,-0.2,0.6,-0.5,-0.4,
1516resq-ca-bu,9578,Purple Pi,12,4,77,65,5,,0.40,-13.2,-1.8,-8.8,-0.1,1.6,1.4,0.0,0.0,-0.7,5.8,-9.0,-5.7,-5.2,-3.4,0.8,1.5,
1516resq-ca-bu,8804,TeknoForce,13,4,63,51,5,,0.40,-6.2,1.1,-7.7,-0.8,2.0,1.6,0.0,0.0,-2.4,3.0,-5.1,-3.3,-0.7,-0.4,2.2,2.0,
1516resq-ca-bu,10340,Mustang robotics,14,2,164,103,5,,0.20,48.3,39.7,38.0,30.8,0.9,0.7,0.0,0.0,36.1,29.9,0.8,0.2,10.4,8.7,-0.1,0.1,
1516resq-ca-bu,5214,Tech Support,15,2,98,65,5,,0.20,10.5,11.0,11.5,11.2,0.8,0.7,0.0,0.0,9.5,9.9,-1.5,-1.0,1.7,1.3,-2.7,-1.7,
1516resq-ca-bu,6982,Metal Magicians,16,2,71,87,5,,0.20,14.5,13.7,9.5,9.9,0.5,0.5,0.0,0.0,12.3,11.8,-1.2,-0.9,3.0,2.1,2.1,1.6,
1516resq-ca-bu,9456,Robostangs,17,0,53,30,5,,0.00,-11.4,-3.0,-11.4,-4.1,-0.3,-0.2,0.0,0.0,-12.3,-5.0,0.8,0.9,0.4,1.1,-0.4,-0.3,
