TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-ca-pd,5755,Tri-Force-Droids,1,10,96,58,5,SC,1.00,13.5,15.1,16.5,17.0,0.8,0.6,0.0,0.0,15.7,16.9,-0.2,-0.7,-2.8,-1.9,-0.2,-0.1,
1516resq-ca-pd,8415,ANCroid,2,8,133,104,5,SC,0.80,23.9,22.6,16.6,16.0,-0.2,-0.1,0.0,0.0,19.1,17.6,-3.0,-2.0,8.0,6.9,-0.7,-0.4,
1516resq-ca-pd,6371,Machine Kings,3,8,116,81,5,WC,0.80,30.9,27.6,28.0,25.5,0.0,-0.0,0.0,0.0,23.6,23.0,3.9,2.0,3.5,2.4,-0.5,-0.4,
1516resq-ca-pd,9603,Got Robots?,4,8,103,48,5,FC,0.80,5.2,9.4,6.7,9.8,1.3,1.0,0.0,0.0,13.5,13.5,-9.0,-5.4,-0.5,0.1,-1.0,-0.7,
1516resq-ca-pd,359,WEBB.exe,5,6,189,152,5,S1,0.60,65.2,55.5,60.2,50.6,-0.5,-0.3,0.0,0.0,27.6,25.2,37.5,29.9,0.5,0.6,4.5,4.2,
1516resq-ca-pd,6372,Patriotic Robotics,6,6,179,90,5,,0.60,39.2,35.5,35.9,32.9,1.3,1.2,0.0,0.0,37.0,33.5,0.3,0.4,0.6,0.1,2.7,2.3,
1516resq-ca-pd,7426,Robotic Avengers,7,6,142,112,5,,0.60,35.0,34.2,26.4,26.6,-0.1,-0.1,0.0,0.0,17.7,17.8,11.4,11.1,6.1,5.3,2.6,2.2,
1516resq-ca-pd,4625,Kings and Queens,8,6,122,78,5,S1,0.60,17.1,18.7,17.9,18.6,-0.9,-0.6,0.0,0.0,19.8,19.3,-1.3,-0.3,-0.4,0.1,-0.3,-0.2,
1516resq-ca-pd,10409,Robotic Revolution,9,6,103,57,5,,0.60,17.8,16.0,12.9,11.7,0.2,0.1,0.0,0.0,10.2,10.3,2.8,1.5,4.6,3.8,0.3,0.3,
1516resq-ca-pd,9894,RoboLions,10,6,96,57,5,,0.60,9.2,10.6,3.8,5.9,-0.5,-0.3,0.0,0.0,3.0,5.7,2.0,1.1,4.8,3.9,0.6,0.7,
1516resq-ca-pd,358,The Gaulbots,11,4,259,90,5,,0.40,39.0,36.4,34.5,31.0,0.7,0.6,0.0,0.0,41.3,37.2,0.4,0.5,-3.4,-2.0,8.0,7.3,
1516resq-ca-pd,6570,Piradians,12,4,154,152,5,,0.40,24.6,23.8,20.9,19.8,-0.4,-0.3,0.0,0.0,11.6,12.4,10.8,9.2,2.6,2.3,1.1,1.6,
1516resq-ca-pd,10217,PUMA Robotics,13,4,108,51,5,,0.40,15.6,15.8,12.0,12.1,1.1,0.8,0.0,0.0,15.5,15.5,-2.1,-2.0,1.2,1.4,2.5,2.2,
1516resq-ca-pd,10318,TCHS Team Gold,14,4,100,81,5,W1,0.40,22.1,20.6,25.1,22.5,-1.0,-0.7,0.0,0.0,22.3,20.4,1.2,1.0,-0.4,-0.3,-2.5,-1.7,
1516resq-ca-pd,9254,STEM Punks,15,2,101,60,5,,0.20,15.3,14.8,7.9,8.9,-1.1,-0.7,0.0,0.0,7.7,9.0,2.0,1.2,6.6,5.1,0.7,0.7,
1516resq-ca-pd,6282,Simi Valley Robotics,16,2,81,33,5,,0.20,0.9,4.7,3.3,5.8,0.5,0.3,0.0,0.0,4.1,6.0,-1.0,-0.3,-2.7,-1.4,0.3,0.2,
1516resq-ca-pd,6325,Aluminati,17,2,76,51,5,,0.20,-10.0,-2.4,-6.0,0.2,-0.1,-0.0,0.0,0.0,3.1,5.6,-10.6,-6.6,-2.5,-1.6,-1.6,-1.2,
1516resq-ca-pd,7833,Assemblers,18,2,70,61,5,,0.20,7.8,10.1,8.8,9.9,2.0,1.5,0.0,0.0,1.8,5.0,1.6,0.9,2.4,2.4,-3.4,-2.3,
1516resq-ca-pd,10061,Occam's Razor,19,0,230,88,5,F1,0.00,16.3,18.9,-1.9,3.9,1.9,1.5,0.0,0.0,23.1,22.6,-10.3,-6.8,1.7,1.3,16.5,13.6,
