TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-cah1,9040,WHS BOTS,1,10,155,91,5,WC,1.00,62.4,52.5,55.6,46.3,10.4,8.4,0.0,0.0,53.2,44.8,-0.4,-0.3,-0.8,-0.5,7.6,6.7,
1516resq-cah1,9824,The Riveters,2,10,127,99,5,SC,1.00,25.2,29.5,29.2,32.2,-1.6,-0.7,0.0,0.0,30.5,31.7,-0.6,0.1,-3.2,-1.8,-0.9,-0.9,
1516resq-cah1,7832,Gear Gurus,3,8,167,173,5,FC,0.80,113.8,95.2,114.5,95.5,-1.1,-0.8,0.0,0.0,49.9,43.1,63.9,52.0,1.2,0.7,-1.8,-1.0,
1516resq-cah1,7227,Scorpion Robotics,4,8,154,136,5,W1,0.80,57.4,49.2,53.3,45.2,3.9,3.0,0.0,0.0,45.7,39.7,0.8,0.5,7.0,5.8,-2.9,-1.8,
1516resq-cah1,452,PHI Alpha,5,6,177,80,5,F1,0.60,27.1,28.1,21.9,23.3,-0.2,0.0,0.0,0.0,21.5,22.1,-0.5,0.0,6.4,5.8,-1.2,-1.0,
1516resq-cah1,4322,Phi Omega,6,6,140,81,5,SC,0.60,7.5,12.1,-8.2,-1.5,1.9,2.1,0.0,0.0,-0.7,4.5,-0.9,-0.6,7.4,6.1,8.3,7.6,
1516resq-cah1,6179,Quantum Fusion,7,6,137,55,5,W2,0.60,0.6,7.9,-2.9,4.3,0.8,0.9,0.0,0.0,16.9,17.3,-16.9,-11.1,-0.2,0.5,3.7,3.0,
1516resq-cah1,3600,ElectroJackets,8,6,108,99,5,S1,0.60,24.7,24.6,14.1,15.8,0.6,0.5,0.0,0.0,16.2,17.3,-0.1,-0.3,8.0,6.9,2.6,1.9,
1516resq-cah1,10447,The Tiny Huskies of Doom,9,6,97,90,5,,0.60,10.5,15.5,2.8,8.4,0.3,0.7,0.0,0.0,12.8,15.3,-0.6,0.1,-1.9,-0.8,9.7,7.9,
1516resq-cah1,3493,Technomatics,10,6,96,136,5,,0.60,27.9,27.5,31.8,29.2,0.1,0.2,0.0,0.0,28.0,26.5,-0.1,0.1,-0.1,0.5,-3.7,-2.2,
1516resq-cah1,7834,Progressive Malware,11,6,78,155,5,,0.60,21.4,24.0,21.9,23.8,4.4,3.8,0.0,0.0,10.4,13.4,7.0,6.7,-0.5,-0.2,-0.1,0.3,
1516resq-cah1,6370,Nemesis,12,6,70,170,5,S2,0.60,20.4,23.9,26.6,27.7,0.4,0.4,0.0,0.0,21.2,20.7,2.9,5.0,-4.1,-2.3,-2.0,-1.5,
1516resq-cah1,9074,Scorpiobotics,13,4,191,99,5,S1,0.40,51.4,43.7,47.4,39.4,0.1,-0.0,0.0,0.0,44.0,37.9,-1.0,-1.1,8.3,6.7,-4.2,-2.5,
1516resq-cah1,10446,RoboHuskies 2.0,14,4,148,87,5,,0.40,30.5,29.0,19.4,18.7,-0.7,-0.4,0.0,0.0,23.2,21.6,-0.5,0.1,8.4,7.5,2.7,2.8,
1516resq-cah1,10187,The Heralds of the Sea,15,4,119,49,5,,0.40,29.1,23.7,26.4,21.0,1.6,1.1,0.0,0.0,18.6,16.8,4.1,2.3,4.8,3.3,-2.1,-0.5,
1516resq-cah1,10724,Vikings,16,4,71,54,5,,0.40,-0.1,4.0,-2.8,0.8,2.2,1.7,0.0,0.0,1.9,4.7,-0.7,-0.2,-3.5,-2.3,6.2,5.5,
1516resq-cah1,7555,RoboZilla,17,2,153,74,5,S2,0.20,27.8,24.7,17.6,15.4,0.5,0.3,0.0,0.0,17.6,17.0,3.2,1.4,6.4,5.7,3.7,3.5,
1516resq-cah1,9603,Got Robots?,18,2,144,87,5,,0.20,19.3,18.7,14.2,13.4,0.9,0.7,0.0,0.0,11.2,11.9,-0.5,-0.6,7.7,6.6,-2.7,-1.3,
1516resq-cah1,7831,Titan,19,2,119,90,5,,0.20,-3.2,1.3,-3.8,0.3,0.3,0.1,0.0,0.0,-8.8,-4.2,6.3,6.0,-1.0,-0.8,1.6,1.7,
1516resq-cah1,9220,Rancho Rebel Robotics,20,2,97,37,5,,0.20,-2.6,3.8,-9.2,-2.6,0.4,0.6,0.0,0.0,4.0,7.1,-1.8,-0.9,-5.3,-3.2,11.8,9.6,
1516resq-cah1,6373,Cool Cats,21,2,92,66,5,,0.20,11.6,12.7,0.0,3.0,-0.1,-0.2,0.0,0.0,9.7,10.5,1.0,0.9,1.0,1.3,10.5,8.4,
1516resq-cah1,7195,Erudite Engineering,22,2,79,173,5,F2,0.20,14.8,18.9,9.0,13.8,-0.4,-0.3,0.0,0.0,13.9,14.9,1.4,3.5,-0.0,0.6,5.9,4.5,
1516resq-cah1,8635,RV Robo Squad,23,2,30,62,5,,0.20,-4.6,-0.2,-1.7,1.1,-1.9,-1.1,0.0,0.0,-1.9,1.3,-3.1,-2.5,2.3,1.9,-5.1,-3.3,
