TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-cayu,8471,The Ducks,1,10,264,202,5,WC,
1516resq-cayu,6647,JagNet,2,10,77,188,5,SC,
1516resq-cayu,9873,PikaTech,3,10,69,184,5,FC,
1516resq-cayu,4625,Kings and Queens,4,8,109,92,5,S1,
1516resq-cayu,10298,Brain Stormz,5,8,100,181,5,W1,
1516resq-cayu,8894,Class 7,6,6,170,164,5,SC,
1516resq-cayu,5751,Rebelutionary,7,6,143,202,5,S1,
1516resq-cayu,5942,Team Torch,8,6,116,137,5,F1,
1516resq-cayu,5921,La Canada Engineering Club,9,6,109,73,5,,
1516resq-cayu,5889,NanoRaptors,10,4,130,181,5,,
1516resq-cayu,4344,Rickrollers,11,4,118,91,5,,
1516resq-cayu,9888,Lenovo ThinkBots,12,4,77,48,5,,
1516resq-cayu,10673,Python,13,4,69,91,5,,
1516resq-cayu,10045,Studio Bots,14,4,44,49,5,,
1516resq-cayu,10674,Super Human Pajama Armada,15,3,88,49,5,,
1516resq-cayu,10433,STEAM Punks,16,3,48,48,5,,
1516resq-cayu,10006,Spudnik,17,2,113,62,5,,
1516resq-cayu,10212,HCS,18,1,81,40,5,,
1516resq-cayu,6354,Code REB,19,1,43,26,5,,
1516resq-cayu,9777,TorchBots,20,0,72,40,5,,
