TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-co-lo-Q-1,Q-1,30-43 B,6929,4287,0,5899,3847,0,30,0,0,30,0,0,43,5,0,38,0,0,
1516resq-co-lo-Q-2,Q-2,145-23 R,8232,4736,0,10569,6244,0,145,0,0,105,0,40,23,0,0,23,0,0,
1516resq-co-lo-Q-3,Q-3,10-9 R,10448,10190,0,3746,8969,0,10,0,0,10,0,0,9,0,0,9,0,0,
1516resq-co-lo-Q-4,Q-4,32-10 R,3479,9495,0,9068,6248,0,32,0,0,32,0,0,10,5,0,5,0,0,
1516resq-co-lo-Q-5,Q-5,81-30 R,10593,5899,0,10190,4736,0,81,0,0,81,0,0,30,0,0,20,0,10,
1516resq-co-lo-Q-6,Q-6,39-97 B,6248,8969,0,10569,6929,0,39,5,0,34,0,0,97,0,0,97,0,0,
1516resq-co-lo-Q-7,Q-7,8-25 B,3746,4287,0,6244,9495,0,8,5,0,3,0,0,25,0,0,25,0,0,
1516resq-co-lo-Q-8,Q-8,87-66 R,3479,3847,0,8232,10448,0,87,0,0,87,0,0,66,0,0,66,0,0,
1516resq-co-lo-Q-9,Q-9,17-69 B,9068,6244,0,10593,6929,0,17,0,0,17,0,0,69,0,0,69,0,0,
1516resq-co-lo-Q-10,Q-10,105-47 R,5899,3746,0,10569,3479,0,105,0,0,25,80,0,47,0,0,47,0,0,
1516resq-co-lo-Q-11,Q-11,29-87 B,4287,6248,0,10190,8232,0,29,0,0,19,0,10,87,0,0,47,0,40,
1516resq-co-lo-Q-12,Q-12,27-78 B,8969,3847,0,10593,9495,0,27,0,0,17,0,10,78,0,0,78,0,0,
1516resq-co-lo-Q-13,Q-13,27-64 B,4736,9068,0,10448,6248,0,27,0,0,27,0,0,64,0,0,64,0,0,
1516resq-co-lo-Q-14,Q-14,2-73 B,3847,6244,0,10190,3479,0,2,0,0,2,0,0,73,5,0,68,0,0,
1516resq-co-lo-Q-15,Q-15,118-31 R,5899,8232,0,9068,8969,0,118,5,0,33,80,0,31,0,0,31,0,0,
1516resq-co-lo-Q-16,Q-16,7-55 B,10593,10569,0,10448,4287,0,7,5,0,2,0,0,55,0,0,55,0,0,
1516resq-co-lo-Q-17,Q-17,132-65 R,4736,6929,0,3746,9495,0,132,0,0,92,0,40,65,0,0,55,0,10,
1516resq-co-lo-Q-18,Q-18,5-38 B,10448,6244,0,6248,5899,0,5,0,0,5,0,0,38,5,0,33,0,0,
1516resq-co-lo-Q-19,Q-19,83-80 R,10190,10593,0,6929,8232,0,83,0,0,33,0,50,80,0,0,80,0,0,
1516resq-co-lo-Q-20,Q-20,18-53 B,10569,3746,0,9068,3847,0,18,5,0,13,0,0,53,5,0,38,0,10,
1516resq-co-lo-Q-21,Q-21,129-13 R,4736,8969,0,3479,4287,0,129,0,0,119,0,10,13,5,0,8,0,0,
1516resq-co-lo-Q-22,Q-22,34-40 B,9495,10569,0,5899,10190,0,34,5,0,29,0,0,40,5,0,35,0,0,
1516resq-co-lo-SF-1-1,SF-1-1,212-58 R,5899,10593,0,8232,3847,0,212,5,0,47,160,0,58,5,0,53,0,0,
1516resq-co-lo-SF-2-1,SF-2-1,43-127 B,10190,4736,0,6929,3479,0,43,5,0,38,0,0,127,0,0,127,0,0,
1516resq-co-lo-SF-1-2,SF-1-2,186-21 R,5899,10593,0,8232,3847,0,186,0,0,96,80,10,21,5,0,16,0,0,
1516resq-co-lo-SF-2-2,SF-2-2,61-78 B,10190,4736,0,6929,3479,0,61,0,0,61,0,0,78,0,0,78,0,0,
1516resq-co-lo-F-1,F-1,120-85 R,5899,10593,0,6929,3479,0,120,0,0,40,80,0,85,0,0,85,0,0,
1516resq-co-lo-F-2,F-2,13-61 B,5899,10593,0,6929,3479,0,13,0,0,13,0,0,61,0,0,61,0,0,
1516resq-co-lo-F-3,F-3,85-87 B,5899,10593,0,6929,3479,0,85,0,0,85,0,0,87,0,0,87,0,0,
