TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-ctmm,6081,i2r robotics,1,10,250,160,5,WC,
1516resq-ctmm,9928,Planet Vulcan,2,8,227,151,5,SC,
1516resq-ctmm,10132,Winged Beavers,3,7,113,98,5,FC,
1516resq-ctmm,36,Wyverns,4,6,189,127,5,SC,
1516resq-ctmm,8391,W-Prime Robotics,5,6,178,160,5,W1,
1516resq-ctmm,10763,LIONS,6,6,178,90,5,S1,
1516resq-ctmm,8699,The League of Extraordinary Roboticist,7,4,167,86,5,,
1516resq-ctmm,7028,Flaming Marshmellows,8,4,165,89,5,,
1516resq-ctmm,577,Wreckers Robotics,9,4,113,62,5,,
1516resq-ctmm,6762,N R G (Northwestern Robotics Gearheads),10,4,106,120,5,,
1516resq-ctmm,4286,Dragonoids,11,4,84,98,5,F1,
1516resq-ctmm,40,HAX,12,3,71,43,5,,
1516resq-ctmm,273,Tigers,13,3,49,55,5,S1,
1516resq-ctmm,7034,Singularity Technology,14,1,68,28,5,,
