TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-esrcmpd1,8390,Nerd Herd,1,18,1288,482,9,WC,
1516resq-esrcmpd1,7314,Sab-BOT-age,2,16,1637,330,9,FC,
1516resq-esrcmpd1,8221,CUBIX^3,3,16,1445,482,9,SC,
1516resq-esrcmpd1,10392,The Rolling Drones,4,14,1161,288,9,SC,
1516resq-esrcmpd1,8528,Rhyme Know Reason,5,14,1035,367,9,,
1516resq-esrcmpd1,4347,NanoGurus,6,12,1764,527,9,S1,
1516resq-esrcmpd1,3415,Lancers,7,12,1488,355,9,S1,
1516resq-esrcmpd1,5421,RM'd and Dangerous,8,12,1388,428,9,,
1516resq-esrcmpd1,6055,GearTicks,9,12,1246,527,9,F1,
1516resq-esrcmpd1,6040,Canton Robodogs,10,12,1228,429,9,,
1516resq-esrcmpd1,8619,Cerebrum Bellatorum,11,12,1163,360,9,,
1516resq-esrcmpd1,7117,The Blockheads,12,12,1109,320,9,S2,
1516resq-esrcmpd1,18,Techno Chix,13,12,934,462,9,,
1516resq-esrcmpd1,7164,Falcon Bots,14,10,1740,314,9,,
1516resq-esrcmpd1,4029,2 Bits and a Byte,15,10,1660,472,9,W1,
1516resq-esrcmpd1,8645,Robotic Doges,16,10,1508,472,9,F2,
1516resq-esrcmpd1,248,Fatal Error,17,10,1183,433,9,,
1516resq-esrcmpd1,7393,electron Volts,18,8,2029,414,9,W2,
1516resq-esrcmpd1,7486,Team Erebor,19,8,1392,326,9,,
1516resq-esrcmpd1,4486,Mad Science,20,8,1371,298,9,,
1516resq-esrcmpd1,8509,STEEL Serpents,21,8,1317,345,9,,
1516resq-esrcmpd1,3371,Bötley Crüe,22,8,1308,330,9,S2,
1516resq-esrcmpd1,6899,Blue Bots,23,8,1200,235,9,,
1516resq-esrcmpd1,4137,IslandBots,24,8,1160,351,9,,
1516resq-esrcmpd1,9927,The MidKnight Magic Too,25,8,1045,347,9,,
1516resq-esrcmpd1,9372,Standard Model,26,6,1804,345,9,,
1516resq-esrcmpd1,6341,IBEX,27,6,1389,325,9,,
1516resq-esrcmpd1,5017,RoboEpic,28,6,1366,358,9,,
1516resq-esrcmpd1,5163,Flying Dragon,29,4,1116,263,9,,
1516resq-esrcmpd1,8702,Grey Jedi,30,4,1015,196,9,,
1516resq-esrcmpd1,6029,Robowiz,31,4,956,264,9,,
1516resq-esrcmpd1,9845,Minions Robotics Agency (MRA) - The RoboMinions,32,4,914,220,9,,
1516resq-esrcmpd1,4096,"T-10 (""T minus Ten"")",33,4,701,278,9,,
1516resq-esrcmpd1,4286,Dragonoids,34,4,633,166,9,,
1516resq-esrcmpd1,5485,GorillaBots,35,2,1310,426,9,,
1516resq-esrcmpd1,6527,NORTH Robotics,36,2,905,251,9,,
