TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-fl-cmplpi,516,Gears of Fire,1,16,535,220,8,FC,1.00,125.4,117.1,126.0,117.1,4.7,4.2,0.0,0.0,74.2,71.1,45.8,40.8,0.7,0.8,-1.3,-0.8,
1516resq-fl-cmplpi,8908,Robo Mojo,2,12,550,260,8,WC,0.75,118.0,110.1,108.4,101.1,0.6,0.8,0.0,0.0,126.7,116.0,-9.4,-7.1,0.1,0.4,9.4,8.5,
1516resq-fl-cmplpi,3736,Serious Business,3,10,465,145,8,SC,0.63,21.3,26.5,21.7,26.2,2.4,2.4,0.0,0.0,5.5,11.1,13.9,12.9,-0.4,-0.0,0.0,0.3,
1516resq-fl-cmplpi,6451,Tarpon Robotics,4,10,460,260,8,W1,0.63,73.5,70.4,70.8,67.6,0.1,0.2,0.0,0.0,48.5,47.5,24.7,22.3,0.2,0.3,2.5,2.5,
1516resq-fl-cmplpi,506,Pandara,5,10,415,220,8,F1,0.63,48.6,48.6,40.5,41.3,1.6,1.8,0.0,0.0,26.4,27.7,14.9,13.7,5.7,5.2,2.4,2.0,
1516resq-fl-cmplpi,10345,Tiny Tarps,6,8,610,175,8,SC,0.50,56.1,54.7,45.8,45.1,0.6,0.6,0.0,0.0,66.5,62.0,-12.0,-9.0,0.9,1.0,9.5,8.6,
1516resq-fl-cmplpi,409,Aluminati,7,8,552,242,8,S1,0.50,71.3,67.8,57.4,54.8,10.5,9.3,0.0,0.0,52.3,49.7,-6.1,-4.4,14.7,13.2,-0.7,-0.2,
1516resq-fl-cmplpi,7524,Eisenschrek,8,8,464,151,8,,0.50,40.3,40.4,44.1,43.1,2.4,2.3,0.0,0.0,31.5,31.7,9.2,8.3,-2.8,-2.1,-1.0,-0.8,
1516resq-fl-cmplpi,3830,SkyNet,9,8,320,208,8,,0.50,15.6,19.6,15.4,18.8,1.0,0.9,0.0,0.0,21.9,24.0,-8.0,-6.1,0.7,0.8,-0.5,-0.0,
1516resq-fl-cmplpi,3839,Fatal Error,10,6,513,189,8,,0.38,29.8,31.8,32.5,33.7,0.9,0.8,0.0,0.0,33.8,33.1,-4.4,-1.9,-0.5,-0.3,-2.2,-1.7,
1516resq-fl-cmplpi,6324,Twisted Circuitz,11,6,511,129,8,,0.38,46.6,46.4,46.7,45.9,3.4,3.1,0.0,0.0,50.2,48.1,-8.9,-6.7,1.9,1.9,-2.0,-1.3,
1516resq-fl-cmplpi,3123,Spontaneous Combustion,12,6,387,170,8,,0.38,19.9,24.4,12.4,17.4,-2.3,-1.7,0.0,0.0,0.5,6.2,15.0,13.5,6.8,6.3,0.7,0.6,
1516resq-fl-cmplpi,4163,Robo Warriors,13,6,385,122,8,,0.38,25.8,28.4,26.9,28.8,1.9,1.9,0.0,0.0,24.5,26.8,-1.0,-0.9,0.3,0.5,-1.4,-1.0,
1516resq-fl-cmplpi,7321,Charlotte Surge,14,4,721,123,8,S1,0.25,52.8,52.6,38.0,39.0,-1.3,-0.9,0.0,0.0,46.2,46.9,4.8,3.5,3.1,3.0,11.7,10.6,
1516resq-fl-cmplpi,3101,Boom Bots,15,2,464,109,8,,0.13,5.5,11.7,1.4,7.4,1.0,1.1,0.0,0.0,3.0,9.2,1.5,1.0,-0.1,0.2,4.2,4.0,
