TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-flcmplfau-Q-1,Q-1,107-124 B,450,9207,0,5257,6364,0,107,0,0,107,0,0,124,0,0,124,0,0,
1516resq-flcmplfau-Q-2,Q-2,61-65 B,10746,9498,0,8754,10745,0,61,0,0,61,0,0,65,0,0,65,0,0,
1516resq-flcmplfau-Q-3,Q-3,39-6 R,9177,9497,0,10296,10606,0,39,0,0,39,0,0,6,0,0,6,0,0,
1516resq-flcmplfau-Q-4,Q-4,23-52 B,8551,10263,0,7509,6568,0,23,0,0,23,0,0,52,15,0,37,0,0,
1516resq-flcmplfau-Q-5,Q-5,93-103 B,10200,10606,0,10743,9498,0,93,0,0,93,0,0,103,25,0,78,0,0,
1516resq-flcmplfau-Q-6,Q-6,3-77 B,10263,10745,0,450,5257,0,3,0,0,3,0,0,77,0,0,77,0,0,
1516resq-flcmplfau-Q-7,Q-7,85-17 R,6364,10296,0,8551,10746,0,85,0,0,85,0,0,17,0,0,17,0,0,
1516resq-flcmplfau-Q-8,Q-8,118-58 R,6568,10200,0,8754,9497,0,118,25,0,93,0,0,58,0,0,58,0,0,
1516resq-flcmplfau-Q-9,Q-9,82-55 R,9207,10743,0,7509,9177,0,82,5,0,77,0,0,55,0,0,55,0,0,
1516resq-flcmplfau-Q-10,Q-10,41-39 R,6364,9498,0,6568,8754,0,41,0,0,41,0,0,39,0,0,39,0,0,
1516resq-flcmplfau-Q-11,Q-11,17-29 B,10296,10200,0,7509,450,0,17,0,0,17,0,0,29,0,0,29,0,0,
1516resq-flcmplfau-Q-12,Q-12,9-59 B,10606,10263,0,10745,8551,0,9,0,0,9,0,0,59,0,0,59,0,0,
1516resq-flcmplfau-Q-13,Q-13,55-34 R,10743,9497,0,10746,9207,0,55,10,0,45,0,0,34,0,0,34,0,0,
1516resq-flcmplfau-Q-14,Q-14,16-59 B,5257,8754,0,9177,10606,0,16,0,0,16,0,0,59,0,0,59,0,0,
1516resq-flcmplfau-Q-15,Q-15,17-49 B,9207,10296,0,9498,10263,0,17,5,0,12,0,0,49,0,0,49,0,0,
1516resq-flcmplfau-Q-16,Q-16,120-52 R,8551,10743,0,450,9497,0,120,0,0,120,0,0,52,0,0,52,0,0,
1516resq-flcmplfau-Q-17,Q-17,41-142 B,6568,10746,0,5257,10200,0,41,5,0,36,0,0,142,0,0,62,80,0,
1516resq-flcmplfau-Q-18,Q-18,81-59 R,7509,6364,0,9177,10745,0,81,0,0,81,0,0,59,0,0,59,0,0,
1516resq-flcmplfau-Q-19,Q-19,49-42 R,10746,450,0,9207,10606,0,49,0,0,49,0,0,42,10,0,32,0,0,
1516resq-flcmplfau-Q-20,Q-20,44-76 B,10745,7509,0,9497,6568,0,44,0,0,44,0,0,76,15,0,61,0,0,
1516resq-flcmplfau-Q-21,Q-21,64-88 B,9177,8551,0,9498,10200,0,64,0,0,64,0,0,88,0,0,88,0,0,
1516resq-flcmplfau-Q-22,Q-22,71-7 R,8754,10743,0,10296,10263,0,71,0,0,71,0,0,7,0,0,7,0,0,
1516resq-flcmplfau-Q-23,Q-23,43-86 B,5257,9498,0,6364,9497,0,43,0,0,43,0,0,86,0,0,86,0,0,
1516resq-flcmplfau-Q-24,Q-24,54-75 B,10606,450,0,9177,6568,0,54,0,0,54,0,0,75,15,0,60,0,0,
1516resq-flcmplfau-Q-25,Q-25,103-43 R,10200,6364,0,10263,10743,0,103,0,0,103,0,0,43,5,0,38,0,0,
1516resq-flcmplfau-Q-26,Q-26,31-29 R,8754,10296,0,10745,9207,0,31,0,0,31,0,0,29,5,0,24,0,0,
1516resq-flcmplfau-Q-27,Q-27,78-77 R,5257,10746,0,7509,8551,0,78,0,0,78,0,0,77,0,0,77,0,0,
1516resq-flcmplfau-Q-28,Q-28,9-107 B,10745,10606,0,9207,10200,0,9,0,0,9,0,0,107,5,0,102,0,0,
1516resq-flcmplfau-Q-29,Q-29,54-13 R,9498,9177,0,10263,10746,0,54,0,0,54,0,0,13,0,0,13,0,0,
1516resq-flcmplfau-Q-30,Q-30,69-81 B,7509,8754,0,8551,450,0,69,0,0,69,0,0,81,0,0,81,0,0,
1516resq-flcmplfau-Q-31,Q-31,141-95 R,5257,6568,0,10743,10296,0,141,5,0,56,80,0,95,25,0,70,0,0,
1516resq-flcmplfau-Q-32,Q-32,45-57 B,9497,10606,0,6364,10263,0,45,0,0,45,0,0,57,0,0,57,0,0,
1516resq-flcmplfau-SF-1-1,SF-1-1,98-101 B,6364,5257,0,10200,450,0,98,0,0,98,0,0,101,0,0,101,0,0,
1516resq-flcmplfau-SF-2-1,SF-2-1,78-98 B,10743,9498,0,6568,9207,0,78,0,0,78,0,0,98,15,0,83,0,0,
1516resq-flcmplfau-SF-1-2,SF-1-2,142-95 R,6364,5257,0,10200,450,0,142,0,0,62,80,0,95,0,0,95,0,0,
1516resq-flcmplfau-SF-2-2,SF-2-2,65-63 R,10743,9498,0,6568,9207,0,65,0,0,65,0,0,63,5,0,58,0,0,
1516resq-flcmplfau-SF-2-3,SF-2-3,10-123 B,10743,9498,0,6568,9207,0,10,0,0,10,0,0,123,15,0,108,0,0,
1516resq-flcmplfau-SF-1-3,SF-1-3,164-85 R,6364,5257,0,10200,450,0,164,0,0,84,80,0,85,0,0,85,0,0,
1516resq-flcmplfau-F-1,F-1,153-134 R,6364,5257,0,6568,9207,0,153,0,0,153,0,0,134,25,0,109,0,0,
1516resq-flcmplfau-F-2,F-2,167-75 R,6364,5257,0,6568,9207,0,167,0,0,87,80,0,75,0,0,75,0,0,
