TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-flcmplne,10179,Tech Turtles,1,10,166,143,5,,
1516resq-flcmplne,10583,The Robotic Gladiators,2,9,179,97,5,,
1516resq-flcmplne,10497,SwampBots,3,8,166,211,5,,
1516resq-flcmplne,8859,Orange Park,4,8,160,143,5,,
1516resq-flcmplne,10413,Imaginary Radicals,5,8,138,110,5,,
1516resq-flcmplne,10385,Titan Tech,6,7,258,97,5,,
1516resq-flcmplne,9075,The Funky Bunch,7,7,204,211,5,,
1516resq-flcmplne,10167,Green Cove Springs Junior High,8,6,227,93,5,,
1516resq-flcmplne,9214,RhoBeta,9,6,116,97,5,,
1516resq-flcmplne,10013,Master Builders,10,6,103,105,5,,
1516resq-flcmplne,10768,Middleburg High School,11,5,215,87,5,,
1516resq-flcmplne,10670,fatherboards,12,4,226,79,5,,
1516resq-flcmplne,10277,Firewalls,13,4,188,82,5,,
1516resq-flcmplne,8796,Clay,14,4,165,72,5,,
1516resq-flcmplne,8797,Oakleaf High School,15,4,136,58,5,,
1516resq-flcmplne,10284,Team R.O.B.O.T. (Really Obsessed Builders Of Tomorrow),16,4,126,94,5,,
1516resq-flcmplne,8798,Aluminati Industries,17,4,101,94,5,,
1516resq-flcmplne,10276,talknerdytome,18,3,152,92,5,,
1516resq-flcmplne,9932,Renaissance Raiders,19,3,68,33,5,,
1516resq-flcmplne,9937,DCPS FTC2,20,2,167,87,5,,
1516resq-flcmplne,9941,Ohana Robotica,21,2,160,80,5,,
1516resq-flcmplne,10168,LJH Gator Techs,22,2,126,31,5,,
1516resq-flcmplne,9944,DCPS FTC9,23,2,124,72,5,,
1516resq-flcmplne,8799,Lake Asbury Junior,24,2,113,41,5,,
