TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-flcmplro,4997,Masquerade,1,14,588,379,7,WC,1.00,264.8,232.6,264.3,231.9,10.0,9.1,0.0,0.0,252.7,222.2,2.4,1.4,-0.3,-0.3,0.9,0.9,
1516resq-flcmplro,3846,Maelstrom,2,14,506,335,7,W1,1.00,97.4,96.5,97.8,96.6,10.7,9.6,0.0,0.0,82.3,82.0,5.2,5.4,-0.9,-0.7,0.4,0.4,
1516resq-flcmplro,7203,KNO3,3,10,689,221,7,SC,0.71,118.4,106.5,113.3,101.9,8.9,8.0,0.0,0.0,102.3,92.4,1.4,0.9,5.8,5.1,-0.6,-0.5,
1516resq-flcmplro,7667,Stealth Tigers 2,4,8,313,185,7,FC,0.57,55.0,50.0,54.2,49.2,-0.2,0.0,0.0,0.0,46.3,41.9,8.2,7.4,0.7,0.6,0.1,0.1,
1516resq-flcmplro,10520,B.L.A.N.K.botics,5,8,266,226,7,SC,0.57,27.1,30.0,27.5,30.2,-3.1,-2.2,0.0,0.0,31.7,33.4,-1.3,-1.0,-0.2,-0.2,-0.2,-0.0,
1516resq-flcmplro,7017,Legacy Robotics,6,8,252,332,7,,0.57,17.2,25.7,19.5,27.4,2.5,2.4,0.0,0.0,17.6,25.3,-0.5,-0.2,-2.4,-1.9,0.1,0.0,
1516resq-flcmplro,10388,Unscripted,7,8,195,231,7,,0.57,22.5,30.9,14.8,24.4,-1.8,-1.2,0.0,0.0,19.8,27.4,-2.5,-1.3,6.9,5.9,0.8,0.5,
1516resq-flcmplro,2845,Team Duct Tape,8,6,695,216,7,F1,0.43,99.9,90.6,101.0,91.1,-0.3,0.1,0.0,0.0,65.6,60.8,35.4,30.2,-0.8,-0.5,-0.3,-0.0,
1516resq-flcmplro,6433,Neutrinos,9,6,557,379,7,S1,0.43,80.5,82.1,79.2,81.1,4.7,4.3,0.0,0.0,82.0,81.9,-6.0,-4.0,-0.1,-0.2,1.4,1.1,
1516resq-flcmplro,3073,Massive D,10,6,291,337,7,S1,0.43,31.2,36.4,27.5,33.5,2.9,2.8,0.0,0.0,32.9,36.7,-5.4,-3.5,0.7,0.4,3.0,2.4,
1516resq-flcmplro,2425,Hydra Alpha,11,6,283,193,7,,0.43,5.3,13.6,1.2,10.2,-0.7,-0.4,0.0,0.0,9.3,15.6,-7.4,-5.1,4.0,3.4,0.0,-0.1,
1516resq-flcmplro,8387,Biohazardous,12,6,265,126,7,,0.43,14.5,18.3,11.5,15.3,-0.5,-0.2,0.0,0.0,15.0,18.6,1.5,0.9,-1.5,-1.1,4.5,4.1,
1516resq-flcmplro,9175,Warrior Bots,13,4,603,247,7,,0.29,12.3,21.1,16.2,23.8,2.1,2.2,0.0,0.0,12.7,20.8,-0.4,-0.5,-2.1,-1.5,-1.8,-1.3,
1516resq-flcmplro,4960,Stealth Tigers,14,4,337,133,7,,0.29,19.8,24.0,11.7,17.2,1.0,1.0,0.0,0.0,13.3,17.0,4.8,5.4,0.8,0.5,7.4,6.2,
1516resq-flcmplro,7263,TechnoKnights,15,4,276,241,7,,0.29,-12.6,1.5,-12.7,1.5,3.9,3.8,0.0,0.0,-9.2,2.9,-7.4,-5.3,0.1,0.0,-0.0,-0.1,
1516resq-flcmplro,10204,Robotic Bacon Eating Narwhals,16,4,211,79,7,,0.29,24.7,21.7,26.2,22.5,-0.7,-0.5,0.0,0.0,22.5,20.3,2.8,1.6,0.0,0.2,-1.6,-1.1,
1516resq-flcmplro,7719,Team RISE,17,2,202,168,7,,0.14,25.4,23.2,28.0,24.7,0.1,0.2,0.0,0.0,22.3,20.9,3.2,1.8,-0.1,0.1,-2.4,-1.8,
