TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-flcmplsc-Q-1,Q-1,227-58 R,10347,7477,0,8392,9800,0,227,5,0,222,0,0,58,5,0,53,0,0,
1516resq-flcmplsc-Q-2,Q-2,197-97 R,4717,8945,0,9013,10365,0,197,5,0,92,100,0,97,5,0,92,0,0,
1516resq-flcmplsc-Q-3,Q-3,107-186 B,10334,7341,0,6323,9671,0,107,5,0,102,0,0,186,5,0,181,0,0,
1516resq-flcmplsc-Q-4,Q-4,84-80 R,4227,7592,0,10379,8996,0,84,0,0,84,0,0,80,0,0,80,0,0,
1516resq-flcmplsc-Q-5,Q-5,380-205 R,7477,6323,0,4717,10365,0,380,20,0,360,0,0,205,0,0,105,100,0,
1516resq-flcmplsc-Q-6,Q-6,147-39 R,10379,4227,0,7341,9800,0,147,25,0,122,0,0,39,0,0,39,0,0,
1516resq-flcmplsc-Q-7,Q-7,67-167 B,8392,10334,0,9013,7592,0,67,0,0,67,0,0,167,5,0,82,80,0,
1516resq-flcmplsc-Q-8,Q-8,191-56 R,8996,8945,0,9671,10347,0,191,0,0,111,80,0,56,5,0,51,0,0,
1516resq-flcmplsc-Q-9,Q-9,64-39 R,10334,10365,0,9800,10379,0,64,5,0,59,0,0,39,0,0,39,0,0,
1516resq-flcmplsc-Q-10,Q-10,151-182 B,8996,7341,0,8392,4717,0,151,0,0,101,20,30,182,5,0,97,80,0,
1516resq-flcmplsc-Q-11,Q-11,38-260 B,8945,9013,0,4227,7477,0,38,5,0,33,0,0,260,15,0,245,0,0,
1516resq-flcmplsc-Q-12,Q-12,125-203 B,9671,7592,0,6323,10347,0,125,5,0,120,0,0,203,15,0,188,0,0,
1516resq-flcmplsc-Q-13,Q-13,243-95 R,8996,4227,0,10334,7477,0,243,25,0,118,100,0,95,0,0,95,0,0,
1516resq-flcmplsc-Q-14,Q-14,65-270 B,9671,9800,0,7592,4717,0,65,5,0,60,0,0,270,5,0,85,180,0,
1516resq-flcmplsc-Q-15,Q-15,37-201 B,10379,8392,0,6323,8945,0,37,5,0,22,0,10,201,15,0,186,0,0,
1516resq-flcmplsc-Q-16,Q-16,49-68 B,10347,10365,0,9013,7341,0,49,5,0,44,0,0,68,5,0,63,0,0,
1516resq-flcmplsc-Q-17,Q-17,56-46 R,8392,8945,0,10334,9800,0,56,0,0,56,0,0,46,5,0,41,0,0,
1516resq-flcmplsc-Q-18,Q-18,297-38 R,6323,4717,0,10347,4227,0,297,60,0,237,0,0,38,0,0,38,0,0,
1516resq-flcmplsc-Q-19,Q-19,271-46 R,9013,7477,0,10379,9671,0,271,5,0,266,0,0,46,5,0,41,0,0,
1516resq-flcmplsc-Q-20,Q-20,63-185 B,7341,10365,0,8996,7592,0,63,0,0,63,0,0,185,0,0,105,80,0,
1516resq-flcmplsc-Q-21,Q-21,260-17 R,4717,10347,0,10334,10379,0,260,50,0,90,100,20,17,0,0,17,0,0,
1516resq-flcmplsc-Q-22,Q-22,110-275 B,7341,7592,0,8945,7477,0,110,5,0,105,0,0,275,5,0,270,0,0,
1516resq-flcmplsc-Q-23,Q-23,184-92 R,4227,9671,0,10365,8392,0,184,25,0,159,0,0,92,0,0,92,0,0,
1516resq-flcmplsc-Q-24,Q-24,94-432 B,9013,9800,0,6323,8996,0,94,5,0,89,0,0,432,25,0,307,100,0,
1516resq-flcmplsc-SF-1-1,SF-1-1,390-38 R,6323,8996,0,8945,7341,0,390,25,0,285,80,0,38,0,0,38,0,0,
1516resq-flcmplsc-SF-2-1,SF-2-1,402-251 R,7477,4717,0,4227,7592,0,402,60,0,222,100,20,251,0,0,111,80,60,
1516resq-flcmplsc-SF-1-2,SF-1-2,290-72 R,6323,8996,0,8945,7341,0,290,25,0,195,0,70,72,0,0,72,0,0,
1516resq-flcmplsc-SF-2-2,SF-2-2,296-190 R,7477,4717,0,4227,7592,0,296,5,0,291,0,0,190,25,0,145,20,0,
1516resq-flcmplsc-F-1,F-1,403-423 B,6323,8996,0,7477,4717,0,403,20,0,283,100,0,423,45,0,298,80,0,
1516resq-flcmplsc-F-2,F-2,228-305 B,6323,8996,0,7477,4717,0,228,0,0,228,0,0,305,45,0,180,80,0,
