TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-flcmplsc,6323,The Pink Team,1,12,596,432,6,FC,
1516resq-flcmplsc,7477,Super 7,2,10,552,380,6,WC,
1516resq-flcmplsc,4717,Mechromancers,3,10,543,297,6,W1,
1516resq-flcmplsc,4227,Metal Morphosis,4,10,382,260,6,SC,
1516resq-flcmplsc,8945,Touch-Down!,5,10,374,275,6,SC,
1516resq-flcmplsc,7592,Roarbots,6,8,510,270,6,S1,
1516resq-flcmplsc,8996,Pink Fluffy Bunnies,7,8,509,432,6,F1,
1516resq-flcmplsc,9013,Merritt Island Matrix,8,6,391,271,6,,
1516resq-flcmplsc,10347,General Tech,9,6,343,260,6,,
1516resq-flcmplsc,9671,Tomahawk Technauts,10,4,491,186,6,,
1516resq-flcmplsc,8392,Lift-Off!,11,4,411,182,6,,
1516resq-flcmplsc,10365,Pink Pelicans,12,2,545,205,6,,
1516resq-flcmplsc,7341,F.R.E.N.C.H. F.R.I.E.S.,13,2,489,151,6,S1,
1516resq-flcmplsc,10334,Invaders,14,2,371,107,6,,
1516resq-flcmplsc,10379,General Mission,15,2,248,147,6,,
1516resq-flcmplsc,9800,HyperNovas,16,0,341,94,6,,
