TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-gajr,7373,Eagle Robotics,1,8,97,58,5,SC,0.80,22.4,20.8,23.3,20.2,-0.1,-0.1,0.0,0.0,24.8,21.8,0.0,0.0,-2.3,-1.0,1.4,1.5,
1516resq-gajr,7432,G.E.A.R.S. Purple,2,7,94,59,5,SC,0.70,19.6,18.7,9.2,9.5,-0.2,-0.2,0.0,0.0,11.2,11.5,0.0,0.0,8.6,7.3,1.8,1.8,
1516resq-gajr,10231,INSPIREinators,3,7,68,59,5,FC,0.70,17.9,18.3,2.7,4.7,0.3,0.2,0.0,0.0,2.5,5.4,0.0,0.0,15.1,12.6,0.2,0.9,
1516resq-gajr,7153,Vindicem,4,6,135,84,5,WC,0.60,33.6,30.0,35.1,29.9,-0.1,-0.1,0.0,0.0,35.7,30.6,0.0,0.0,-2.0,-0.5,0.5,0.6,
1516resq-gajr,7673,Dragons and Tiaras,5,6,133,52,5,S1,0.60,11.1,12.2,6.8,8.0,-0.2,-0.2,0.0,0.0,7.1,9.0,0.0,0.0,4.2,3.3,0.1,0.8,
1516resq-gajr,10628,The Phantoms,6,6,126,59,5,,0.60,30.4,27.2,23.0,19.6,3.9,3.2,0.0,0.0,23.4,20.9,0.0,0.0,3.1,3.0,4.3,4.5,
1516resq-gajr,5170,G.E.A.R.S. Black,7,6,45,46,5,S1,0.60,6.8,9.1,0.6,2.4,0.5,0.5,0.0,0.0,9.7,10.7,0.0,0.0,-3.4,-2.2,9.7,8.7,
1516resq-gajr,5940,Rockin' Robots,8,5,96,58,5,F1,0.50,11.4,13.0,13.2,13.0,-0.0,-0.0,0.0,0.0,14.5,14.7,0.0,0.0,-3.1,-1.8,1.4,1.7,
1516resq-gajr,8678,OptiMISS,9,4,95,84,5,W1,0.40,20.2,20.2,15.8,15.3,0.3,0.3,0.0,0.0,12.1,13.1,0.0,0.0,7.8,6.7,-3.4,-1.9,
1516resq-gajr,7377,Adeamus,10,3,143,54,5,,0.30,16.3,16.7,17.1,15.7,0.5,0.4,0.0,0.0,15.2,14.6,0.0,0.0,0.6,1.5,-1.4,-0.7,
1516resq-gajr,7437,L.E.D.,11,2,91,57,5,,0.20,9.2,11.2,-6.2,-2.1,0.2,0.3,0.0,0.0,3.0,5.5,0.0,0.0,6.0,5.4,9.4,7.9,
1516resq-gajr,8875,(Au)tobots,12,0,93,54,5,,0.00,8.3,9.8,-9.2,-5.8,-1.1,-0.8,0.0,0.0,6.0,6.9,0.0,0.0,3.4,3.6,14.1,11.9,
