TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-hicmp,5902,BuffnBlue-808,1,0,0,0,0,F1,
1516resq-hicmp,6109,Punabots,2,0,0,0,0,FC,
1516resq-hicmp,6175,Space Cacti,3,0,0,0,0,S1,
1516resq-hicmp,6963,BuffnBlue5,4,0,0,0,0,S2,
1516resq-hicmp,7438,TroboBots,5,0,0,0,0,W2,
1516resq-hicmp,7548,Velocity,6,0,0,0,0,SC,
1516resq-hicmp,7550,Fig Newtons,7,0,0,0,0,WC,
1516resq-hicmp,7865,wizard knights,8,0,0,0,0,W1,
1516resq-hicmp,8740,Iobotics,9,0,0,0,0,SC,
1516resq-hicmp,8741,Iolani,10,0,0,0,0,S1,
1516resq-hicmp,10258,Bearbotics,11,0,0,0,0,F2,
1516resq-hicmp,10557,Blue Thunder,12,0,0,0,0,S2,
