TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-ia-cmplcr-Q-1,Q-1,110-64 R,7110,8669,0,7130,6499,0,110,35,0,75,0,0,64,5,0,59,0,0,
1516resq-ia-cmplcr-Q-2,Q-2,14-30 B,4150,8732,0,10525,9969,0,14,0,0,14,0,0,30,5,0,25,0,0,
1516resq-ia-cmplcr-Q-3,Q-3,38-23 R,4324,10107,0,10110,6458,0,38,0,0,38,0,0,23,0,0,23,0,0,
1516resq-ia-cmplcr-Q-4,Q-4,70-47 R,5063,5913,0,9708,4175,0,70,0,0,70,0,0,47,0,0,7,0,40,
1516resq-ia-cmplcr-Q-5,Q-5,80-35 R,6113,6121,0,7189,9950,0,80,0,0,70,0,10,35,0,0,35,0,0,
1516resq-ia-cmplcr-Q-6,Q-6,67-85 B,6532,9925,0,9988,4272,0,67,0,0,67,0,0,85,5,0,70,0,10,
1516resq-ia-cmplcr-Q-7,Q-7,15-14 R,6458,7130,0,8732,9708,0,15,0,0,15,0,0,14,0,0,14,0,0,
1516resq-ia-cmplcr-Q-8,Q-8,130-54 R,10107,9950,0,10525,5063,0,130,0,0,50,80,0,54,5,0,9,0,40,
1516resq-ia-cmplcr-Q-9,Q-9,109-51 R,9988,7110,0,4324,7189,0,109,5,0,104,0,0,51,0,0,11,0,40,
1516resq-ia-cmplcr-Q-10,Q-10,39-17 R,4150,6121,0,10110,6532,0,39,0,0,39,0,0,17,0,0,17,0,0,
1516resq-ia-cmplcr-Q-11,Q-11,16-60 B,4175,4272,0,8669,6113,0,16,0,0,16,0,0,60,5,0,55,0,0,
1516resq-ia-cmplcr-Q-12,Q-12,135-81 R,9925,6499,0,9969,5913,0,135,0,0,55,80,0,81,5,0,76,0,0,
1516resq-ia-cmplcr-Q-13,Q-13,71-72 B,9708,7110,0,6532,9950,0,71,5,0,66,0,0,72,0,0,72,0,0,
1516resq-ia-cmplcr-Q-14,Q-14,70-66 R,10110,4272,0,5063,8732,0,70,0,0,70,0,0,66,0,0,66,0,0,
1516resq-ia-cmplcr-Q-15,Q-15,16-26 B,7189,4175,0,4150,6499,0,16,0,0,16,0,0,26,0,0,26,0,0,
1516resq-ia-cmplcr-Q-16,Q-16,112-70 R,6113,9969,0,9988,10107,0,112,5,0,27,80,0,70,0,0,70,0,0,
1516resq-ia-cmplcr-Q-17,Q-17,9-158 B,4324,6121,0,7130,9925,0,9,0,0,9,0,0,158,0,0,78,80,0,
1516resq-ia-cmplcr-Q-18,Q-18,108-22 R,6458,8669,0,5913,10525,0,108,5,0,103,0,0,22,5,0,17,0,0,
1516resq-ia-cmplcr-Q-19,Q-19,84-11 R,10107,8732,0,4175,6532,0,84,0,0,44,0,40,11,0,0,11,0,0,
1516resq-ia-cmplcr-Q-20,Q-20,86-85 R,4324,9950,0,4272,9969,0,86,0,0,86,0,0,85,5,0,70,0,10,
1516resq-ia-cmplcr-Q-21,Q-21,75-17 R,5913,7130,0,4150,9988,0,75,5,0,60,0,10,17,5,0,12,0,0,
1516resq-ia-cmplcr-Q-22,Q-22,21-0 R,10525,9708,0,6113,6499,0,21,0,0,21,0,0,0,0,0,0,0,0,
1516resq-ia-cmplcr-Q-23,Q-23,91-78 R,8669,10110,0,9925,7189,0,91,5,0,86,0,0,78,0,0,78,0,0,
1516resq-ia-cmplcr-Q-24,Q-24,67-43 R,5063,6458,0,6121,7110,0,67,0,0,67,0,0,43,5,0,38,0,0,
1516resq-ia-cmplcr-Q-25,Q-25,50-28 R,6499,9988,0,8732,9950,0,50,5,0,45,0,0,28,0,0,28,0,0,
1516resq-ia-cmplcr-Q-26,Q-26,32-96 B,9708,4150,0,4324,8669,0,32,0,0,32,0,0,96,5,0,91,0,0,
1516resq-ia-cmplcr-Q-27,Q-27,47-64 B,4272,5913,0,10107,6121,0,47,5,0,42,0,0,64,10,0,54,0,0,
1516resq-ia-cmplcr-Q-28,Q-28,20-28 B,6532,9969,0,7189,7130,0,20,5,0,15,0,0,28,0,0,28,0,0,
1516resq-ia-cmplcr-Q-29,Q-29,171-16 R,5063,9925,0,6113,6458,0,171,0,0,91,80,0,16,0,0,16,0,0,
1516resq-ia-cmplcr-Q-30,Q-30,27-23 R,10110,10525,0,7110,4175,0,27,0,0,27,0,0,23,0,0,23,0,0,
1516resq-ia-cmplcr-SF-1-1,SF-1-1,79-62 R,7130,6113,6458,9988,6499,4272,79,0,0,79,0,0,62,5,0,47,0,10,
1516resq-ia-cmplcr-SF-2-1,SF-2-1,111-165 B,9950,7110,5913,9925,8669,6121,111,5,0,106,0,0,165,5,0,80,80,0,
1516resq-ia-cmplcr-SF-1-2,SF-1-2,69-34 R,7130,6113,6458,9988,6499,4272,69,0,0,69,0,0,34,5,0,29,0,0,
1516resq-ia-cmplcr-SF-2-2,SF-2-2,93-166 B,9950,7110,5913,9925,8669,6121,93,0,0,93,0,0,166,0,0,86,80,0,
1516resq-ia-cmplcr-F-1,F-1,146-102 R,7130,6113,6458,9925,8669,6121,146,0,0,66,80,0,102,5,0,97,0,0,
1516resq-ia-cmplcr-F-2,F-2,26-152 B,7130,6113,6458,9925,8669,6121,26,0,0,26,0,0,152,0,0,72,80,0,
1516resq-ia-cmplcr-F-3,F-3,19-152 B,7130,6113,6458,9925,8669,6121,19,0,0,19,0,0,152,5,0,67,80,0,
