TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-iacmplab-Q-1,Q-1,64-20 R,7500,8749,0,6551,4389,0,64,0,0,64,0,0,20,0,0,20,0,0,
1516resq-iacmplab-Q-2,Q-2,83-48 R,8953,8922,0,5445,10599,0,83,5,0,78,0,0,48,0,0,48,0,0,
1516resq-iacmplab-Q-3,Q-3,36-67 B,8008,5094,0,7247,5023,0,36,5,0,31,0,0,67,5,0,52,0,10,
1516resq-iacmplab-Q-4,Q-4,64-44 R,9120,10383,0,8915,5149,0,64,0,0,54,0,10,44,5,0,39,0,0,
1516resq-iacmplab-Q-5,Q-5,28-21 R,6189,8650,0,7248,6252,0,28,0,0,18,0,10,21,0,0,21,0,0,
1516resq-iacmplab-Q-6,Q-6,59-50 R,6661,7500,0,10069,5094,0,59,0,0,59,0,0,50,0,0,50,0,0,
1516resq-iacmplab-Q-7,Q-7,45-39 R,5149,7247,0,8922,7248,0,45,0,0,45,0,0,39,0,0,39,0,0,
1516resq-iacmplab-Q-8,Q-8,69-56 R,6252,5445,0,8008,6661,0,69,0,0,59,0,10,56,0,0,56,0,0,
1516resq-iacmplab-Q-9,Q-9,18-65 B,4389,5023,0,10069,9120,0,18,0,0,18,0,0,65,0,0,65,0,0,
1516resq-iacmplab-Q-10,Q-10,67-87 B,8915,6189,0,8749,8953,0,67,0,0,67,0,0,87,5,0,82,0,0,
1516resq-iacmplab-Q-11,Q-11,19-46 B,6551,10383,0,10599,8650,0,19,0,0,9,0,10,46,0,0,36,0,10,
1516resq-iacmplab-Q-12,Q-12,34-73 B,7248,5023,0,7500,8953,0,34,0,0,34,0,0,73,0,0,73,0,0,
1516resq-iacmplab-Q-13,Q-13,64-62 R,5094,4389,0,6252,5149,0,64,5,0,59,0,0,62,0,0,62,0,0,
1516resq-iacmplab-Q-14,Q-14,127-67 R,10069,6189,0,10383,5445,0,127,0,0,117,0,10,67,0,0,67,0,0,
1516resq-iacmplab-Q-15,Q-15,51-78 B,8922,8650,0,9120,8749,0,51,0,0,41,0,10,78,0,0,78,0,0,
1516resq-iacmplab-Q-16,Q-16,52-39 R,7247,10599,0,6661,8915,0,52,0,0,52,0,0,39,0,0,39,0,0,
1516resq-iacmplab-Q-17,Q-17,58-40 R,6551,6189,0,8008,5149,0,58,0,0,48,0,10,40,0,0,40,0,0,
1516resq-iacmplab-Q-18,Q-18,52-95 B,8749,7248,0,10599,5094,0,52,0,0,52,0,0,95,5,0,90,0,0,
1516resq-iacmplab-Q-19,Q-19,32-26 R,8922,6252,0,7500,5023,0,32,5,0,27,0,0,26,0,0,16,0,10,
1516resq-iacmplab-Q-20,Q-20,69-33 R,9120,5445,0,6551,7247,0,69,0,0,69,0,0,33,5,0,8,0,20,
1516resq-iacmplab-Q-21,Q-21,95-33 R,10383,6661,0,4389,8953,0,95,0,0,95,0,0,33,0,0,33,0,0,
1516resq-iacmplab-Q-22,Q-22,82-19 R,10069,8915,0,8650,8008,0,82,0,0,72,0,10,19,0,0,19,0,0,
1516resq-iacmplab-Q-23,Q-23,100-10 R,8953,5094,0,6551,8922,0,100,5,0,85,0,10,10,0,0,10,0,0,
1516resq-iacmplab-Q-24,Q-24,73-57 R,5023,5149,0,6661,8650,0,73,0,0,73,0,0,57,0,0,57,0,0,
1516resq-iacmplab-Q-25,Q-25,21-79 B,7248,8915,0,5445,4389,0,21,0,0,21,0,0,79,5,0,74,0,0,
1516resq-iacmplab-Q-26,Q-26,55-67 B,10599,9120,0,7500,6189,0,55,0,0,55,0,0,67,0,0,67,0,0,
1516resq-iacmplab-Q-27,Q-27,89-40 R,10069,8749,0,7247,6252,0,89,0,0,79,0,10,40,10,0,30,0,0,
1516resq-iacmplab-Q-28,Q-28,60-62 B,8008,7500,0,10383,7248,0,60,0,0,50,0,10,62,0,0,52,0,10,
1516resq-iacmplab-SF-1-1,SF-1-1,117-73 R,6189,8953,7247,5149,10069,10383,117,5,0,112,0,0,73,0,0,73,0,0,
1516resq-iacmplab-SF-2-1,SF-2-1,69-109 B,5445,4389,7248,7500,8749,5094,69,0,0,69,0,0,109,5,0,94,0,10,
1516resq-iacmplab-SF-1-2,SF-1-2,108-80 R,6189,8953,7247,5149,10069,10383,108,5,0,103,0,0,80,0,0,80,0,0,
1516resq-iacmplab-SF-2-2,SF-2-2,67-121 B,5445,4389,7248,7500,8749,5094,67,0,0,67,0,0,121,0,0,121,0,0,
1516resq-iacmplab-F-1,F-1,144-63 R,6189,8953,7247,7500,8749,5094,144,5,0,139,0,0,63,0,0,63,0,0,
1516resq-iacmplab-F-2,F-2,99-56 R,6189,8953,7247,7500,8749,5094,99,0,0,99,0,0,56,5,0,51,0,0,
