TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-iacmplhi-Q-1,Q-1,9-100 B,6072,8022,0,3608,8682,0,9,0,0,9,0,0,100,0,0,10,80,10,
1516resq-iacmplhi-Q-2,Q-2,31-71 B,10602,6583,0,4173,7267,0,31,0,0,31,0,0,71,0,0,71,0,0,
1516resq-iacmplhi-Q-3,Q-3,22-17 R,7323,10181,0,8694,8484,0,22,0,0,22,0,0,17,0,0,17,0,0,
1516resq-iacmplhi-Q-4,Q-4,56-69 B,9052,10038,0,8189,4443,0,56,0,0,56,0,0,69,0,0,69,0,0,
1516resq-iacmplhi-Q-5,Q-5,17-29 B,10160,4144,0,5154,6147,0,17,5,0,12,0,0,29,0,0,29,0,0,
1516resq-iacmplhi-Q-6,Q-6,17-11 R,7236,4237,0,8561,8694,0,17,0,0,17,0,0,11,0,0,11,0,0,
1516resq-iacmplhi-Q-7,Q-7,17-50 B,6072,10038,0,8484,10602,0,17,0,0,17,0,0,50,0,0,50,0,0,
1516resq-iacmplhi-Q-8,Q-8,10-41 B,3608,6583,0,8561,7323,0,10,0,0,10,0,0,41,0,0,41,0,0,
1516resq-iacmplhi-Q-9,Q-9,91-19 R,8682,9052,0,4237,10160,0,91,0,0,11,80,0,19,0,0,19,0,0,
1516resq-iacmplhi-Q-10,Q-10,75-21 R,4173,6147,0,7236,10181,0,75,0,0,75,0,0,21,0,0,21,0,0,
1516resq-iacmplhi-Q-11,Q-11,38-2 R,4443,7267,0,8022,5154,0,38,0,0,38,0,0,2,0,0,2,0,0,
1516resq-iacmplhi-Q-12,Q-12,41-94 B,8189,8561,0,4144,8682,0,41,0,0,41,0,0,94,0,0,14,80,0,
1516resq-iacmplhi-Q-13,Q-13,71-53 R,9052,5154,0,7323,4173,0,71,0,0,71,0,0,53,0,0,53,0,0,
1516resq-iacmplhi-Q-14,Q-14,56-46 R,3608,6147,0,7267,10038,0,56,0,0,56,0,0,46,0,0,46,0,0,
1516resq-iacmplhi-Q-15,Q-15,39-96 B,4237,10181,0,8189,6072,0,39,0,0,39,0,0,96,0,0,96,0,0,
1516resq-iacmplhi-Q-16,Q-16,72-17 R,4443,10602,0,8694,10160,0,72,0,0,72,0,0,17,0,0,17,0,0,
1516resq-iacmplhi-Q-17,Q-17,44-35 R,8022,8484,0,6583,4144,0,44,0,0,44,0,0,35,5,0,30,0,0,
1516resq-iacmplhi-Q-18,Q-18,81-104 B,7236,5154,0,8189,3608,0,81,0,0,1,80,0,104,0,0,104,0,0,
1516resq-iacmplhi-Q-19,Q-19,28-5 R,10181,10602,0,8022,9052,0,28,0,0,28,0,0,5,0,0,5,0,0,
1516resq-iacmplhi-Q-20,Q-20,19-116 B,4173,8694,0,10038,8682,0,19,0,0,19,0,0,116,0,0,36,80,0,
1516resq-iacmplhi-Q-21,Q-21,35-77 B,8561,8484,0,4443,6147,0,35,0,0,35,0,0,77,0,0,77,0,0,
1516resq-iacmplhi-Q-22,Q-22,8-49 B,7236,10160,0,6072,6583,0,8,0,0,8,0,0,49,0,0,49,0,0,
1516resq-iacmplhi-Q-23,Q-23,44-58 B,7323,4144,0,4237,7267,0,44,5,0,39,0,0,58,0,0,58,0,0,
1516resq-iacmplhi-Q-24,Q-24,58-27 R,6583,5154,0,10181,8682,0,58,0,0,58,0,0,27,10,0,17,0,0,
1516resq-iacmplhi-Q-25,Q-25,41-72 B,6072,8694,0,4144,9052,0,41,0,0,41,0,0,72,5,0,47,0,20,
1516resq-iacmplhi-Q-26,Q-26,14-53 B,10160,10038,0,8022,8561,0,14,0,0,4,0,10,53,0,0,53,0,0,
1516resq-iacmplhi-Q-27,Q-27,108-8 R,4173,4443,0,3608,4237,0,108,0,0,108,0,0,8,5,0,3,0,0,
1516resq-iacmplhi-Q-28,Q-28,105-9 R,8189,6147,0,10602,7323,0,105,0,0,105,0,0,9,0,0,9,0,0,
1516resq-iacmplhi-Q-29,Q-29,34-88 B,7267,8484,0,7236,9052,0,34,0,0,34,0,0,88,0,0,88,0,0,
1516resq-iacmplhi-SF-1-1,SF-1-1,99-54 R,6147,8189,10602,6072,10038,8561,99,0,0,99,0,0,54,0,0,54,0,0,
1516resq-iacmplhi-SF-1-2,SF-1-2,66-67 B,6147,8189,10602,6072,10038,8561,66,0,0,66,0,0,67,0,0,67,0,0,
1516resq-iacmplhi-SF-1-3,SF-1-3,136-47 R,6147,8189,10602,6072,10038,8561,136,0,0,56,80,0,47,5,0,42,0,0,
1516resq-iacmplhi-SF-2-1,SF-2-1,99-155 B,4443,8682,7267,9052,7236,4144,99,0,0,9,80,10,155,0,0,75,80,0,
1516resq-iacmplhi-SF-2-2,SF-2-2,105-97 R,4443,8682,7267,9052,7236,4144,105,0,0,25,80,0,97,5,0,12,80,0,
1516resq-iacmplhi-SF-2-3,SF-2-3,158-98 R,4443,8682,7267,9052,7236,4144,158,5,0,73,80,0,98,0,0,98,0,0,
1516resq-iacmplhi-F-1,F-1,142-119 R,6147,8189,10602,4443,8682,7267,142,0,0,62,80,0,119,5,0,114,0,0,
1516resq-iacmplhi-F-2,F-2,80-51 R,6147,8189,10602,4443,8682,7267,80,0,0,70,0,10,51,0,0,51,0,0,
