TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-iacmplhi,6147,Newbotics,1,10,128,105,5,WC,
1516resq-iacmplhi,4443,Sock Monkeys,2,10,118,108,5,FC,
1516resq-iacmplhi,8189,Warren County 4H Robotics,3,8,226,105,5,W1,
1516resq-iacmplhi,8682,Insurmountable Breakfast,4,8,115,116,5,F1,
1516resq-iacmplhi,5154,R.O.M.,5,6,180,81,5,,
1516resq-iacmplhi,7267,Robot Warriors,6,6,157,71,5,F2,
1516resq-iacmplhi,9052,Recharged Orange,7,6,155,91,5,SC,
1516resq-iacmplhi,3608,Ninjaneers,8,6,154,104,5,,
1516resq-iacmplhi,4173,Bionic Bulldogs,9,6,132,108,5,,
1516resq-iacmplhi,10602,NiceBot,10,6,79,72,5,W2,
1516resq-iacmplhi,4144,Engineer Imagineer,11,4,178,94,5,S2,
1516resq-iacmplhi,7236,Recharged Green,12,4,155,88,5,S1,
1516resq-iacmplhi,8484,Bloodhounds,13,4,138,50,5,,
1516resq-iacmplhi,7323,Trojan Transducers,14,4,133,53,5,,
1516resq-iacmplhi,4237,Hordes of Nords,15,4,121,58,5,,
1516resq-iacmplhi,6072,WildBots,16,4,114,96,5,SC,
1516resq-iacmplhi,6583,bionikats,17,4,111,58,5,,
1516resq-iacmplhi,10181,New Horizons,18,4,109,39,5,,
1516resq-iacmplhi,8561,Comet Robotics,19,4,101,53,5,S2,
1516resq-iacmplhi,8022,WHS,20,4,55,53,5,,
1516resq-iacmplhi,10038,Illuminati Confirmed,21,2,142,116,5,S1,
1516resq-iacmplhi,8694,Small Town Hippie Bots,22,0,105,41,5,,
1516resq-iacmplhi,10160,Keokuk Middle School,23,0,65,19,5,,
