TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-il-ch-Q-1,Q-1,30-39 B,8873,10138,0,5452,7738,0,30,0,0,30,0,0,39,5,0,34,0,0,
1516resq-il-ch-Q-2,Q-2,34-52 B,7007,10415,0,10252,9506,0,34,5,0,19,0,10,52,20,0,32,0,0,
1516resq-il-ch-Q-3,Q-3,52-70 B,9929,10182,0,7030,10253,0,52,5,0,47,0,0,70,5,0,55,0,10,
1516resq-il-ch-Q-4,Q-4,115-73 R,10510,4965,0,7351,10608,0,115,0,0,35,80,0,73,5,0,68,0,0,
1516resq-il-ch-Q-5,Q-5,26-42 B,4337,10836,0,10635,10387,0,26,0,0,26,0,0,42,5,0,37,0,0,
1516resq-il-ch-Q-6,Q-6,46-40 R,8770,10630,0,4442,5072,0,46,0,0,36,0,10,40,0,0,40,0,0,
1516resq-il-ch-Q-7,Q-7,32-52 B,116,5294,0,10109,10607,0,32,0,0,32,0,0,52,5,0,47,0,0,
1516resq-il-ch-Q-8,Q-8,61-105 B,10510,10182,0,10252,4337,0,61,0,0,61,0,0,105,0,0,15,80,10,
1516resq-il-ch-Q-9,Q-9,105-34 R,10387,10608,0,8873,7007,0,105,0,0,35,0,70,34,5,0,29,0,0,
1516resq-il-ch-Q-10,Q-10,30-105 B,7030,10415,0,10109,10630,0,30,0,0,30,0,0,105,0,0,45,0,60,
1516resq-il-ch-Q-11,Q-11,117-17 R,7351,116,0,9506,7738,0,117,5,0,112,0,0,17,0,0,7,0,10,
1516resq-il-ch-Q-12,Q-12,135-65 R,10635,5452,0,9929,5072,0,135,0,0,125,0,10,65,5,0,60,0,0,
1516resq-il-ch-Q-13,Q-13,66-43 R,10607,10138,0,8770,4965,0,66,0,0,46,20,0,43,0,0,43,0,0,
1516resq-il-ch-Q-14,Q-14,45-59 B,10253,4442,0,5294,10836,0,45,5,0,40,0,0,59,0,0,59,0,0,
1516resq-il-ch-Q-15,Q-15,16-14 R,9506,10387,0,7030,5452,0,16,0,0,16,0,0,14,5,0,9,0,0,
1516resq-il-ch-Q-16,Q-16,139-105 R,4337,5072,0,4965,10415,0,139,0,0,59,0,80,105,0,0,65,0,40,
1516resq-il-ch-Q-17,Q-17,56-32 R,5294,7738,0,7007,10510,0,56,0,0,56,0,0,32,0,0,32,0,0,
1516resq-il-ch-Q-18,Q-18,18-52 B,10635,10182,0,10109,8770,0,18,5,0,13,0,0,52,5,0,47,0,0,
1516resq-il-ch-Q-19,Q-19,21-52 B,10253,10607,0,10608,10630,0,21,0,0,21,0,0,52,0,0,42,0,10,
1516resq-il-ch-Q-20,Q-20,141-116 R,7351,8873,0,9929,10836,0,141,10,0,131,0,0,116,0,0,36,0,80,
1516resq-il-ch-Q-21,Q-21,48-62 B,4442,10252,0,116,10138,0,48,0,0,48,0,0,62,5,0,57,0,0,
1516resq-il-ch-Q-22,Q-22,51-119 B,8770,10415,0,5452,10253,0,51,0,0,51,0,0,119,5,0,104,0,10,
1516resq-il-ch-Q-23,Q-23,5-78 B,7738,4965,0,10387,10182,0,5,0,0,5,0,0,78,5,0,33,0,40,
1516resq-il-ch-Q-24,Q-24,99-18 R,10109,9929,0,9506,10608,0,99,5,0,74,0,20,18,0,0,8,0,10,
1516resq-il-ch-Q-25,Q-25,148-185 B,10635,10630,0,7007,10138,0,148,5,0,143,0,0,185,45,0,120,20,0,
1516resq-il-ch-Q-26,Q-26,39-9 R,4337,4442,0,10607,7351,0,39,0,0,39,0,0,9,0,0,9,0,0,
1516resq-il-ch-Q-27,Q-27,93-5 R,10510,5072,0,10836,116,0,93,0,0,93,0,0,5,0,0,5,0,0,
1516resq-il-ch-Q-28,Q-28,46-29 R,7030,8873,0,10252,5294,0,46,5,0,41,0,0,29,0,0,29,0,0,
1516resq-il-ch-Q-29,Q-29,86-39 R,9929,10387,0,4442,10415,0,86,5,0,81,0,0,39,0,0,29,0,10,
1516resq-il-ch-Q-30,Q-30,27-74 B,9506,10607,0,10635,10510,0,27,0,0,27,0,0,74,5,0,69,0,0,
1516resq-il-ch-Q-31,Q-31,82-25 R,5452,10630,0,4965,10836,0,82,5,0,77,0,0,25,0,0,25,0,0,
1516resq-il-ch-Q-32,Q-32,54-85 B,10253,4337,0,8873,116,0,54,5,0,49,0,0,85,5,0,30,0,50,
1516resq-il-ch-Q-33,Q-33,123-64 R,7738,10109,0,10252,5072,0,123,5,0,38,80,0,64,0,0,54,0,10,
1516resq-il-ch-Q-34,Q-34,57-82 B,10608,5294,0,10182,10138,0,57,0,0,57,0,0,82,10,0,32,0,40,
1516resq-il-ch-Q-35,Q-35,12-87 B,7007,8770,0,7030,7351,0,12,0,0,12,0,0,87,5,0,82,0,0,
1516resq-il-ch-SF-1-1,SF-1-1,55-115 B,10109,10630,7738,5452,10635,8873,55,5,0,50,0,0,115,5,0,90,0,20,
1516resq-il-ch-SF-2-1,SF-2-1,93-86 R,10387,4337,10252,10138,7351,4965,93,0,0,93,0,0,86,5,0,71,0,10,
1516resq-il-ch-SF-1-2,SF-1-2,61-139 B,10109,10630,7738,5452,10635,8873,61,5,0,56,0,0,139,10,0,109,0,20,
1516resq-il-ch-SF-2-2,SF-2-2,74-169 B,10387,4337,10252,10138,7351,4965,74,0,0,74,0,0,169,0,0,149,20,0,
1516resq-il-ch-SF-2-3,SF-2-3,58-161 B,10387,4337,10252,10138,7351,4965,58,0,0,58,0,0,161,0,0,61,100,0,
1516resq-il-ch-F-1,F-1,134-90 R,5452,10635,8873,10138,7351,4965,134,5,0,49,80,0,90,5,0,85,0,0,
1516resq-il-ch-F-2,F-2,101-116 B,5452,10635,8873,10138,7351,4965,101,10,0,91,0,0,116,0,0,76,0,40,
1516resq-il-ch-F-3,F-3,107-89 R,5452,10635,8873,10138,7351,4965,107,0,0,107,0,0,89,5,0,84,0,0,
