TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-il-cmplni,9411,Rolling Thunder,1,10,289,162,5,S1,1.00,96.9,83.7,87.8,76.2,0.3,0.2,0.0,0.0,42.9,39.1,47.4,38.0,6.2,6.2,2.8,1.1,
1516resq-il-cmplni,10482,Dream Machine,2,8,412,197,5,,0.80,89.2,79.8,86.3,76.0,1.2,0.9,0.0,0.0,69.6,62.7,13.5,11.4,4.9,4.6,-2.0,-1.0,
1516resq-il-cmplni,8685,4-H Techno Tamarins,3,8,394,178,5,FC,0.80,56.4,54.0,33.3,32.9,1.9,1.5,0.0,0.0,23.3,27.6,7.6,3.9,23.6,20.7,-0.6,0.2,
1516resq-il-cmplni,7351,Dynamic Signals,4,8,374,263,5,WC,0.80,111.4,98.5,97.1,85.6,0.1,0.4,0.0,0.0,96.0,84.4,-1.3,-0.7,16.5,14.0,-2.3,-1.3,
1516resq-il-cmplni,9113,Blue,5,8,353,172,5,SC,0.80,41.1,45.7,40.8,43.8,-2.6,-1.7,0.0,0.0,51.2,50.4,-6.7,-3.8,-0.8,0.5,1.1,1.2,
1516resq-il-cmplni,5199,Duct Tape and a Prayer,6,6,521,154,5,W1,0.60,91.9,82.2,79.8,72.3,0.3,0.3,0.0,0.0,89.8,78.4,-3.3,-2.5,5.2,5.7,7.0,4.0,
1516resq-il-cmplni,10415,Warbots,7,6,439,151,5,,0.60,56.9,57.7,43.8,46.3,0.5,0.8,0.0,0.0,56.5,55.0,-11.8,-7.5,11.8,9.1,1.4,2.2,
1516resq-il-cmplni,6200,RetroBots,8,6,372,197,5,SC,0.60,60.4,58.0,52.7,49.1,0.1,0.2,0.0,0.0,24.2,28.6,40.0,31.3,-3.9,-2.4,11.6,11.0,
1516resq-il-cmplni,7715,Robotic Lions,9,6,317,263,5,,0.60,63.7,63.9,49.1,51.2,1.3,1.9,0.0,0.0,51.9,52.9,0.3,0.4,10.2,8.4,4.4,4.1,
1516resq-il-cmplni,8817,Fruit Salad,10,6,315,127,5,F1,0.60,66.6,59.5,49.7,43.4,7.3,6.0,0.0,0.0,66.8,57.8,-1.4,-1.3,-6.0,-3.3,22.9,19.2,
1516resq-il-cmplni,6007,Octopi,11,6,249,178,5,F2,0.60,53.2,54.9,29.5,33.4,0.8,1.2,0.0,0.0,57.9,51.9,-23.7,-14.4,18.2,15.9,5.4,5.4,
1516resq-il-cmplni,4442,AluminNati,12,6,227,183,5,,0.60,54.6,52.8,57.8,53.1,3.7,3.1,0.0,0.0,37.0,34.4,23.1,20.2,-9.3,-5.2,6.0,4.7,
1516resq-il-cmplni,8708,Erabotics,13,6,211,82,5,,0.60,18.2,21.2,-6.7,-0.0,1.2,1.1,0.0,0.0,29.4,27.6,-12.9,-7.9,0.5,0.2,24.5,20.9,
1516resq-il-cmplni,3785,Beastie Bots,14,4,489,175,5,S1,0.40,67.6,60.5,64.7,55.6,10.4,8.6,0.0,0.0,54.1,48.0,6.6,4.9,-3.5,-1.2,6.5,6.0,
1516resq-il-cmplni,10326,They Might Be Robots,15,4,429,146,5,,0.40,45.6,48.8,56.0,54.9,3.2,2.9,0.0,0.0,27.5,32.3,13.3,12.4,1.5,0.9,-12.0,-7.2,
1516resq-il-cmplni,8698,Guilford Vikings,16,4,387,138,5,,0.40,49.3,47.9,59.7,53.9,0.5,0.7,0.0,0.0,50.3,47.1,0.4,0.7,-1.9,-0.9,-8.5,-5.3,
1516resq-il-cmplni,10363,Knights of Tech,17,4,368,233,5,S2,0.40,75.7,67.6,66.5,59.2,12.5,10.2,0.0,0.0,53.1,47.2,4.3,4.1,5.8,5.9,3.4,2.4,
1516resq-il-cmplni,10091,N.Y.A.N. Robotics,18,4,329,183,5,W2,0.40,65.1,60.6,60.2,55.4,9.4,7.9,0.0,0.0,37.8,39.0,19.9,14.8,-2.0,-1.4,6.9,6.5,
1516resq-il-cmplni,8608,Shockwave,19,4,310,175,5,S2,0.40,27.2,32.2,27.0,30.2,4.9,4.2,0.0,0.0,20.1,24.6,3.6,2.7,-1.4,0.4,1.5,1.4,
1516resq-il-cmplni,5452,Robot to the Knee,20,4,278,138,5,,0.40,28.0,31.8,17.0,22.0,0.7,1.0,0.0,0.0,22.6,26.1,-2.5,-1.6,7.3,6.1,3.7,3.5,
1516resq-il-cmplni,8709,Roosevelt High School,21,4,278,113,5,,0.40,32.9,34.3,1.4,8.2,2.3,2.4,0.0,0.0,30.5,31.1,-3.3,-1.3,3.4,1.9,28.1,24.1,
1516resq-il-cmplni,8003,Rockford RoboTECH,22,4,229,152,5,,0.40,14.9,23.8,-6.0,5.4,-2.6,-1.5,0.0,0.0,-4.6,5.0,-0.2,3.1,22.2,16.9,-1.4,1.3,
1516resq-il-cmplni,10450,Scouts,23,4,199,60,5,,0.40,-24.5,-8.3,-8.3,2.1,-1.7,-0.8,0.0,0.0,-9.4,1.0,-9.4,-6.1,-3.9,-2.7,-12.3,-8.0,
1516resq-il-cmplni,7627,Breaking Bot,24,4,122,90,5,,0.40,6.6,13.1,3.2,9.6,0.4,0.6,0.0,0.0,11.4,14.0,-6.3,-3.7,1.2,2.0,2.2,1.3,
1516resq-il-cmplni,9239,WOW (Wise Owl Warriors),25,2,299,154,5,,0.20,12.3,22.6,4.2,15.0,-1.1,-0.0,0.0,0.0,6.3,15.3,-11.0,-6.6,18.1,13.6,-10.0,-6.1,
1516resq-il-cmplni,8706,Auburn High School,26,2,294,151,5,,0.20,50.4,45.3,37.8,32.8,1.8,1.3,0.0,0.0,51.0,45.1,8.5,4.9,-10.8,-6.3,23.5,18.6,
1516resq-il-cmplni,5495,Iron Eagles,27,2,262,110,5,,0.20,23.7,26.7,35.0,34.6,-0.9,-0.7,0.0,0.0,25.7,25.1,6.4,7.5,-7.5,-5.5,-3.7,-2.6,
1516resq-il-cmplni,10505,Minivation,28,2,219,86,5,,0.20,15.5,20.3,8.4,13.9,4.3,4.0,0.0,0.0,2.5,10.3,3.8,1.5,4.8,4.3,2.2,2.0,
1516resq-il-cmplni,9115,Gold,29,2,157,96,5,,0.20,-4.4,5.9,-8.7,0.3,-1.7,-1.0,0.0,0.0,-11.4,-0.7,5.2,3.6,3.5,3.7,0.9,1.7,
