TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-ilpe,5202,Zip TIE Fighters,1,10,178,174,5,WC,1.00,82.1,70.1,76.3,65.8,19.7,16.3,0.0,0.0,61.0,52.9,0.0,0.0,1.4,0.8,4.3,3.4,
1516resq-ilpe,6596,Robotic Rams,2,10,150,50,5,FC,1.00,28.8,25.9,24.0,22.3,2.4,1.6,0.0,0.0,21.8,20.7,0.0,0.0,4.6,3.6,0.1,-0.1,
1516resq-ilpe,6995,RGB,3,8,175,62,5,SC,0.80,25.2,24.5,26.8,25.0,-0.9,-0.5,0.0,0.0,26.8,25.0,0.0,0.0,-0.7,-0.0,-0.9,-0.5,
1516resq-ilpe,8128,Techno Raptors,4,8,110,58,5,SC,0.80,8.1,11.7,6.4,9.6,-4.8,-3.4,0.0,0.0,12.3,14.3,0.0,0.0,0.6,0.7,1.0,1.3,
1516resq-ilpe,8648,Manual Academy Rams,5,7,139,90,5,S2,0.70,13.5,16.7,18.3,19.6,-2.8,-1.3,0.0,0.0,18.2,19.1,0.0,0.0,-1.9,-1.2,-2.9,-1.8,
1516resq-ilpe,7869,Panthers,6,7,113,112,5,S1,0.70,11.3,14.3,15.2,16.3,7.4,6.4,0.0,0.0,6.8,9.6,0.0,0.0,-2.9,-1.7,-1.0,-0.3,
1516resq-ilpe,6933,Construction Zone,7,6,199,53,5,W1,0.60,29.2,26.4,31.5,27.6,0.8,0.4,0.0,0.0,31.9,28.1,0.0,0.0,-3.5,-2.2,1.1,0.9,
1516resq-ilpe,9788,Manual Academy RoboRams II,8,6,184,62,5,F1,0.60,33.3,30.1,15.6,15.4,1.5,1.2,0.0,0.0,20.1,19.2,0.0,0.0,11.7,9.7,6.0,4.9,
1516resq-ilpe,6994,Machination,9,6,143,80,5,S1,0.60,23.9,23.8,10.4,12.2,-3.7,-2.3,0.0,0.0,17.3,17.7,0.0,0.0,10.3,8.3,3.2,3.1,
1516resq-ilpe,10421,Kay Tech,10,5,166,99,5,,0.50,21.7,22.9,18.1,19.6,-0.4,0.6,0.0,0.0,21.7,21.9,0.0,0.0,0.3,0.3,3.3,2.9,
1516resq-ilpe,6746,D-Wingers,11,5,156,53,5,,0.50,7.2,10.8,5.6,8.7,-1.7,-1.0,0.0,0.0,5.0,8.2,0.0,0.0,3.9,3.4,-2.3,-1.4,
1516resq-ilpe,2923,Kaybots,12,5,111,174,5,W2,0.50,31.0,29.8,36.2,33.2,7.2,6.0,0.0,0.0,27.1,25.8,0.0,0.0,-3.3,-2.1,-1.9,-1.4,
1516resq-ilpe,10093,RoboKays,13,5,111,50,5,F2,0.50,11.3,11.5,7.2,8.7,1.0,0.9,0.0,0.0,8.4,9.4,0.0,0.0,1.9,1.1,2.3,1.7,
1516resq-ilpe,3640,The BoilerBots,14,5,105,45,5,S2,0.50,7.1,9.4,10.3,11.7,-2.4,-1.5,0.0,0.0,11.3,12.2,0.0,0.0,-1.8,-1.3,-1.4,-1.0,
1516resq-ilpe,9163,Quest Lady Gators,15,4,159,48,5,,0.40,20.8,20.8,14.7,14.9,-0.3,-0.1,0.0,0.0,19.5,19.0,0.0,0.0,1.6,1.8,4.5,4.0,
1516resq-ilpe,10420,Mechanized Kay-OS,16,4,152,50,5,,0.40,11.3,14.0,16.6,17.0,1.9,2.0,0.0,0.0,12.3,13.6,0.0,0.0,-2.8,-1.8,-2.4,-1.3,
1516resq-ilpe,10146,Invader Bots,17,3,93,80,5,,0.30,17.4,15.5,1.4,2.5,2.9,1.8,0.0,0.0,9.4,9.4,0.0,0.0,5.1,4.3,10.9,8.7,
1516resq-ilpe,9189,Optimus Primates,18,2,190,67,5,,0.20,23.6,23.0,15.6,16.1,0.4,0.3,0.0,0.0,20.1,20.0,0.0,0.0,3.1,2.7,4.9,4.2,
1516resq-ilpe,8899,EP Robo Raiders,19,2,146,48,5,,0.20,14.9,15.3,19.2,18.1,3.7,2.8,0.0,0.0,13.5,13.9,0.0,0.0,-2.3,-1.5,-2.0,-1.4,
1516resq-ilpe,4298,RoboLords,20,2,136,46,5,,0.20,19.5,17.8,16.8,15.6,0.3,0.1,0.0,0.0,15.9,14.9,0.0,0.0,3.3,2.7,-0.6,-0.6,
1516resq-ilpe,7317,Quest Gators,21,0,147,59,5,,0.00,17.0,17.2,7.8,8.8,-1.4,-0.9,0.0,0.0,15.9,15.5,0.0,0.0,2.5,2.5,6.7,5.7,
1516resq-ilpe,10101,TechnoBulllets,22,0,99,42,5,,0.00,0.2,4.5,5.5,7.8,0.1,0.5,0.0,0.0,1.8,5.0,0.0,0.0,-1.7,-1.1,-3.6,-2.3,
