TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-ine3,9789,TOXIC,1,10,128,113,5,WC,
1516resq-ine3,8746,EFF 5,2,10,128,111,5,W1,
1516resq-ine3,2803,Raptor Robotics,3,8,149,113,5,FC,
1516resq-ine3,4600,B1nary B0ts,4,8,106,65,5,SC,
1516resq-ine3,6450,Kinetic-ore,5,6,145,98,5,F1,
1516resq-ine3,8512,Release the Kraken!,6,6,90,69,5,S1,
1516resq-ine3,8711,The Gas Attendants,7,6,76,92,5,SC,
1516resq-ine3,4537,DRSS Enterprise,8,6,66,88,5,S1,
1516resq-ine3,9862,CTRL+ALT+DESTROY,9,6,60,52,5,S2,
1516resq-ine3,8997,N.E.R.D.S.,10,6,59,98,5,,
1516resq-ine3,9645,Equivalent Decimals,11,6,50,111,5,,
1516resq-ine3,9611,EC Central Tech Squad,12,6,35,56,5,,
1516resq-ine3,6360,Bumble Bots,13,5,65,53,5,F2,
1516resq-ine3,8435,KnightBot,14,4,132,86,5,W2,
1516resq-ine3,7790,Tektonic Ninjas,15,4,101,101,5,,
1516resq-ine3,9646,CDFTE (Cool Dudes Fighting the Evil),16,4,82,110,5,,
1516resq-ine3,5543,Team X,17,4,75,75,5,,
1516resq-ine3,4601,βeta Bots,18,4,74,33,5,,
1516resq-ine3,8272,Sparks,19,4,58,64,5,,
1516resq-ine3,10126,SFS Stands for Something,20,3,86,45,5,,
1516resq-ine3,9790,Vier Left,21,3,75,38,5,,
1516resq-ine3,9584,Sputniks,22,3,36,23,5,,
1516resq-ine3,5300,N.E.R.D. Nation,23,2,75,43,5,S2,
1516resq-ine3,10293,Falcon Robotics,24,2,22,52,5,,
1516resq-ine3,10459,Falcon Robotics III,25,0,61,39,5,,
