TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-inis-Q-1,Q-1,18-122 B,9790,6253,0,8578,8149,0,18,0,0,18,0,0,122,0,0,22,0,100,
1516resq-inis-Q-2,Q-2,16-9 R,10352,829,0,9816,2803,0,16,0,0,16,0,0,9,0,0,9,0,0,
1516resq-inis-Q-3,Q-3,173-15 R,7790,6194,0,9766,8746,0,173,0,0,43,80,50,15,5,0,0,0,10,
1516resq-inis-Q-4,Q-4,5-51 B,8435,10126,0,8913,3537,0,5,0,0,5,0,0,51,5,0,46,0,0,
1516resq-inis-Q-5,Q-5,105-0 R,10133,5943,0,9903,8711,0,105,0,0,105,0,0,0,0,0,0,0,0,
1516resq-inis-Q-6,Q-6,8-60 B,7193,9864,0,8971,7018,0,8,0,0,8,0,0,60,5,0,55,0,0,
1516resq-inis-Q-7,Q-7,52-46 R,6190,8793,0,4217,535,0,52,0,0,52,0,0,46,0,0,46,0,0,
1516resq-inis-Q-8,Q-8,6-82 B,8272,8997,0,8791,9789,0,6,0,0,6,0,0,82,5,0,77,0,0,
1516resq-inis-Q-9,Q-9,44-69 B,5943,10352,0,6194,8149,0,44,0,0,44,0,0,69,0,0,69,0,0,
1516resq-inis-Q-10,Q-10,48-67 B,8971,9766,0,3537,9816,0,48,5,0,33,0,10,67,5,0,62,0,0,
1516resq-inis-Q-11,Q-11,30-13 R,535,8913,0,7193,829,0,30,0,0,30,0,0,13,0,0,13,0,0,
1516resq-inis-Q-12,Q-12,47-24 R,6190,7018,0,10133,8272,0,47,0,0,47,0,0,24,0,0,24,0,0,
1516resq-inis-Q-13,Q-13,56-3 R,9790,8711,0,8997,7790,0,56,5,0,51,0,0,3,0,0,3,0,0,
1516resq-inis-Q-14,Q-14,171-39 R,9789,8578,0,4217,10126,0,171,0,0,11,0,160,39,0,0,39,0,0,
1516resq-inis-Q-15,Q-15,15-109 B,8746,2803,0,8793,8791,0,15,0,0,15,0,0,109,0,0,39,0,70,
1516resq-inis-Q-16,Q-16,4-16 B,9864,9903,0,6253,8435,0,4,0,0,4,0,0,16,0,0,16,0,0,
1516resq-inis-Q-17,Q-17,118-29 R,7018,3537,0,8711,8149,0,118,0,0,118,0,0,29,0,0,29,0,0,
1516resq-inis-Q-18,Q-18,35-119 B,9816,4217,0,6194,8272,0,35,0,0,35,0,0,119,0,0,39,80,0,
1516resq-inis-Q-19,Q-19,31-50 B,10126,8793,0,5943,7790,0,31,0,0,31,0,0,50,5,0,45,0,0,
1516resq-inis-Q-20,Q-20,121-40 R,8791,8578,0,9903,8971,0,121,5,0,116,0,0,40,5,0,35,0,0,
1516resq-inis-Q-21,Q-21,13-47 B,535,8435,0,10133,9766,0,13,0,0,13,0,0,47,5,0,42,0,0,
1516resq-inis-Q-22,Q-22,50-57 B,829,6190,0,6253,8746,0,50,0,0,50,0,0,57,0,0,57,0,0,
1516resq-inis-Q-23,Q-23,44-39 R,9790,2803,0,9789,7193,0,44,0,0,44,0,0,39,0,0,39,0,0,
1516resq-inis-Q-24,Q-24,89-7 R,10352,8913,0,8997,9864,0,89,0,0,89,0,0,7,0,0,7,0,0,
1516resq-inis-Q-25,Q-25,153-14 R,3537,9903,0,8793,8272,0,153,0,0,73,80,0,14,0,0,14,0,0,
1516resq-inis-Q-26,Q-26,44-88 B,8578,535,0,7018,6194,0,44,0,0,44,0,0,88,0,0,88,0,0,
1516resq-inis-Q-27,Q-27,1-13 B,7193,7790,0,6190,8435,0,1,0,0,1,0,0,13,0,0,13,0,0,
1516resq-inis-Q-28,Q-28,100-20 R,8971,10133,0,9790,10352,0,100,0,0,100,0,0,20,0,0,20,0,0,
1516resq-inis-Q-29,Q-29,19-41 B,9816,8711,0,9789,8746,0,19,5,0,14,0,0,41,0,0,41,0,0,
1516resq-inis-Q-30,Q-30,29-99 B,4217,6253,0,8913,8791,0,29,0,0,29,0,0,99,5,0,94,0,0,
1516resq-inis-Q-31,Q-31,45-77 B,9766,2803,0,5943,9864,0,45,0,0,45,0,0,77,5,0,32,0,40,
1516resq-inis-Q-32,Q-32,18-6 R,829,8149,0,10126,8997,0,18,0,0,18,0,0,6,0,0,6,0,0,
1516resq-inis-Q-33,Q-33,165-32 R,7790,8272,0,10352,535,0,165,0,0,15,0,150,32,0,0,32,0,0,
1516resq-inis-Q-34,Q-34,67-10 R,6194,10133,0,7193,6253,0,67,0,0,67,0,0,10,0,0,10,0,0,
1516resq-inis-Q-35,Q-35,18-112 B,9864,8746,0,8578,3537,0,18,0,0,18,0,0,112,5,0,107,0,0,
1516resq-inis-Q-36,Q-36,70-83 B,7018,8997,0,4217,5943,0,70,0,0,70,0,0,83,5,0,78,0,0,
