TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-macmplmi,10507,Knights,1,10,110,106,5,S1,
1516resq-macmplmi,9797,Eagle Empire,2,10,91,151,5,WC,
1516resq-macmplmi,8519,Mad McCannics,3,8,95,151,5,,
1516resq-macmplmi,3085,Higgs Bots,4,6,133,72,5,W1,
1516resq-macmplmi,3615,Blue Screen,5,6,80,84,5,SC,
1516resq-macmplmi,5397,The Bot Side,6,6,56,52,5,,
1516resq-macmplmi,10767,DEEZ GEARZ,7,6,48,36,5,,
1516resq-macmplmi,9237,TLD Robotics,8,4,154,98,5,,
1516resq-macmplmi,8470,Team Technado,9,4,114,122,5,FC,
1516resq-macmplmi,9725,Architechti Newmani,10,4,114,58,5,,
1516resq-macmplmi,8265,BeaverBots Blue,11,4,113,140,5,S1,
1516resq-macmplmi,8264,BeaverBots Yellow,12,4,105,60,5,,
1516resq-macmplmi,7237,Avengineers,13,4,98,127,5,F1,
1516resq-macmplmi,8227,Enginuity,14,4,55,37,5,,
1516resq-macmplmi,8238,BeaverBots Red,15,2,99,43,5,,
1516resq-macmplmi,9867,Evolution,16,2,96,67,5,SC,
1516resq-macmplmi,5060,Milton Static,17,2,70,49,5,,
