TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-macmplmi,10507,Knights,1,10,110,106,5,S1,1.00,39.2,36.5,42.3,37.9,3.1,2.5,0.0,0.0,37.4,34.5,0.0,0.0,-1.3,-0.6,-1.8,-1.0,
1516resq-macmplmi,9797,Eagle Empire,2,10,91,151,5,WC,1.00,96.1,84.0,76.2,66.8,-0.2,0.0,0.0,0.0,87.5,76.6,0.0,0.0,8.8,7.4,11.1,9.7,
1516resq-macmplmi,8519,Mad McCannics,3,8,95,151,5,,0.80,31.7,33.4,25.1,27.2,0.7,0.7,0.0,0.0,23.4,25.6,0.0,0.0,7.7,7.0,-1.0,-1.0,
1516resq-macmplmi,3085,Higgs Bots,4,6,133,72,5,W1,0.60,25.9,24.9,25.4,23.2,3.6,3.0,0.0,0.0,20.9,20.5,0.0,0.0,1.3,1.3,-0.9,0.2,
1516resq-macmplmi,3615,Blue Screen,5,6,80,84,5,SC,0.60,13.7,15.2,13.4,15.4,-0.8,-0.6,0.0,0.0,17.4,17.5,0.0,0.0,-2.8,-1.8,3.1,1.5,
1516resq-macmplmi,5397,The Bot Side,6,6,56,52,5,,0.60,10.4,10.6,4.5,5.3,-0.8,-0.6,0.0,0.0,7.3,8.3,0.0,0.0,4.0,2.8,2.0,2.3,
1516resq-macmplmi,10767,DEEZ GEARZ,7,6,48,36,5,,0.60,6.3,8.9,6.0,8.7,2.2,1.7,0.0,0.0,5.9,8.0,0.0,0.0,-1.8,-0.9,2.0,0.9,
1516resq-macmplmi,9237,TLD Robotics,8,4,154,98,5,,0.40,36.4,32.0,23.8,21.5,0.0,0.1,0.0,0.0,26.9,23.7,0.0,0.0,9.5,8.0,3.1,2.3,
1516resq-macmplmi,8470,Team Technado,9,4,114,122,5,FC,0.40,16.0,18.6,-4.2,1.5,0.5,0.5,0.0,0.0,17.6,19.1,0.0,0.0,-2.1,-1.0,22.3,17.9,
1516resq-macmplmi,9725,Architechti Newmani,10,4,114,58,5,,0.40,21.7,20.0,28.4,24.0,0.4,0.4,0.0,0.0,19.8,18.7,0.0,0.0,1.4,0.8,-8.1,-5.0,
1516resq-macmplmi,8265,BeaverBots Blue,11,4,113,140,5,S1,0.40,29.9,29.2,32.4,30.3,0.8,0.7,0.0,0.0,29.5,28.6,0.0,0.0,-0.4,-0.2,-2.1,-1.2,
1516resq-macmplmi,8264,BeaverBots Yellow,12,4,105,60,5,,0.40,-4.0,3.2,-1.9,3.5,0.8,0.6,0.0,0.0,-0.5,5.3,0.0,0.0,-4.3,-2.8,2.2,2.4,
1516resq-macmplmi,7237,Avengineers,13,4,98,127,5,F1,0.40,16.5,18.9,15.0,16.1,-0.0,-0.1,0.0,0.0,8.7,12.0,0.0,0.0,7.9,6.9,-6.4,-4.2,
1516resq-macmplmi,8227,Enginuity,14,4,55,37,5,,0.40,9.9,10.2,12.9,11.3,-0.0,0.1,0.0,0.0,6.5,7.3,0.0,0.0,3.4,2.7,-6.5,-4.0,
1516resq-macmplmi,8238,BeaverBots Red,15,2,99,43,5,,0.20,9.7,11.8,9.2,11.1,-0.3,-0.1,0.0,0.0,10.2,11.4,0.0,0.0,-0.2,0.4,0.7,0.1,
1516resq-macmplmi,9867,Evolution,16,2,96,67,5,SC,0.20,11.0,12.4,3.2,5.8,2.1,1.9,0.0,0.0,9.6,11.0,0.0,0.0,-0.8,-0.5,8.5,6.9,
1516resq-macmplmi,5060,Milton Static,17,2,70,49,5,,0.20,3.7,5.8,-1.5,1.8,-1.1,-0.8,0.0,0.0,4.4,6.2,0.0,0.0,0.4,0.3,4.8,3.6,
