TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-md-cmpd1-Q-1,Q-1,201-48 R,4451,7266,0,4081,8521,0,201,0,0,201,0,0,48,0,0,48,0,0,
1516resq-md-cmpd1-Q-2,Q-2,134-145 B,4318,10216,0,10382,7988,0,134,5,0,129,0,0,145,5,0,140,0,0,
1516resq-md-cmpd1-Q-3,Q-3,146-90 R,10357,4240,0,8143,8879,0,146,0,0,146,0,0,90,0,0,90,0,0,
1516resq-md-cmpd1-Q-4,Q-4,186-87 R,9799,8479,0,8582,9901,0,186,0,0,186,0,0,87,35,0,52,0,0,
1516resq-md-cmpd1-Q-5,Q-5,165-303 B,365,5421,0,5916,10795,0,165,5,0,80,80,0,303,0,0,223,80,0,
1516resq-md-cmpd1-Q-6,Q-6,18-172 B,6010,10001,0,7244,9445,0,18,5,0,13,0,0,172,0,0,92,80,0,
1516resq-md-cmpd1-Q-7,Q-7,71-107 B,10382,9901,0,8879,7266,0,71,5,0,26,0,40,107,0,0,107,0,0,
1516resq-md-cmpd1-Q-8,Q-8,131-82 R,4318,8521,0,10357,365,0,131,5,0,106,20,0,82,5,0,77,0,0,
1516resq-md-cmpd1-Q-9,Q-9,60-236 B,10216,9445,0,8582,4240,0,60,5,0,55,0,0,236,0,0,236,0,0,
1516resq-md-cmpd1-Q-10,Q-10,125-92 R,7244,5421,0,4081,8479,0,125,0,0,25,100,0,92,0,0,12,80,0,
1516resq-md-cmpd1-Q-11,Q-11,466-220 R,9799,5916,0,4451,6010,0,466,0,0,366,100,0,220,5,0,135,80,0,
1516resq-md-cmpd1-Q-12,Q-12,50-180 B,8143,10795,0,7988,10001,0,50,0,0,30,20,0,180,0,0,100,80,0,
1516resq-md-cmpd1-Q-13,Q-13,202-54 R,9445,5421,0,10357,7266,0,202,5,0,157,0,40,54,0,0,54,0,0,
1516resq-md-cmpd1-Q-14,Q-14,69-183 B,4081,365,0,10216,9799,0,69,25,0,44,0,0,183,0,0,183,0,0,
1516resq-md-cmpd1-Q-15,Q-15,128-153 B,4451,10382,0,8143,7244,0,128,0,0,128,0,0,153,0,0,113,0,40,
1516resq-md-cmpd1-Q-16,Q-16,194-25 R,8582,5916,0,8521,7988,0,194,5,0,189,0,0,25,5,0,20,0,0,
1516resq-md-cmpd1-Q-17,Q-17,220-161 R,4240,10001,0,4318,9901,0,220,0,0,220,0,0,161,5,0,156,0,0,
1516resq-md-cmpd1-Q-18,Q-18,27-136 B,10795,8879,0,8479,6010,0,27,0,0,27,0,0,136,5,0,31,100,0,
1516resq-md-cmpd1-Q-19,Q-19,43-211 B,7244,7988,0,10357,9799,0,43,0,0,43,0,0,211,0,0,211,0,0,
1516resq-md-cmpd1-Q-20,Q-20,19-242 B,10001,8582,0,10382,365,0,19,5,0,14,0,0,242,25,0,137,80,0,
1516resq-md-cmpd1-Q-21,Q-21,73-245 B,10795,9445,0,4451,4318,0,73,5,0,68,0,0,245,5,0,240,0,0,
1516resq-md-cmpd1-Q-22,Q-22,111-6 R,5421,8879,0,8521,10216,0,111,0,0,111,0,0,6,0,0,6,0,0,
1516resq-md-cmpd1-Q-23,Q-23,12-415 B,7266,8479,0,4240,5916,0,12,0,0,12,0,0,415,5,0,310,100,0,
1516resq-md-cmpd1-Q-24,Q-24,48-115 B,9901,8143,0,6010,4081,0,48,5,0,43,0,0,115,5,0,30,80,0,
1516resq-md-cmpd1-Q-25,Q-25,57-36 R,9799,8521,0,10382,10795,0,57,0,0,47,0,10,36,0,0,36,0,0,
1516resq-md-cmpd1-Q-26,Q-26,95-184 B,8582,7266,0,4318,7244,0,95,5,0,90,0,0,184,5,0,179,0,0,
1516resq-md-cmpd1-Q-27,Q-27,48-225 B,10216,10357,0,9901,4451,0,48,5,0,43,0,0,225,5,0,180,0,40,
1516resq-md-cmpd1-Q-28,Q-28,144-105 R,8143,365,0,9445,8479,0,144,5,0,139,0,0,105,25,0,80,0,0,
1516resq-md-cmpd1-Q-29,Q-29,236-70 R,5916,4081,0,8879,10001,0,236,0,0,236,0,0,70,5,0,65,0,0,
1516resq-md-cmpd1-Q-30,Q-30,257-190 R,7988,6010,0,5421,4240,0,257,5,0,92,160,0,190,0,0,190,0,0,
1516resq-md-cmpd1-SF-1-1,SF-1-1,166-187 B,5916,4318,7988,7244,365,9445,166,5,0,161,0,0,187,5,0,102,80,0,
1516resq-md-cmpd1-SF-1-2,SF-1-2,250-235 R,5916,4318,7988,7244,365,9445,250,5,0,165,80,0,235,5,0,150,80,0,
1516resq-md-cmpd1-SF-1-3,SF-1-3,326-83 R,5916,4318,7988,7244,365,9445,326,0,0,246,80,0,83,25,0,58,0,0,
1516resq-md-cmpd1-SF-2-1,SF-2-1,188-176 R,9799,5421,4451,4240,4081,10382,188,0,0,188,0,0,176,5,0,171,0,0,
1516resq-md-cmpd1-SF-2-2,SF-2-2,190-169 R,9799,5421,4451,4240,4081,10382,190,5,0,185,0,0,169,5,0,164,0,0,
1516resq-md-cmpd1-F-1,F-1,425-267 R,5916,4318,7988,9799,5421,4451,425,25,0,300,100,0,267,0,0,267,0,0,
1516resq-md-cmpd1-F-2,F-2,226-239 B,5916,4318,7988,9799,5421,4451,226,0,0,206,20,0,239,5,0,234,0,0,
1516resq-md-cmpd1-F-3,F-3,409-221 R,5916,4318,7988,9799,5421,4451,409,5,0,304,100,0,221,5,0,216,0,0,
