TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-mi-cmp-Q-1,Q-1,3-204 B,37,7599,0,9789,4507,0,3,0,0,3,0,0,204,20,0,104,80,0,
1516resq-mi-cmp-Q-2,Q-2,28-41 B,6253,6288,0,38,4537,0,28,0,0,28,0,0,41,5,0,36,0,0,
1516resq-mi-cmp-Q-3,Q-3,192-233 B,5256,6987,0,4149,9345,0,192,0,0,192,0,0,233,25,0,128,80,0,
1516resq-mi-cmp-Q-4,Q-4,52-193 B,4507,7599,0,4537,6288,0,52,0,0,52,0,0,193,5,0,108,80,0,
1516resq-mi-cmp-Q-5,Q-5,229-233 B,9789,4149,0,6253,9345,0,229,25,0,104,100,0,233,5,0,148,80,0,
1516resq-mi-cmp-Q-6,Q-6,159-117 R,37,5256,0,38,6987,0,159,5,0,74,80,0,117,5,0,112,0,0,
1516resq-mi-cmp-Q-7,Q-7,41-144 B,7599,4149,0,9345,6288,0,41,5,0,36,0,0,144,0,0,64,80,0,
1516resq-mi-cmp-Q-8,Q-8,162-357 B,9789,38,0,6987,4537,0,162,5,0,77,80,0,357,0,0,197,0,160,
1516resq-mi-cmp-Q-9,Q-9,169-25 R,5256,6253,0,37,4507,0,169,25,0,64,80,0,25,5,0,20,0,0,
1516resq-mi-cmp-Q-10,Q-10,190-210 B,38,4149,0,9789,7599,0,190,15,0,95,80,0,210,5,0,105,100,0,
1516resq-mi-cmp-Q-11,Q-11,12-76 B,6288,37,0,5256,4537,0,12,0,0,12,0,0,76,5,0,61,0,10,
1516resq-mi-cmp-Q-12,Q-12,125-107 R,9345,6987,0,6253,4507,0,125,5,0,120,0,0,107,0,0,107,0,0,
1516resq-mi-cmp-Q-13,Q-13,126-54 R,4537,9789,0,4149,5256,0,126,0,0,126,0,0,54,5,0,49,0,0,
1516resq-mi-cmp-Q-14,Q-14,10-25 B,6253,6987,0,7599,6288,0,10,0,0,10,0,0,25,0,0,25,0,0,
1516resq-mi-cmp-Q-15,Q-15,131-37 R,9345,4507,0,37,38,0,131,0,0,51,80,0,37,0,0,37,0,0,
1516resq-mi-cmp-SF-1-1,SF-1-1,149-71 R,9345,6987,0,6288,6253,0,149,5,0,144,0,0,71,0,0,51,0,20,
1516resq-mi-cmp-SF-2-1,SF-2-1,87-127 B,4537,5256,0,9789,4149,0,87,0,0,87,0,0,127,5,0,122,0,0,
1516resq-mi-cmp-SF-1-2,SF-1-2,262-184 R,9345,6987,0,6288,6253,0,262,5,0,177,80,0,184,0,0,184,0,0,
1516resq-mi-cmp-SF-2-2,SF-2-2,31-327 B,4537,5256,0,9789,4149,0,31,5,0,26,0,0,327,25,0,122,180,0,
1516resq-mi-cmp-F-1,F-1,262-301 B,9345,6987,0,9789,4149,0,262,5,0,177,80,0,301,5,0,116,180,0,
1516resq-mi-cmp-F-2,F-2,251-217 R,9345,6987,0,9789,4149,0,251,5,0,246,0,0,217,25,0,112,80,0,
1516resq-mi-cmp-F-3,F-3,217-147 R,9345,6987,0,9789,4149,0,217,5,0,212,0,0,147,15,0,52,80,0,
