TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-moq1,7129,Robo Raiders,1,10,117,169,5,WC,
1516resq-moq1,408,Bernardox,2,10,109,95,5,FC,
1516resq-moq1,3665,Leopold GearHeads,3,10,56,90,5,SC,
1516resq-moq1,6377,The Other Guys,4,8,124,159,5,W1,
1516resq-moq1,9328,Oakville Tigers,5,8,105,108,5,SC,
1516resq-moq1,3658,The BOSONS,6,8,87,159,5,S1,
1516resq-moq1,8782,Robot Bandits,7,8,84,169,5,S2,
1516resq-moq1,5118,The HADRONS,8,8,69,72,5,,
1516resq-moq1,10588,The Luxons,9,7,56,88,5,S2,
1516resq-moq1,7408,Nuclear Unicorn Girl Assemblers (NUGA),10,7,40,90,5,,
1516resq-moq1,407,Loose Screws,11,6,144,90,5,F1,
1516resq-moq1,3592,The MESONS,12,6,129,71,5,W2,
1516resq-moq1,9099,Ritenour RoboHounds,13,6,88,54,5,,
1516resq-moq1,6215,The Gracious Professionals,14,6,64,57,5,,
1516resq-moq1,5439,The GLUONS,15,6,48,40,5,,
1516resq-moq1,9612,Oakville Robotics 2,16,5,74,57,5,S1,
1516resq-moq1,10618,Team Rocket,17,5,37,31,5,,
1516resq-moq1,5119,The BARYONS,18,4,133,48,5,F2,
1516resq-moq1,2866,Control Alt Compete,19,4,116,90,5,,
1516resq-moq1,9905,Rampunzel,20,4,116,58,5,,
1516resq-moq1,584,TLGE,21,4,108,145,5,,
1516resq-moq1,5035,WIRED,22,4,104,115,5,,
1516resq-moq1,5703,Doppler Effect,23,4,99,44,5,,
1516resq-moq1,5095,The LEPTONS,24,4,97,115,5,,
1516resq-moq1,7951,The KAONS,25,4,80,39,5,,
1516resq-moq1,2408,Shrapnel Sergeants,26,4,55,86,5,,
1516resq-moq1,3591,The QUARKS,27,4,50,84,5,,
1516resq-moq1,583,Cavaliers,28,4,25,13,5,,
1516resq-moq1,2867,Degrees of Freedom,29,2,116,50,5,,
1516resq-moq1,5190,Technoramic,30,2,103,48,5,,
1516resq-moq1,8862,Cyber Ducks,31,2,100,50,5,,
1516resq-moq1,406,Canadia,32,2,55,32,5,,
1516resq-moq1,288,Spare Parts,33,2,44,24,5,,
1516resq-moq1,5248,The FERMIONS,34,2,44,22,5,,
1516resq-moq1,5108,Amish Electricans,35,0,117,47,5,,
1516resq-moq1,6207,The Phoenix,36,0,39,17,5,,
