TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-mosm-Q-1,Q-1,16-45 B,9109,9796,0,10460,9106,0,16,0,0,16,0,0,45,0,0,45,0,0,
1516resq-mosm-Q-2,Q-2,29-18 R,9103,3409,0,7359,9104,0,29,5,0,24,0,0,18,0,0,18,0,0,
1516resq-mosm-Q-3,Q-3,3-142 B,10561,9105,0,4587,6547,0,3,0,0,3,0,0,142,0,0,42,100,0,
1516resq-mosm-Q-4,Q-4,94-6 R,5227,9102,0,10476,9849,0,94,5,0,89,0,0,6,0,0,6,0,0,
1516resq-mosm-Q-5,Q-5,90-227 B,10173,7532,0,7357,9107,0,90,5,0,85,0,0,227,40,0,87,100,0,
1516resq-mosm-Q-6,Q-6,73-3 R,7095,7507,0,9108,10561,0,73,0,0,73,0,0,3,0,0,3,0,0,
1516resq-mosm-Q-7,Q-7,220-26 R,7357,10476,0,9106,9103,0,220,40,0,80,100,0,26,0,0,26,0,0,
1516resq-mosm-Q-8,Q-8,14-167 B,9849,9796,0,7532,4587,0,14,0,0,14,0,0,167,0,0,67,100,0,
1516resq-mosm-Q-9,Q-9,22-51 B,9105,7095,0,9102,10173,0,22,0,0,22,0,0,51,5,0,46,0,0,
1516resq-mosm-Q-10,Q-10,27-31 B,9107,9104,0,10460,9108,0,27,0,0,27,0,0,31,0,0,31,0,0,
1516resq-mosm-Q-11,Q-11,186-67 R,3409,7507,0,9109,5227,0,186,25,0,81,80,0,67,5,0,62,0,0,
1516resq-mosm-Q-12,Q-12,8-32 B,6547,9102,0,7359,9107,0,8,5,0,3,0,0,32,0,0,32,0,0,
1516resq-mosm-Q-13,Q-13,20-9 R,10476,7507,0,9796,9104,0,20,0,0,20,0,0,9,0,0,9,0,0,
1516resq-mosm-Q-14,Q-14,262-25 R,9105,7357,0,9849,10460,0,262,40,0,82,100,40,25,0,0,25,0,0,
1516resq-mosm-Q-15,Q-15,30-108 B,7095,9109,0,4587,9103,0,30,0,0,30,0,0,108,0,0,88,20,0,
1516resq-mosm-Q-16,Q-16,49-41 R,7359,9108,0,5227,7532,0,49,0,0,9,0,40,41,5,0,36,0,0,
1516resq-mosm-Q-17,Q-17,63-40 R,9106,6547,0,10173,3409,0,63,0,0,63,0,0,40,5,0,35,0,0,
1516resq-mosm-Q-18,Q-18,174-254 B,10561,9109,0,7359,7357,0,174,0,0,14,0,160,254,20,0,134,100,0,
1516resq-mosm-Q-19,Q-19,22-27 B,7532,10460,0,7507,6547,0,22,0,0,22,0,0,27,5,0,22,0,0,
1516resq-mosm-Q-20,Q-20,69-17 R,5227,9103,0,9105,9796,0,69,5,0,24,0,40,17,0,0,17,0,0,
1516resq-mosm-Q-21,Q-21,147-52 R,9102,4587,0,9106,9108,0,147,0,0,47,100,0,52,0,0,52,0,0,
1516resq-mosm-Q-22,Q-22,11-31 B,9107,10476,0,3409,7095,0,11,0,0,11,0,0,31,5,0,26,0,0,
1516resq-mosm-Q-23,Q-23,15-8 R,9104,9849,0,10561,10173,0,15,0,0,15,0,0,8,0,0,8,0,0,
1516resq-mosm-Q-24,Q-24,13-41 B,7532,9109,0,10476,9105,0,13,0,0,13,0,0,41,0,0,41,0,0,
1516resq-mosm-Q-25,Q-25,55-241 B,9108,6547,0,7357,9796,0,55,5,0,50,0,0,241,40,0,101,100,0,
1516resq-mosm-Q-26,Q-26,160-75 R,5227,9106,0,7095,9104,0,160,25,0,135,0,0,75,0,0,75,0,0,
1516resq-mosm-Q-27,Q-27,25-5 R,9103,9107,0,7507,9849,0,25,0,0,25,0,0,5,0,0,5,0,0,
1516resq-mosm-Q-28,Q-28,152-6 R,3409,10460,0,9102,10561,0,152,0,0,72,80,0,6,0,0,6,0,0,
1516resq-mosm-Q-29,Q-29,117-2 R,7359,4587,0,10173,10476,0,117,5,0,32,80,0,2,0,0,2,0,0,
1516resq-mosm-SF-1-1,SF-1-1,236-79 R,7357,4587,10173,9103,9106,9108,236,40,0,96,100,0,79,0,0,79,0,0,
1516resq-mosm-SF-1-2,SF-1-2,261-3 R,7357,4587,10173,9103,9106,9108,261,40,0,121,100,0,3,0,0,3,0,0,
1516resq-mosm-SF-2-1,SF-2-1,94-13 R,3409,5227,9102,7507,9849,9107,94,0,0,94,0,0,13,0,0,13,0,0,
1516resq-mosm-SF-2-2,SF-2-2,258-84 R,3409,5227,9102,7507,9849,9107,258,15,0,93,80,70,84,0,0,84,0,0,
1516resq-mosm-F-1,F-1,239-50 R,7357,4587,10173,3409,5227,9102,239,40,0,99,100,0,50,0,0,50,0,0,
1516resq-mosm-F-2,F-2,221-37 R,7357,4587,10173,3409,5227,9102,221,40,0,81,100,0,37,0,0,37,0,0,
