TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-ms-no,3486,Techno Warriors Advanced,1,10,148,220,5,WC,1.00,90.5,80.9,89.9,80.1,0.9,0.7,0.0,0.0,73.2,66.7,16.4,13.3,-0.0,-0.0,0.7,0.7,
1516resq-ms-no,8609,Blue Crew Too,2,10,118,159,5,SC,1.00,68.6,65.7,67.6,64.7,1.3,1.1,0.0,0.0,74.6,69.1,-7.2,-4.5,-0.1,-0.2,1.1,1.0,
1516resq-ms-no,8803,East Rankin Robotics,3,8,132,93,5,W1,0.80,37.3,34.3,34.5,31.7,5.6,4.6,0.0,0.0,30.8,29.1,2.3,1.3,-1.5,-1.0,4.3,3.4,
1516resq-ms-no,7398,BLUE CREW,4,6,217,180,5,FC,0.60,58.7,52.2,60.8,53.4,-0.4,-0.1,0.0,0.0,58.9,52.2,2.0,1.1,-1.8,-1.2,-0.3,-0.3,
1516resq-ms-no,10690,Future Bot Innovators,5,6,196,180,5,SC,0.60,68.0,59.4,65.5,57.4,2.3,1.7,0.0,0.0,63.3,55.5,0.3,0.4,2.0,1.6,0.4,0.2,
1516resq-ms-no,8651,Wait For It...,6,6,193,163,5,S1,0.60,51.5,49.6,52.9,50.4,1.2,0.9,0.0,0.0,53.2,50.5,-1.9,-1.3,-1.0,-0.7,-0.4,-0.3,
1516resq-ms-no,6273,Technocats,7,6,164,154,5,,0.60,31.4,32.1,28.5,29.4,-2.6,-1.8,0.0,0.0,28.2,29.3,2.0,1.2,3.8,3.2,-0.9,-0.6,
1516resq-ms-no,6516,ChargerBots,8,4,203,100,5,,0.40,17.6,21.5,11.5,16.4,0.2,0.0,0.0,0.0,22.8,24.4,-7.3,-4.6,2.0,1.6,4.2,3.3,
1516resq-ms-no,10591,Simpson County Future Engineers,9,4,159,220,5,,0.40,53.5,49.8,53.0,49.0,-1.4,-1.0,0.0,0.0,38.6,37.5,16.9,13.5,-0.6,-0.4,1.0,1.0,
1516resq-ms-no,8690,Twisted Circuits,10,4,159,93,5,S1,0.40,10.8,15.7,10.7,15.2,-0.7,-0.3,0.0,0.0,9.4,14.1,0.4,0.4,1.7,1.3,-1.6,-1.0,
1516resq-ms-no,7802,Challenge Accepted.,11,4,153,78,5,F1,0.40,11.1,16.9,10.2,16.0,-0.9,-0.4,0.0,0.0,14.6,19.0,-2.6,-1.7,0.0,-0.1,0.9,0.9,
1516resq-ms-no,9534,Ingomar RoboFalcons,12,4,149,75,5,,0.40,4.8,10.9,3.3,9.6,4.8,3.9,0.0,0.0,2.0,7.6,-4.2,-2.4,2.2,1.7,-0.7,-0.5,
1516resq-ms-no,6205,SCARLET,13,2,137,70,5,,0.20,3.2,8.3,4.5,9.1,-0.0,0.1,0.0,0.0,6.4,10.3,-2.2,-1.6,-1.0,-0.7,-0.4,-0.3,
1516resq-ms-no,8781,Project Viking,14,0,159,58,5,,0.00,15.9,15.9,14.1,14.4,0.3,0.1,0.0,0.0,13.3,13.8,0.8,0.6,1.5,1.2,0.3,0.1,
1516resq-ms-no,8772,RoboWildcats,15,0,123,68,5,,0.00,-7.6,0.4,-7.9,-0.3,0.7,0.6,0.0,0.0,-9.9,-1.8,0.8,0.5,0.9,0.9,-0.6,-0.4,
