TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-msfl,8651,Wait For It...,1,8,160,102,5,WC,0.80,47.7,40.1,47.4,40.4,0.8,0.7,0.0,0.0,45.6,38.9,0.0,0.0,1.3,0.4,-1.0,-0.8,
1516resq-msfl,10591,Simpson County Future Engineers,2,6,148,102,5,SC,0.60,18.6,20.4,20.0,20.3,0.3,0.1,0.0,0.0,18.5,19.4,0.0,0.0,-0.3,0.8,-1.1,-0.8,
1516resq-msfl,10191,Trial and Error,3,6,148,91,5,W1,0.60,24.7,25.9,27.0,26.2,0.1,0.0,0.0,0.0,24.8,24.8,0.0,0.0,-0.2,1.1,-2.0,-1.4,
1516resq-msfl,8341,Vicksburg AIR,4,6,138,65,5,FC,0.60,7.7,12.5,13.3,15.7,0.5,0.5,0.0,0.0,11.4,14.2,0.0,0.0,-4.2,-2.3,-1.4,-1.0,
1516resq-msfl,6273,Technocats,5,6,134,111,5,SC,0.60,34.2,30.5,23.2,21.6,-0.7,-0.5,0.0,0.0,33.3,30.1,0.0,0.0,1.7,0.8,9.3,8.0,
1516resq-msfl,6809,Patriots Robot,6,6,134,111,5,S1,0.60,45.4,38.7,35.8,30.6,1.9,1.5,0.0,0.0,31.3,27.3,0.0,0.0,12.1,9.8,-2.6,-1.8,
1516resq-msfl,10663,Envisioneers,7,6,96,55,5,S1,0.60,-6.5,1.9,-1.0,5.0,0.2,0.3,0.0,0.0,-2.6,3.8,0.0,0.0,-4.2,-2.3,-1.4,-0.9,
1516resq-msfl,7802,Challenge Accepted.,8,6,75,39,5,,0.60,20.5,16.6,20.4,16.9,2.0,1.6,0.0,0.0,18.3,15.2,0.0,0.0,0.1,-0.2,-0.1,-0.1,
1516resq-msfl,6479,Stingbots,9,4,112,91,5,,0.40,22.8,19.4,15.9,14.6,-0.1,-0.1,0.0,0.0,17.4,15.6,0.0,0.0,5.5,3.9,1.4,0.9,
1516resq-msfl,9298,Bionic Cobras,10,4,111,89,5,,0.40,15.2,16.8,2.5,5.9,-0.2,0.1,0.0,0.0,4.1,7.4,0.0,0.0,11.3,9.2,1.4,1.6,
1516resq-msfl,8803,East Rankin Robotics,11,4,85,51,5,F1,0.40,9.5,11.9,9.7,11.0,0.5,0.5,0.0,0.0,14.3,14.5,0.0,0.0,-5.3,-3.2,5.0,3.9,
1516resq-msfl,6704,Bot Shop,12,4,69,51,5,,0.40,-0.2,4.0,1.4,5.1,-1.0,-0.6,0.0,0.0,-0.7,3.7,0.0,0.0,1.5,0.8,-3.1,-2.0,
1516resq-msfl,8781,Project Viking,13,2,140,89,5,,0.20,17.9,19.0,8.5,10.0,1.3,0.9,0.0,0.0,20.0,19.7,0.0,0.0,-3.4,-1.8,12.9,10.7,
1516resq-msfl,8031,PatriotBot,14,2,116,31,5,,0.20,11.6,11.5,11.1,11.3,-0.4,-0.3,0.0,0.0,10.8,11.4,0.0,0.0,1.3,0.4,-0.8,-0.2,
