TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-msja-Q-1,Q-1,6-61 B,8690,6831,0,6205,10128,0,6,0,0,6,0,0,61,0,0,61,0,0,
1516resq-msja-Q-2,Q-2,91-6 R,6302,10770,0,10488,6704,0,91,0,0,31,0,60,6,0,0,6,0,0,
1516resq-msja-Q-3,Q-3,4-29 B,8341,8936,0,6809,10690,0,4,0,0,4,0,0,29,0,0,29,0,0,
1516resq-msja-Q-4,Q-4,21-47 B,9298,10663,0,8031,8001,0,21,0,0,21,0,0,47,5,0,42,0,0,
1516resq-msja-Q-5,Q-5,22-30 B,6076,10690,0,10770,6205,0,22,0,0,22,0,0,30,0,0,30,0,0,
1516resq-msja-Q-6,Q-6,39-23 R,8031,6302,0,8936,10128,0,39,5,0,34,0,0,23,0,0,23,0,0,
1516resq-msja-Q-7,Q-7,43-23 R,8001,10663,0,6831,6809,0,43,0,0,43,0,0,23,0,0,23,0,0,
1516resq-msja-Q-8,Q-8,37-17 R,6704,8690,0,8341,10488,0,37,0,0,37,0,0,17,0,0,17,0,0,
1516resq-msja-Q-9,Q-9,63-34 R,6076,6809,0,9298,10128,0,63,5,0,58,0,0,34,0,0,34,0,0,
1516resq-msja-Q-10,Q-10,25-68 B,10770,10488,0,10663,8031,0,25,0,0,25,0,0,68,5,0,63,0,0,
1516resq-msja-Q-11,Q-11,107-35 R,9298,8001,0,10690,8690,0,107,0,0,27,80,0,35,0,0,35,0,0,
1516resq-msja-Q-12,Q-12,77-25 R,6831,8936,0,6076,6704,0,77,0,0,77,0,0,25,0,0,25,0,0,
1516resq-msja-Q-13,Q-13,4-18 B,6205,8341,0,6302,9298,0,4,0,0,4,0,0,18,0,0,18,0,0,
1516resq-msja-Q-14,Q-14,38-150 B,6704,10690,0,10663,10128,0,38,0,0,28,0,10,150,0,0,40,0,110,
1516resq-msja-Q-15,Q-15,44-31 R,8031,8341,0,6831,6076,0,44,5,0,39,0,0,31,0,0,31,0,0,
1516resq-msja-Q-16,Q-16,18-43 B,10488,6205,0,8001,8936,0,18,0,0,18,0,0,43,0,0,43,0,0,
1516resq-msja-Q-17,Q-17,43-36 R,10770,6809,0,6302,8690,0,43,0,0,43,0,0,36,0,0,36,0,0,
1516resq-msja-Q-18,Q-18,12-56 B,10690,9298,0,10488,6831,0,12,0,0,12,0,0,56,0,0,46,0,10,
1516resq-msja-Q-19,Q-19,21-5 R,6076,6302,0,8690,10663,0,21,0,0,21,0,0,5,0,0,5,0,0,
1516resq-msja-Q-20,Q-20,57-156 B,10770,10128,0,8001,8341,0,57,0,0,37,0,20,156,0,0,66,80,10,
1516resq-msja-Q-21,Q-21,49-65 B,8031,6205,0,6704,6809,0,49,0,0,9,0,40,65,0,0,65,0,0,
1516resq-msja-Q-22,Q-22,30-39 B,8936,10663,0,10770,9298,0,30,0,0,20,0,10,39,0,0,39,0,0,
1516resq-msja-SF-1-1,SF-1-1,58-109 B,8001,8341,0,10128,10663,0,58,0,0,58,0,0,109,0,0,39,0,70,
1516resq-msja-SF-2-1,SF-2-1,38-64 B,10770,6302,0,8031,6809,0,38,0,0,38,0,0,64,5,0,59,0,0,
1516resq-msja-SF-1-2,SF-1-2,28-66 B,8001,8341,0,10128,10663,0,28,0,0,28,0,0,66,0,0,56,0,10,
1516resq-msja-SF-2-2,SF-2-2,39-128 B,10770,6302,0,8031,6809,0,39,0,0,39,0,0,128,10,0,88,0,30,
1516resq-msja-F-1,F-1,42-130 B,10128,10663,0,8031,6809,0,42,0,0,42,0,0,130,5,0,65,0,60,
1516resq-msja-F-2,F-2,104-79 R,10128,10663,0,8031,6809,0,104,0,0,64,0,40,79,10,0,69,0,0,
1516resq-msja-F-3,F-3,61-110 B,10128,10663,0,8031,6809,0,61,0,0,61,0,0,110,10,0,100,0,0,
