TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-msja,8001,Synergy Squared,1,10,134,156,5,SC,1.00,65.1,55.3,58.3,50.5,0.1,0.2,0.0,0.0,31.4,28.0,31.7,25.9,1.8,1.0,4.9,3.7,
1516resq-msja,10770,Dawgs Gone Wild,2,8,121,91,5,SC,0.80,28.7,27.0,15.2,15.6,-0.1,-0.1,0.0,0.0,19.6,18.8,-1.1,-0.8,10.3,8.9,3.2,2.3,
1516resq-msja,8031,PatriotBot,3,8,109,68,5,WC,0.80,16.3,20.3,22.3,20.6,4.1,3.3,0.0,0.0,21.7,20.9,-8.1,-5.3,-1.4,1.3,-4.5,-1.7,
1516resq-msja,6809,Patriots Robot,4,8,106,65,5,W1,0.80,21.8,23.4,32.5,27.4,1.1,0.8,0.0,0.0,26.3,25.0,0.0,0.2,-5.6,-2.8,-5.1,-1.3,
1516resq-msja,6302,T.R.O.N.,5,8,74,91,5,S1,0.80,31.7,26.0,6.4,10.0,-0.1,0.2,0.0,0.0,14.8,14.1,-0.1,-0.4,17.1,12.0,8.3,4.0,
1516resq-msja,10128,RAMS2D2,6,4,128,150,5,FC,0.40,52.7,44.9,23.8,21.1,0.2,0.1,0.0,0.0,27.2,24.3,1.1,0.5,24.2,19.8,4.8,3.9,
1516resq-msja,6076,Commodores,7,4,117,63,5,,0.40,5.8,11.4,29.5,24.3,1.1,0.8,0.0,0.0,12.3,13.7,-0.2,0.2,-7.3,-3.4,-16.3,-9.6,
1516resq-msja,10663,Envisioneers,8,4,97,150,5,F1,0.40,32.5,29.1,4.6,8.5,0.0,0.2,0.0,0.0,14.5,14.7,-4.2,-3.4,22.2,17.4,5.8,3.1,
1516resq-msja,6831,Robo Bearcats,9,4,97,77,5,,0.40,35.8,28.1,16.3,18.5,-0.6,-0.3,0.0,0.0,23.8,21.4,2.3,1.2,10.2,5.5,9.2,3.9,
1516resq-msja,8341,Vicksburg AIR,10,4,93,156,5,S1,0.40,29.0,25.5,18.8,19.1,0.3,0.3,0.0,0.0,10.3,10.9,13.8,11.4,4.7,2.7,5.5,3.6,
1516resq-msja,9298,Bionic Cobras,11,4,91,39,5,,0.40,0.5,7.8,19.7,18.3,0.0,-0.1,0.0,0.0,5.4,7.8,9.1,8.7,-14.0,-8.8,-5.1,-1.8,
1516resq-msja,8936,Ramborgs,12,4,90,77,5,,0.40,-7.6,2.5,9.0,10.5,-0.0,-0.1,0.0,0.0,11.9,13.8,-8.9,-5.8,-10.6,-5.6,-6.0,-2.5,
1516resq-msja,6704,Bot Shop,13,4,85,65,5,,0.40,26.4,22.4,-25.2,-16.9,-0.5,-0.3,0.0,0.0,19.6,18.2,1.0,0.5,6.4,3.8,45.2,35.4,
1516resq-msja,6205,SCARLET,14,4,59,61,5,,0.40,7.3,10.0,7.6,9.4,-1.0,-0.6,0.0,0.0,7.4,9.0,-0.5,-0.5,1.4,2.0,-1.7,-1.4,
1516resq-msja,10690,Future Bot Innovators,15,2,101,38,5,,0.20,17.3,14.8,-15.4,-8.9,-0.4,-0.2,0.0,0.0,11.1,11.2,-2.1,-1.6,8.7,5.2,24.0,18.4,
1516resq-msja,8690,Twisted Circuits,16,2,99,37,5,,0.20,-4.9,3.3,26.5,20.3,0.3,0.1,0.0,0.0,7.0,9.1,0.6,0.8,-12.9,-6.8,-18.5,-10.3,
1516resq-msja,10488,SARF,17,2,78,56,5,,0.20,-1.0,5.0,3.8,3.4,0.4,0.2,0.0,0.0,6.3,8.1,-3.1,-1.8,-4.6,-1.6,-0.3,3.2,
