TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-nctr,7105,SWIFT Robotics,1,10,328,169,5,WC,
1516resq-nctr,8569,RoboKnights,2,10,312,210,5,W1,
1516resq-nctr,9061,Clawdettes,3,10,194,149,5,FC,
1516resq-nctr,2827,Artificial Stupidity,4,8,329,158,5,F1,
1516resq-nctr,8947,Techtonics,5,8,284,169,5,SC,
1516resq-nctr,9062,Jr. Clawbotz,6,8,240,210,5,SC,
1516resq-nctr,9991,RoboSquad,7,6,315,158,5,,
1516resq-nctr,6123,Mechanical Marauders,8,6,301,169,5,F2,
1516resq-nctr,5950,Bio-Bots,9,6,263,144,5,S1,
1516resq-nctr,3587,Unparalleled Processing,10,6,237,149,5,,
1516resq-nctr,9977,Circuit Shifters,11,6,184,112,5,S2,
1516resq-nctr,5459,Syntax Error,12,4,333,168,5,W2,
1516resq-nctr,10859,RACE,13,4,326,163,5,S2,
1516resq-nctr,2901,Purple Gears,14,4,280,95,5,,
1516resq-nctr,8300,Crossfire,15,4,203,81,5,,
1516resq-nctr,3916,Apex Androids,16,4,188,129,5,S1,
1516resq-nctr,9581,Ravens Robotics,17,4,186,64,5,,
1516resq-nctr,9063,Claws of Steel,18,4,151,89,5,,
1516resq-nctr,5270,Q,19,2,365,138,5,,
1516resq-nctr,10307,The Chargers,20,2,278,114,5,,
1516resq-nctr,7682,Knights,21,2,185,84,5,,
1516resq-nctr,9989,Golden Eagles,22,2,157,129,5,,
1516resq-nctr,7083,Team Tundrabots,23,2,155,62,5,,
1516resq-nctr,10597,Tartdis,24,2,153,60,5,,
1516resq-nctr,8738,Dream Achievers,25,2,116,112,5,,
