TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-njrj,10159,Lionheart,1,10,247,205,5,WC,1.00,117.1,103.1,117.2,102.3,0.8,0.4,0.0,0.0,17.3,19.3,99.7,82.9,-0.7,0.4,0.6,0.3,
1516resq-njrj,4486,Mad Science,2,10,201,205,5,FC,1.00,78.0,69.5,72.1,65.0,-1.1,-0.7,0.0,0.0,26.6,25.1,44.2,38.7,8.4,6.2,-2.4,-1.7,
1516resq-njrj,8405,Millburn Robotics,3,10,137,199,5,F1,1.00,110.2,92.2,100.5,83.7,19.3,15.6,0.0,0.0,69.3,58.7,17.1,13.7,4.5,4.0,5.2,4.4,
1516resq-njrj,6936,CodeRunners,4,10,127,194,5,SC,1.00,53.0,49.5,41.8,40.5,-0.6,-0.4,0.0,0.0,41.3,37.8,2.4,3.9,9.9,8.1,1.3,0.8,
1516resq-njrj,248,Fatal Error,5,10,118,194,5,W1,1.00,101.0,86.0,101.9,85.6,-0.5,-0.2,0.0,0.0,53.0,46.2,50.1,40.1,-1.6,-0.2,0.7,0.6,
1516resq-njrj,4102,CHS Cougars,6,10,101,199,5,S1,1.00,23.7,30.4,23.6,28.2,1.6,1.8,0.0,0.0,17.5,21.9,5.3,5.6,-0.6,0.9,0.8,1.2,
1516resq-njrj,7350,Watts NXT?,7,8,208,155,5,SC,0.80,33.2,36.9,29.5,34.2,-0.5,-0.2,0.0,0.0,21.1,23.7,7.6,9.8,4.9,3.5,-1.2,-0.9,
1516resq-njrj,8522,LocoMotors,8,8,180,192,5,S2,0.80,46.5,47.5,37.9,39.3,0.2,0.2,0.0,0.0,15.8,17.6,20.6,21.0,9.8,8.6,-1.3,-0.4,
1516resq-njrj,8574,WeByte,9,8,151,172,5,S2,0.80,42.7,40.2,36.1,34.1,-1.1,-0.7,0.0,0.0,43.7,37.4,-6.2,-2.0,6.3,5.4,0.2,0.7,
1516resq-njrj,5169,Watts Up?,10,8,120,106,5,S1,0.80,13.6,18.5,7.8,13.2,1.6,2.0,0.0,0.0,7.1,10.6,-3.8,-1.3,8.7,7.0,-2.9,-1.7,
