TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-njsn,8574,WeByte,1,10,150,153,5,WC,
1516resq-njsn,7149,ENFORCERS,2,8,279,153,5,W1,
1516resq-njsn,10785,Highlanders,3,8,168,97,5,FC,
1516resq-njsn,9765,Mechanized Bacon,4,8,157,85,5,F1,
1516resq-njsn,10975,Raiders-ShortCircuits,5,8,153,62,5,SC,
1516resq-njsn,5339,W.A.L.K.E.R.S.,6,8,133,148,5,SC,
1516resq-njsn,10203,HuskieBots,7,8,112,85,5,S1,
1516resq-njsn,10974,IronMariners,8,6,187,88,5,S2,
1516resq-njsn,10242,ChatterBots,9,6,181,121,5,F2,
1516resq-njsn,10603,WOOD-CHIPS,10,6,159,94,5,,
1516resq-njsn,5406,Optimus Bee,11,6,148,56,5,S1,
1516resq-njsn,5169,Watts Up?,12,6,136,70,5,,
1516resq-njsn,8522,LocoMotors,13,6,105,116,5,W2,
1516resq-njsn,6934,The TranSisters,14,6,103,53,5,,
1516resq-njsn,4215,Hypnotic Robotics,15,6,95,84,5,,
1516resq-njsn,10295,Yellow Jackets,16,4,226,100,5,,
1516resq-njsn,6719,Piotech,17,4,184,50,5,,
1516resq-njsn,10920,The Prototype Panthers,18,4,174,74,5,,
1516resq-njsn,7040,CyberFalcons,19,4,147,62,5,,
1516resq-njsn,10633,HCST,20,4,133,100,5,,
1516resq-njsn,5387,TecHounds,21,4,128,84,5,,
1516resq-njsn,5398,Robotux,22,4,126,92,5,S2,
1516resq-njsn,10343,WR Positive Charge,23,4,119,116,5,,
1516resq-njsn,220,Spartans,24,4,119,44,5,,
1516resq-njsn,221,Spartans,25,4,116,46,5,,
1516resq-njsn,7959,Cougar Cubs,26,4,108,84,5,,
1516resq-njsn,7414,Deceptibots,27,4,108,61,5,,
1516resq-njsn,9951,Tigers,28,4,88,96,5,,
1516resq-njsn,10553,Anonymouse,29,4,87,65,5,,
1516resq-njsn,9129,Demon's Run,30,4,59,52,5,,
1516resq-njsn,5968,WR That Hertz,31,2,153,65,5,,
1516resq-njsn,9971,LANbros,32,2,150,50,5,,
1516resq-njsn,5912,LBHS,33,2,117,34,5,,
1516resq-njsn,10928,Warren Tech Wolves,34,2,93,92,5,,
1516resq-njsn,10927,Bergen Bees,35,2,76,54,5,,
