TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-nsrcmpd1,10030,7 Sigma,1,16,1690,363,9,WC,0.89,132.3,131.0,121.7,121.3,7.3,7.8,0.0,0.0,125.5,120.5,-3.3,-0.1,2.8,2.7,7.8,6.9,
1516resq-nsrcmpd1,6981,Hortonville Robotics,2,16,1630,363,9,SC,0.89,160.4,155.9,163.8,158.5,25.8,23.9,0.0,0.0,111.6,107.4,24.1,25.5,-1.2,-1.0,-2.2,-1.8,
1516resq-nsrcmpd1,6389,The Lazybotts,3,16,1577,436,9,W1,0.89,232.9,216.1,234.4,217.3,11.4,10.4,0.0,0.0,231.6,211.0,-10.2,-5.4,0.0,-0.0,-1.6,-1.2,
1516resq-nsrcmpd1,5385,Enigma Riddlers,4,16,1385,364,9,FC,0.89,127.4,126.5,123.5,122.9,2.5,3.0,0.0,0.0,77.8,79.4,47.6,44.5,-0.6,-0.5,4.5,4.0,
1516resq-nsrcmpd1,535,Tobor,5,14,1624,395,9,SC,0.78,175.9,167.0,170.1,161.6,7.4,7.3,0.0,0.0,150.1,140.5,11.6,13.0,6.8,6.1,-1.0,-0.8,
1516resq-nsrcmpd1,6133,"The ""NUTS!""",6,12,1281,351,9,S1,0.67,137.4,132.7,130.6,126.4,11.1,10.4,0.0,0.0,145.0,136.0,-19.2,-14.3,0.5,0.4,6.3,5.8,
1516resq-nsrcmpd1,4587,Red Hot Techie Peppers,7,12,1242,395,9,,0.67,107.2,108.8,104.0,105.5,22.1,20.6,0.0,0.0,36.8,41.8,43.8,42.0,4.6,4.3,-1.3,-1.1,
1516resq-nsrcmpd1,5250,Loading...,8,12,1228,351,9,F1,0.67,112.2,110.3,113.3,111.1,7.7,7.9,0.0,0.0,65.3,66.3,39.7,36.4,-0.5,-0.5,-0.6,-0.5,
1516resq-nsrcmpd1,9908,The Killer Coders,9,10,1727,305,9,,0.56,120.6,118.1,113.0,111.3,23.4,21.7,0.0,0.0,89.6,85.9,0.7,4.2,6.9,6.1,0.7,0.5,
1516resq-nsrcmpd1,5980,Titanium Tech Vikes,10,10,1689,322,9,F2,0.56,137.6,133.1,140.0,135.0,21.7,20.1,0.0,0.0,50.7,51.6,66.7,62.6,-1.5,-1.2,-0.9,-0.8,
1516resq-nsrcmpd1,8686,Height Differential,11,10,1681,352,9,,0.56,160.5,152.8,159.0,151.4,24.9,23.0,0.0,0.0,51.4,52.1,83.5,77.0,0.8,0.6,0.7,0.7,
1516resq-nsrcmpd1,5140,WACO Aerobotics,12,10,1479,436,9,,0.56,98.6,100.7,92.1,94.8,-4.0,-2.7,0.0,0.0,57.0,60.7,45.0,42.2,0.5,0.4,5.9,5.3,
1516resq-nsrcmpd1,5466,Combustible Lemons,13,10,1454,364,9,,0.56,109.2,108.2,110.5,109.2,4.0,4.3,0.0,0.0,45.9,47.9,59.8,56.3,-0.6,-0.5,-0.7,-0.6,
1516resq-nsrcmpd1,6134,Black Frogs,14,10,1433,328,9,,0.56,91.9,95.0,92.8,95.5,13.7,13.2,0.0,0.0,69.9,70.9,9.6,11.7,-1.2,-1.0,0.4,0.4,
1516resq-nsrcmpd1,6093,Deviation from the Norm,15,10,1355,297,9,S1,0.56,90.6,93.8,93.6,96.1,1.9,2.6,0.0,0.0,37.0,42.6,53.5,49.9,-1.8,-1.4,-1.2,-1.0,
1516resq-nsrcmpd1,6987,Hat Trix,16,10,1332,351,9,,0.56,124.2,121.5,123.1,120.4,2.3,2.8,0.0,0.0,129.2,122.1,-8.1,-4.1,0.8,0.6,0.3,0.4,
1516resq-nsrcmpd1,7152,Robot Squad,17,10,1279,309,9,S2,0.56,104.3,103.7,105.4,104.6,1.6,1.9,0.0,0.0,124.2,117.6,-20.9,-15.3,-0.6,-0.5,-0.4,-0.4,
1516resq-nsrcmpd1,9789,TOXIC,18,8,1858,271,9,S2,0.44,142.7,138.1,136.6,132.5,7.0,6.9,0.0,0.0,44.0,46.0,92.4,85.7,-0.7,-0.6,6.8,6.1,
1516resq-nsrcmpd1,3664,Girls With Attitude,19,8,1788,311,9,W2,0.44,155.9,149.5,150.9,144.8,9.8,9.8,0.0,0.0,60.1,59.8,79.8,74.3,6.1,5.5,-1.1,-0.9,
1516resq-nsrcmpd1,8907,Blue Box Bots,20,8,1749,327,9,,0.44,106.1,107.2,100.3,101.9,2.0,2.8,0.0,0.0,38.0,42.2,65.3,61.3,0.9,0.8,4.9,4.4,
1516resq-nsrcmpd1,5975,CYBOTS,21,8,1576,343,9,,0.44,97.0,99.2,97.2,99.3,10.5,10.1,0.0,0.0,47.3,51.8,40.1,37.9,-0.9,-0.7,0.7,0.5,
