TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-ny-co,4174,Atomic Theory,1,8,231,150,5,FC,0.80,95.4,77.5,95.0,76.9,-0.3,-0.1,0.0,0.0,44.3,36.8,50.2,39.7,1.2,1.1,-0.8,-0.4,
1516resq-ny-co,7386,RACS,2,8,167,126,5,SC,0.80,15.0,20.1,13.5,18.9,-0.5,-0.4,0.0,0.0,10.1,13.4,3.6,5.6,1.8,1.5,-0.3,-0.3,
1516resq-ny-co,8863,Precision Cut-Ups,3,8,160,150,5,WC,0.80,28.8,33.3,29.4,33.8,0.1,-0.0,0.0,0.0,19.0,22.1,9.8,11.2,-0.2,-0.1,-0.5,-0.5,
1516resq-ny-co,10776,Alden Knights,4,8,146,92,5,SC,0.80,49.3,38.8,50.7,39.7,-0.8,-0.5,0.0,0.0,44.4,37.0,6.1,2.5,-0.5,-0.4,-1.0,-0.5,
1516resq-ny-co,5356,Tardis,5,6,264,128,5,F1,0.60,50.5,46.1,51.3,46.8,1.8,1.6,0.0,0.0,18.9,18.7,30.4,26.1,-0.5,-0.4,-0.3,-0.3,
1516resq-ny-co,5319,Wolverines,6,6,145,69,5,S1,0.60,25.4,23.7,24.3,22.7,-0.1,-0.1,0.0,0.0,29.2,26.5,-2.7,-2.1,-1.0,-0.6,2.0,1.6,
1516resq-ny-co,5485,GorillaBots,7,6,139,131,5,W1,0.60,32.5,33.9,31.1,32.8,0.5,0.3,0.0,0.0,26.2,26.4,6.6,7.8,-0.9,-0.6,2.3,1.7,
1516resq-ny-co,7743,Lansing Bobcats,8,6,97,45,5,,0.60,-20.4,-5.7,-22.6,-7.3,0.3,0.3,0.0,0.0,-5.3,2.5,-17.3,-10.1,1.8,1.5,0.4,0.1,
1516resq-ny-co,9773,Robocracy,9,4,214,128,5,S1,0.40,37.2,32.2,38.8,33.3,3.5,2.9,0.0,0.0,20.1,18.4,14.1,11.3,-0.6,-0.4,-1.1,-0.7,
1516resq-ny-co,8767,Deus ex Machina,10,4,211,89,5,,0.40,42.8,35.0,42.0,34.2,1.0,1.0,0.0,0.0,21.3,18.5,18.7,14.0,1.8,1.4,-1.0,-0.6,
1516resq-ny-co,7012,Error 404,11,4,157,59,5,,0.40,4.5,7.0,1.0,4.0,0.6,0.7,0.0,0.0,12.2,12.6,-8.3,-6.3,-0.0,-0.0,3.5,3.1,
1516resq-ny-co,5927,The Hitchhikers,12,4,141,62,5,,0.40,25.4,21.2,26.5,22.0,-0.7,-0.4,0.0,0.0,23.8,21.3,2.1,0.2,0.2,0.1,-1.4,-0.8,
1516resq-ny-co,8568,Spencerport Tech Rangers,13,2,221,92,5,,0.20,34.5,34.0,32.7,32.6,0.5,0.4,0.0,0.0,33.3,31.7,0.9,1.9,-0.2,-0.1,2.0,1.5,
1516resq-ny-co,7665,TaskMasters 4-H Club,14,2,172,77,5,,0.20,-3.7,7.4,-7.3,4.6,1.0,0.7,0.0,0.0,7.6,12.8,-13.8,-7.5,1.5,1.3,2.1,1.5,
1516resq-ny-co,7230,Atoms,15,2,137,41,5,,0.20,-4.7,4.4,-5.0,4.3,1.9,1.5,0.0,0.0,4.2,8.6,-10.2,-5.4,-0.6,-0.4,0.9,0.5,
1516resq-ny-co,7094,BASEMENTALISTS,16,2,126,33,5,,0.20,1.6,3.7,0.5,2.6,-0.8,-0.6,0.0,0.0,6.7,7.7,-6.3,-5.2,2.1,1.7,-0.9,-0.5,
