TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-ny-fl-Q-1,Q-1,50-71 B,7230,4978,0,9984,5927,0,50,0,0,50,0,0,71,0,0,61,0,10,
1516resq-ny-fl-Q-2,Q-2,106-96 R,3750,5484,0,8806,7743,0,106,0,0,26,80,0,96,0,0,96,0,0,
1516resq-ny-fl-Q-3,Q-3,55-94 B,5065,5319,0,10776,6347,0,55,0,0,15,0,40,94,0,0,94,0,0,
1516resq-ny-fl-Q-4,Q-4,134-92 R,10074,796,0,7386,5356,0,134,10,0,44,80,0,92,0,0,92,0,0,
1516resq-ny-fl-Q-5,Q-5,27-63 B,9464,4957,0,6996,4082,0,27,10,0,17,0,0,63,0,0,63,0,0,
1516resq-ny-fl-Q-6,Q-6,6-13 B,6993,5485,0,620,8568,0,6,0,0,6,0,0,13,0,0,13,0,0,
1516resq-ny-fl-Q-7,Q-7,38-11 R,7386,5319,0,4978,3750,0,38,0,0,18,0,20,11,0,0,11,0,0,
1516resq-ny-fl-Q-8,Q-8,41-195 B,5356,4957,0,8806,7230,0,41,5,0,36,0,0,195,10,0,55,0,130,
1516resq-ny-fl-Q-9,Q-9,51-140 B,6347,620,0,796,5484,0,51,0,0,51,0,0,140,0,0,140,0,0,
1516resq-ny-fl-Q-10,Q-10,96-10 R,10074,5485,0,5065,6996,0,96,15,0,61,0,20,10,0,0,10,0,0,
1516resq-ny-fl-Q-11,Q-11,104-25 R,4082,9984,0,6993,10776,0,104,5,0,99,0,0,25,0,0,25,0,0,
1516resq-ny-fl-Q-12,Q-12,113-18 R,8568,7743,0,9464,5927,0,113,5,0,108,0,0,18,5,0,13,0,0,
1516resq-ny-fl-Q-13,Q-13,34-28 R,620,6996,0,7230,5319,0,34,0,0,34,0,0,28,0,0,28,0,0,
1516resq-ny-fl-Q-14,Q-14,52-120 B,6993,8806,0,10074,6347,0,52,5,0,47,0,0,120,5,0,115,0,0,
1516resq-ny-fl-Q-15,Q-15,76-15 R,9984,8568,0,3750,4957,0,76,0,0,46,0,30,15,0,0,15,0,0,
1516resq-ny-fl-Q-16,Q-16,133-67 R,5356,4082,0,5927,5484,0,133,5,0,128,0,0,67,5,0,42,20,0,
1516resq-ny-fl-Q-17,Q-17,89-54 R,7386,7743,0,10776,5485,0,89,0,0,89,0,0,54,5,0,49,0,0,
1516resq-ny-fl-Q-18,Q-18,12-150 B,5065,9464,0,796,4978,0,12,0,0,12,0,0,150,5,0,65,80,0,
1516resq-ny-fl-Q-19,Q-19,158-36 R,7230,4082,0,3750,10074,0,158,5,0,153,0,0,36,0,0,36,0,0,
1516resq-ny-fl-Q-20,Q-20,115-1 R,6347,5927,0,6996,7386,0,115,5,0,110,0,0,1,0,0,1,0,0,
1516resq-ny-fl-Q-21,Q-21,179-30 R,9464,5356,0,5485,5319,0,179,0,0,59,0,120,30,5,0,25,0,0,
1516resq-ny-fl-Q-22,Q-22,88-60 R,5484,4978,0,8568,10776,0,88,0,0,88,0,0,60,0,0,60,0,0,
1516resq-ny-fl-Q-23,Q-23,17-62 B,5065,8806,0,620,9984,0,17,5,0,12,0,0,62,0,0,62,0,0,
1516resq-ny-fl-Q-24,Q-24,248-49 R,7743,796,0,4957,6993,0,248,5,0,103,80,60,49,5,0,44,0,0,
1516resq-ny-fl-Q-25,Q-25,52-15 R,5484,7230,0,9464,7386,0,52,0,0,52,0,0,15,0,0,15,0,0,
1516resq-ny-fl-Q-26,Q-26,65-145 B,4978,5485,0,4082,6347,0,65,5,0,60,0,0,145,5,0,140,0,0,
1516resq-ny-fl-Q-27,Q-27,102-19 R,5927,3750,0,6993,5065,0,102,5,0,57,0,40,19,0,0,19,0,0,
1516resq-ny-fl-Q-28,Q-28,5-63 B,10074,10776,0,4957,620,0,5,0,0,5,0,0,63,0,0,63,0,0,
1516resq-ny-fl-Q-29,Q-29,90-165 B,8568,8806,0,5319,796,0,90,0,0,10,80,0,165,0,0,85,80,0,
1516resq-ny-fl-Q-30,Q-30,46-112 B,5356,6996,0,9984,7743,0,46,5,0,21,0,20,112,5,0,107,0,0,
1516resq-ny-fl-SF-1-1,SF-1-1,289-98 R,796,4082,10074,7743,5356,5485,289,10,0,199,80,0,98,5,0,93,0,0,
1516resq-ny-fl-SF-1-2,SF-1-2,185-82 R,796,4082,10074,7743,5356,5485,185,5,0,100,80,0,82,0,0,82,0,0,
1516resq-ny-fl-SF-2-1,SF-2-1,42-34 R,9984,6347,10776,5484,8568,620,42,0,0,42,0,0,34,0,0,34,0,0,
1516resq-ny-fl-SF-2-2,SF-2-2,38-23 R,9984,6347,10776,5484,8568,620,38,5,0,33,0,0,23,0,0,23,0,0,
1516resq-ny-fl-F-1,F-1,202-84 R,796,4082,10074,9984,6347,10776,202,10,0,182,0,10,84,0,0,64,20,0,
1516resq-ny-fl-F-2,F-2,111-147 B,796,4082,10074,9984,6347,10776,111,5,0,106,0,0,147,5,0,142,0,0,
1516resq-ny-fl-F-3,F-3,255-112 R,796,4082,10074,9984,6347,10776,255,10,0,155,80,10,112,5,0,107,0,0,
