TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-nycmpsuny,6460,RoboWarriors,1,8,369,209,5,FC,
1516resq-nycmpsuny,796,Wolves,2,8,332,231,5,F1,
1516resq-nycmpsuny,10074,Einstein's Chickens,3,8,294,214,5,SC,
1516resq-nycmpsuny,4082,RoboSpartans,4,7,614,214,5,WC,
1516resq-nycmpsuny,10776,Alden Knights,5,6,662,209,5,SC,
1516resq-nycmpsuny,6347,Geared Up,6,6,446,238,5,W1,
1516resq-nycmpsuny,8568,Spencerport Tech Rangers,7,6,443,212,5,F2,
1516resq-nycmpsuny,5484,EnderBot,8,6,350,167,5,S2,
1516resq-nycmpsuny,5356,Tardis,9,6,349,188,5,S1,
1516resq-nycmpsuny,9984,JavaScouts,10,6,348,150,5,S2,
1516resq-nycmpsuny,4107,Mohon Bots,11,6,262,148,5,,
1516resq-nycmpsuny,4174,Atomic Theory,12,5,611,238,5,S1,
1516resq-nycmpsuny,7743,Lansing Bobcats,13,4,391,206,5,,
1516resq-nycmpsuny,8767,Deus ex Machina,14,4,336,144,5,,
1516resq-nycmpsuny,7665,TaskMasters 4-H Club,15,4,320,189,5,,
1516resq-nycmpsuny,620,Lost Robot,16,4,299,186,5,,
1516resq-nycmpsuny,8806,The Dark Matter Dragons,17,4,248,151,5,,
1516resq-nycmpsuny,7012,Error 404,18,4,230,115,5,,
1516resq-nycmpsuny,6955,RO Bo Vines,19,4,229,107,5,,
1516resq-nycmpsuny,7094,BASEMENTALISTS,20,4,215,181,5,,
1516resq-nycmpsuny,5485,GorillaBots,21,3,525,200,5,W2,
1516resq-nycmpsuny,7230,Atoms,22,3,376,231,5,,
1516resq-nycmpsuny,6996,Oncoming Storm,23,2,332,197,5,,
1516resq-nycmpsuny,8863,Precision Cut-Ups,24,2,307,116,5,,
