TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-nyco-Q-1,Q-1,58-23 R,8863,5927,0,7386,9773,0,58,0,0,58,0,0,23,0,0,23,0,0,
1516resq-nyco-Q-2,Q-2,45-31 R,4174,7743,0,8568,7012,0,45,0,0,35,0,10,31,0,0,31,0,0,
1516resq-nyco-Q-3,Q-3,17-54 B,8767,7665,0,5485,5319,0,17,5,0,2,0,10,54,0,0,54,0,0,
1516resq-nyco-Q-4,Q-4,40-31 R,7230,10776,0,5356,7094,0,40,0,0,40,0,0,31,0,0,31,0,0,
1516resq-nyco-Q-5,Q-5,45-13 R,8767,7743,0,7665,5927,0,45,0,0,45,0,0,13,0,0,13,0,0,
1516resq-nyco-Q-6,Q-6,92-19 R,8568,10776,0,9773,7012,0,92,0,0,92,0,0,19,5,0,14,0,0,
1516resq-nyco-Q-7,Q-7,30-150 B,5485,7094,0,4174,8863,0,30,0,0,30,0,0,150,0,0,70,80,0,
1516resq-nyco-Q-8,Q-8,27-28 B,5356,7230,0,7386,5319,0,27,5,0,22,0,0,28,0,0,28,0,0,
1516resq-nyco-Q-9,Q-9,74-57 R,7665,10776,0,8568,8863,0,74,0,0,74,0,0,57,0,0,37,20,0,
1516resq-nyco-Q-10,Q-10,19-14 R,9773,7743,0,7094,7230,0,19,5,0,14,0,0,14,0,0,14,0,0,
1516resq-nyco-Q-11,Q-11,126-69 R,4174,7386,0,5319,8767,0,126,0,0,46,80,0,69,0,0,69,0,0,
1516resq-nyco-Q-12,Q-12,59-48 R,5356,7012,0,5485,5927,0,59,5,0,54,0,0,48,0,0,48,0,0,
1516resq-nyco-Q-13,Q-13,9-45 B,7743,5319,0,10776,8863,0,9,0,0,9,0,0,45,0,0,45,0,0,
1516resq-nyco-Q-14,Q-14,24-131 B,7230,5927,0,5485,4174,0,24,0,0,24,0,0,131,0,0,51,80,0,
1516resq-nyco-Q-15,Q-15,28-18 R,7386,7094,0,7012,7665,0,28,0,0,18,0,10,18,0,0,18,0,0,
1516resq-nyco-Q-16,Q-16,81-89 B,9773,8568,0,8767,5356,0,81,5,0,76,0,0,89,0,0,9,80,0,
1516resq-nyco-Q-17,Q-17,62-30 R,7386,5485,0,7743,10776,0,62,0,0,62,0,0,30,0,0,30,0,0,
1516resq-nyco-Q-18,Q-18,43-41 R,8863,7012,0,7230,8767,0,43,0,0,43,0,0,41,5,0,36,0,0,
1516resq-nyco-Q-19,Q-19,128-77 R,5356,9773,0,4174,7665,0,128,5,0,43,80,0,77,0,0,77,0,0,
1516resq-nyco-Q-20,Q-20,62-33 R,5927,5319,0,8568,7094,0,62,0,0,62,0,0,33,0,0,33,0,0,
1516resq-nyco-SF-1-1,SF-1-1,233-59 R,4174,5356,0,10776,9773,0,233,5,0,68,160,0,59,0,0,59,0,0,
1516resq-nyco-SF-2-1,SF-2-1,32-163 B,7386,5319,0,8863,5485,0,32,0,0,32,0,0,163,0,0,143,0,20,
1516resq-nyco-SF-1-2,SF-1-2,191-57 R,4174,5356,0,10776,9773,0,191,5,0,26,160,0,57,0,0,57,0,0,
1516resq-nyco-SF-2-2,SF-2-2,28-146 B,7386,5319,0,8863,5485,0,28,0,0,28,0,0,146,0,0,136,0,10,
1516resq-nyco-F-1,F-1,113-136 B,4174,5356,0,8863,5485,0,113,0,0,33,80,0,136,0,0,136,0,0,
1516resq-nyco-F-2,F-2,128-147 B,4174,5356,0,8863,5485,0,128,0,0,48,80,0,147,0,0,147,0,0,
