TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-nyhv,4809,Botman,1,10,234,247,5,SC,
1516resq-nyhv,28,PolyGnomes,2,10,226,150,5,WC,
1516resq-nyhv,9605,Excelsior,3,8,225,198,5,SC,
1516resq-nyhv,4654,Jellyfish,4,8,202,205,5,S1,
1516resq-nyhv,6719,Piotech,5,8,188,107,5,FC,
1516resq-nyhv,5484,EnderBot,6,6,299,247,5,S1,
1516resq-nyhv,5602,Bionic Gaels,7,6,280,205,5,F1,
1516resq-nyhv,9832,Robomaniacs,8,6,153,108,5,,
1516resq-nyhv,9094,EDISON Robots,9,4,232,130,5,,
1516resq-nyhv,4244,Vidrini-I,10,4,229,122,5,W1,
1516resq-nyhv,5637,Tech-Wise Guys,11,4,221,78,5,,
1516resq-nyhv,10855,Juggernerds,12,4,133,80,5,,
1516resq-nyhv,10801,EF FTC,13,4,75,108,5,,
1516resq-nyhv,8490,Mamaroneck Tigers,14,2,312,127,5,,
1516resq-nyhv,9773,Robocracy,15,2,304,127,5,,
1516resq-nyhv,9024,Juggerknights,16,2,171,51,5,,
1516resq-nyhv,4481,Woodlands Warriors,17,2,161,86,5,,
1516resq-nyhv,4326,Basement Lions,18,0,173,54,5,,
