TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-nysq-Q-1,Q-1,64-12 R,7743,9984,0,6955,10039,0,64,0,0,24,0,40,12,0,0,12,0,0,
1516resq-nysq-Q-2,Q-2,126-14 R,7386,4082,0,4107,7094,0,126,5,0,121,0,0,14,0,0,14,0,0,
1516resq-nysq-Q-3,Q-3,17-15 R,8599,4957,0,7420,10161,0,17,0,0,17,0,0,15,0,0,15,0,0,
1516resq-nysq-Q-4,Q-4,109-73 R,7012,8767,0,8863,9464,0,109,0,0,109,0,0,73,0,0,53,0,20,
1516resq-nysq-Q-5,Q-5,26-70 B,4093,7230,0,4809,6460,0,26,0,0,26,0,0,70,5,0,55,0,10,
1516resq-nysq-Q-6,Q-6,55-57 B,8571,10457,0,7665,4356,0,55,0,0,55,0,0,57,0,0,47,0,10,
1516resq-nysq-Q-7,Q-7,16-50 B,7094,9464,0,8599,6955,0,16,0,0,16,0,0,50,0,0,50,0,0,
1516resq-nysq-Q-8,Q-8,32-35 B,8767,4957,0,7386,10039,0,32,5,0,27,0,0,35,0,0,35,0,0,
1516resq-nysq-Q-9,Q-9,42-38 R,7420,7665,0,7012,4809,0,42,5,0,37,0,0,38,0,0,38,0,0,
1516resq-nysq-Q-10,Q-10,91-112 B,4082,10161,0,10457,6460,0,91,5,0,86,0,0,112,0,0,32,80,0,
1516resq-nysq-Q-11,Q-11,35-105 B,7743,4093,0,8863,4356,0,35,0,0,35,0,0,105,0,0,95,0,10,
1516resq-nysq-Q-12,Q-12,3-37 B,7230,9984,0,4107,8571,0,3,0,0,3,0,0,37,0,0,37,0,0,
1516resq-nysq-Q-13,Q-13,36-16 R,10039,9464,0,7420,10457,0,36,0,0,16,0,20,16,10,0,6,0,0,
1516resq-nysq-Q-14,Q-14,21-73 B,7094,6460,0,7743,7665,0,21,0,0,21,0,0,73,5,0,68,0,0,
1516resq-nysq-Q-15,Q-15,106-58 R,8863,4957,0,4809,4107,0,106,0,0,106,0,0,58,5,0,53,0,0,
1516resq-nysq-Q-16,Q-16,30-43 B,10161,7230,0,7386,6955,0,30,0,0,30,0,0,43,0,0,33,0,10,
1516resq-nysq-Q-17,Q-17,28-56 B,8571,8599,0,4093,8767,0,28,0,0,28,0,0,56,5,0,51,0,0,
1516resq-nysq-Q-18,Q-18,90-11 R,4082,7012,0,9984,4356,0,90,0,0,90,0,0,11,0,0,11,0,0,
1516resq-nysq-Q-19,Q-19,35-130 B,6955,4107,0,7420,6460,0,35,0,0,35,0,0,130,5,0,45,80,0,
1516resq-nysq-Q-20,Q-20,124-68 R,8863,10039,0,7230,7094,0,124,0,0,124,0,0,68,0,0,58,0,10,
1516resq-nysq-Q-21,Q-21,12-46 B,4356,7386,0,8599,4809,0,12,0,0,12,0,0,46,0,0,46,0,0,
1516resq-nysq-Q-22,Q-22,21-40 B,7012,10457,0,4093,4957,0,21,0,0,21,0,0,40,5,0,35,0,0,
1516resq-nysq-Q-23,Q-23,72-24 R,8767,7665,0,9984,10161,0,72,5,0,67,0,0,24,0,0,24,0,0,
1516resq-nysq-Q-24,Q-24,125-32 R,4082,7743,0,9464,8571,0,125,0,0,125,0,0,32,5,0,27,0,0,
1516resq-nysq-Q-25,Q-25,64-30 R,10039,6460,0,8599,7012,0,64,0,0,64,0,0,30,0,0,30,0,0,
1516resq-nysq-Q-26,Q-26,7-147 B,9984,7420,0,7386,8863,0,7,5,0,2,0,0,147,0,0,147,0,0,
1516resq-nysq-Q-27,Q-27,87-23 R,7094,4809,0,8571,10161,0,87,0,0,87,0,0,23,0,0,13,0,10,
1516resq-nysq-Q-28,Q-28,49-80 B,4107,10457,0,7743,8767,0,49,0,0,49,0,0,80,5,0,75,0,0,
1516resq-nysq-Q-29,Q-29,75-97 B,6955,7665,0,4082,4093,0,75,0,0,75,0,0,97,0,0,97,0,0,
1516resq-nysq-Q-30,Q-30,25-51 B,4356,9464,0,4957,7230,0,25,0,0,25,0,0,51,5,0,46,0,0,
1516resq-nysq-SF-1-1,SF-1-1,232-52 R,4082,6460,6955,4957,7743,4809,232,0,0,142,80,10,52,0,0,52,0,0,
1516resq-nysq-SF-2-1,SF-2-1,11-156 B,7665,8767,7386,8863,7012,4093,11,0,0,11,0,0,156,0,0,156,0,0,
1516resq-nysq-SF-1-2,SF-1-2,137-27 R,4082,6460,6955,4957,7743,4809,137,5,0,132,0,0,27,10,0,17,0,0,
1516resq-nysq-SF-2-2,SF-2-2,54-108 B,7665,8767,7386,8863,7012,4093,54,0,0,54,0,0,108,0,0,98,0,10,
1516resq-nysq-F-1,F-1,229-132 R,4082,6460,6955,8863,7012,4093,229,5,0,144,80,0,132,0,0,132,0,0,
1516resq-nysq-F-2,F-2,158-151 R,4082,6460,6955,8863,7012,4093,158,5,0,153,0,0,151,0,0,151,0,0,
