TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-okcmp-Q-1,Q-1,56-100 B,10355,4281,0,9826,7814,0,56,0,0,16,0,40,100,0,0,100,0,0,
1516resq-okcmp-Q-2,Q-2,47-24 R,10259,10052,0,10368,5141,0,47,5,0,42,0,0,24,0,0,24,0,0,
1516resq-okcmp-Q-3,Q-3,23-185 B,7366,5044,0,6973,4250,0,23,0,0,23,0,0,185,5,0,100,80,0,
1516resq-okcmp-Q-4,Q-4,55-67 B,7242,5150,0,7452,7523,0,55,0,0,55,0,0,67,5,0,32,0,30,
1516resq-okcmp-Q-5,Q-5,51-107 B,6735,5553,0,7172,9898,0,51,0,0,51,0,0,107,0,0,107,0,0,
1516resq-okcmp-Q-6,Q-6,47-195 B,4155,3677,0,8373,4224,0,47,0,0,47,0,0,195,0,0,95,100,0,
1516resq-okcmp-Q-7,Q-7,74-57 R,10090,6238,0,6144,4378,0,74,0,0,74,0,0,57,0,0,57,0,0,
1516resq-okcmp-Q-8,Q-8,50-28 R,5395,8866,0,8825,5180,0,50,5,0,45,0,0,28,0,0,28,0,0,
1516resq-okcmp-Q-9,Q-9,161-63 R,10156,9879,0,10380,9847,0,161,5,0,76,80,0,63,0,0,63,0,0,
1516resq-okcmp-Q-10,Q-10,4-148 B,10641,9386,0,6780,7163,0,4,0,0,4,0,0,148,5,0,63,80,0,
1516resq-okcmp-Q-11,Q-11,87-173 B,3677,5141,0,9826,7523,0,87,0,0,87,0,0,173,5,0,88,80,0,
1516resq-okcmp-Q-12,Q-12,90-35 R,10052,10355,0,4378,6735,0,90,10,0,80,0,0,35,0,0,35,0,0,
1516resq-okcmp-Q-13,Q-13,47-16 R,4224,9898,0,7814,7366,0,47,0,0,27,20,0,16,0,0,16,0,0,
1516resq-okcmp-Q-14,Q-14,116-33 R,9879,6973,0,4155,6144,0,116,5,0,31,80,0,33,5,0,28,0,0,
1516resq-okcmp-Q-15,Q-15,239-160 R,10156,9386,0,7242,4250,0,239,5,0,54,180,0,160,25,0,135,0,0,
1516resq-okcmp-Q-16,Q-16,50-191 B,8866,6238,0,8373,7163,0,50,5,0,45,0,0,191,10,0,61,80,40,
1516resq-okcmp-Q-17,Q-17,45-71 B,10090,5553,0,10380,10641,0,45,0,0,45,0,0,71,5,0,66,0,0,
1516resq-okcmp-Q-18,Q-18,122-83 R,5180,7172,0,10259,9847,0,122,15,0,107,0,0,83,0,0,83,0,0,
1516resq-okcmp-Q-19,Q-19,14-66 B,5044,7452,0,6780,5395,0,14,5,0,9,0,0,66,5,0,41,20,0,
1516resq-okcmp-Q-20,Q-20,36-26 R,5150,10368,0,4281,8825,0,36,20,0,16,0,0,26,5,0,11,0,10,
1516resq-okcmp-Q-21,Q-21,260-8 R,4250,8373,0,9879,10052,0,260,5,0,175,80,0,8,5,0,3,0,0,
1516resq-okcmp-Q-22,Q-22,138-45 R,4378,7523,0,10380,7366,0,138,5,0,53,80,0,45,5,0,30,0,10,
1516resq-okcmp-Q-23,Q-23,203-34 R,10641,7172,0,4155,8866,0,203,25,0,168,0,10,34,5,0,29,0,0,
1516resq-okcmp-Q-24,Q-24,41-52 B,9847,9898,0,6238,5044,0,41,0,0,41,0,0,52,0,0,42,0,10,
1516resq-okcmp-Q-25,Q-25,16-46 B,7452,5180,0,9386,10368,0,16,5,0,11,0,0,46,0,0,46,0,0,
