TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-orcmpd2,4143,Occam's Razor,1,10,579,370,5,FC,1.00,202.4,185.9,182.4,169.7,2.0,2.4,0.0,0.0,121.6,118.3,72.6,60.5,6.2,4.6,13.7,11.5,
1516resq-orcmpd2,4855,Batteries In Black,2,8,794,370,5,WC,0.80,219.0,199.3,219.1,198.6,13.5,11.8,0.0,0.0,205.6,181.8,2.8,7.6,-2.9,-2.0,2.8,2.5,
1516resq-orcmpd2,8949,The Gifted Gears,3,8,588,275,5,SC,0.80,145.4,128.0,142.5,124.7,33.7,27.2,0.0,0.0,105.8,93.7,1.8,3.1,4.2,3.8,-1.2,-0.7,
1516resq-orcmpd2,10485,sa-Bot-age,4,8,542,231,5,W1,0.80,64.9,68.3,64.5,67.5,-8.2,-5.0,0.0,0.0,67.7,66.4,4.1,5.3,1.4,1.4,-0.9,-0.8,
1516resq-orcmpd2,7750,M&M's,5,8,477,192,5,SC,0.80,43.6,54.7,41.9,53.3,5.1,5.8,0.0,0.0,40.6,43.7,-2.5,4.4,0.5,0.6,1.2,0.6,
1516resq-orcmpd2,8372,TNT (Trial N Terror),6,6,711,318,5,S1,0.60,88.8,89.3,93.5,92.1,5.4,5.4,0.0,0.0,54.1,60.4,29.8,23.8,-0.6,-0.5,-4.1,-2.5,
1516resq-orcmpd2,6930,Syntax Error 42,7,6,677,363,5,F1,0.60,130.9,120.0,127.2,115.6,6.7,5.1,0.0,0.0,99.9,90.3,27.9,26.7,-3.7,-2.3,7.4,6.5,
1516resq-orcmpd2,7875,Men In Green,8,6,660,325,5,S1,0.60,106.2,102.8,97.4,95.2,-0.0,0.3,0.0,0.0,105.5,95.8,2.3,7.6,-1.6,-1.1,10.4,8.6,
1516resq-orcmpd2,8176,Steelhead,9,6,591,308,5,S2,0.60,58.8,69.0,66.9,73.7,-4.4,-2.9,0.0,0.0,65.2,67.3,2.5,7.3,-4.5,-2.9,-3.6,-2.0,
1516resq-orcmpd2,7333,Combustible Lemons,10,6,591,231,5,,0.60,45.7,56.0,40.1,51.1,0.4,1.6,0.0,0.0,21.0,29.7,17.5,19.0,6.7,5.6,-1.1,-0.8,
1516resq-orcmpd2,7939,The Neon,11,6,286,218,5,,0.60,38.4,49.5,35.9,46.4,2.6,2.6,0.0,0.0,18.8,27.8,13.6,15.9,3.4,3.1,-0.8,-0.2,
1516resq-orcmpd2,9774,Nano Ninjas,12,4,690,224,5,S2,0.40,63.3,67.2,67.3,68.8,-0.7,-0.4,0.0,0.0,60.8,61.9,1.6,3.6,1.6,1.9,-5.6,-3.7,
1516resq-orcmpd2,7776,Loose Screws,13,4,679,198,5,F2,0.40,119.3,106.9,123.0,108.9,-1.1,-0.7,0.0,0.0,54.5,52.0,69.4,57.7,-3.5,-2.3,-0.2,0.1,
1516resq-orcmpd2,10060,Klamath Coyotes,14,4,670,357,5,W2,0.40,94.8,95.9,90.7,92.7,1.7,3.0,0.0,0.0,30.9,39.9,61.7,52.6,0.5,0.1,3.7,2.8,
1516resq-orcmpd2,8173,EagleTech,15,4,476,305,5,,0.40,52.9,58.8,50.0,55.3,7.5,6.3,0.0,0.0,44.3,49.8,-1.3,-0.1,2.4,2.6,0.5,0.7,
1516resq-orcmpd2,9907,Don't Panic and Always Carry a Towel,16,4,460,213,5,,0.40,64.5,62.2,54.3,53.5,8.1,6.8,0.0,0.0,38.2,37.7,12.7,12.5,5.6,5.0,4.6,3.5,
1516resq-orcmpd2,6590,Ratchet Robotics,17,4,391,182,5,,0.40,7.9,25.1,4.5,21.3,-2.5,-0.5,0.0,0.0,20.1,28.8,-9.8,-3.8,0.1,0.4,3.3,3.2,
1516resq-orcmpd2,3058,Jury Riggers,18,2,716,197,5,,0.20,91.8,84.4,90.5,82.2,6.1,4.7,0.0,0.0,30.8,32.7,54.2,46.0,0.8,0.9,0.5,1.1,
1516resq-orcmpd2,9769,Total Chaos,19,2,708,230,5,,0.20,69.3,70.9,52.8,57.1,6.5,6.4,0.0,0.0,51.6,54.6,-2.0,-1.2,13.2,10.9,3.3,2.7,
1516resq-orcmpd2,7878,Cougarbots,20,2,540,198,5,,0.20,42.7,49.1,39.9,47.0,1.2,1.2,0.0,0.0,44.7,45.7,-4.5,1.0,1.3,1.1,1.5,0.8,
1516resq-orcmpd2,7474,VWA,21,2,369,143,5,,0.20,19.2,29.5,16.3,26.6,-0.6,0.7,0.0,0.0,26.4,32.8,-7.3,-4.6,0.6,0.4,2.3,2.2,
1516resq-orcmpd2,750,Gears in Motion,22,0,567,187,5,,0.00,62.2,62.3,56.5,57.6,1.1,1.2,0.0,0.0,46.5,46.8,8.9,9.6,5.6,4.5,0.1,-0.0,
