TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-riq2,652,TACT. BOTS,1,10,70,64,5,FC,
1516resq-riq2,154,Renegade,2,8,109,227,5,F1,
1516resq-riq2,252,Electric Quahogs,3,7,213,184,5,WC,
1516resq-riq2,689,Avengers,4,6,201,135,5,SC,
1516resq-riq2,121,Rhode Rage I,5,6,146,98,5,W1,
1516resq-riq2,9900,The Breakfast Club,6,6,138,68,5,S1,
1516resq-riq2,8129,Cane Bots,7,6,71,227,5,SC,
1516resq-riq2,3351,Tater Bots Rehashed,8,5,82,38,5,S1,
1516resq-riq2,9906,Blood Sweat and Gears,9,4,100,42,5,,
1516resq-riq2,7093,RaiderBots,10,4,99,67,5,,
1516resq-riq2,149,Hawks,11,4,97,98,5,,
1516resq-riq2,10376,Dynamic Drones,12,4,90,68,5,,
1516resq-riq2,9260,MET Monstahs,13,4,90,42,5,,
1516resq-riq2,3032,R.O.S.S.I. Enterprises,14,4,88,152,5,,
1516resq-riq2,4578,Bakabots,15,4,80,179,5,,
1516resq-riq2,5030,Sorta Nuts...and Bolts,16,3,118,55,5,,
1516resq-riq2,4531,Torque Demons,17,3,77,31,5,,
1516resq-riq2,4497,Rhode Rage II,18,2,125,67,5,,
