TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-tx-cmpald2,6710,Sigmas,1,10,483,226,5,WC,1.00,122.8,106.6,135.4,114.4,3.2,2.7,0.0,0.0,32.3,30.6,89.7,74.4,-2.4,-1.2,-10.3,-6.6,
1516resq-tx-cmpald2,9547,Panthers,2,10,275,191,5,SC,1.00,52.9,50.5,45.7,43.9,1.5,1.2,0.0,0.0,18.7,20.6,25.6,22.3,7.0,6.2,0.1,0.3,
1516resq-tx-cmpald2,9829,MAKbots,3,10,213,217,5,FC,1.00,138.7,118.5,139.5,118.4,3.0,2.5,0.0,0.0,140.3,116.0,-3.2,0.3,-1.4,-0.5,0.6,0.5,
1516resq-tx-cmpald2,4749,Wild Force,4,8,390,148,5,SC,0.80,46.9,46.2,42.4,41.3,1.9,1.5,0.0,0.0,41.9,39.4,6.6,6.8,-3.4,-1.6,7.9,6.5,
1516resq-tx-cmpald2,6210,ViperBots Stryke,5,8,348,220,5,,0.80,111.1,98.7,110.5,98.3,2.0,1.7,0.0,0.0,64.9,57.2,45.3,40.2,-1.2,-0.6,1.7,0.9,
1516resq-tx-cmpald2,8541,Blue Chargerbots,6,8,331,226,5,F1,0.80,118.6,104.9,101.7,91.4,1.1,1.0,0.0,0.0,35.9,32.9,70.5,62.2,11.0,8.7,5.9,4.8,
1516resq-tx-cmpald2,6221,Panther Bots Alpha,7,8,289,174,5,S2,0.80,64.4,65.3,65.0,66.0,0.6,0.6,0.0,0.0,21.7,25.7,41.8,38.9,0.3,-0.1,-0.9,-0.6,
1516resq-tx-cmpald2,5628,The Tau Manifesto,8,8,285,198,5,F2,0.80,49.5,49.5,49.0,49.3,-0.1,0.1,0.0,0.0,33.9,37.1,14.4,11.4,1.2,0.7,-0.8,-0.5,
1516resq-tx-cmpald2,9048,Philobots,9,8,227,220,5,W1,0.80,78.3,71.7,80.1,72.1,1.3,1.1,0.0,0.0,14.3,16.4,63.1,53.9,-0.4,0.1,-1.5,-0.6,
1516resq-tx-cmpald2,9923,Team Trojan pride,10,8,205,141,5,,0.80,45.2,42.1,45.8,43.2,0.2,0.2,0.0,0.0,34.7,33.2,6.4,6.5,3.9,2.0,-4.5,-3.2,
1516resq-tx-cmpald2,8886,Saber Robotics,11,6,385,191,5,S1,0.60,92.2,80.6,94.3,82.1,-0.1,0.1,0.0,0.0,37.5,35.0,56.4,46.6,-1.7,-1.3,-0.5,-0.3,
1516resq-tx-cmpald2,10840,X-Bots,12,6,322,162,5,,0.60,62.9,60.1,64.5,61.6,0.9,0.9,0.0,0.0,58.8,54.3,2.4,4.6,0.9,0.3,-2.4,-1.8,
1516resq-tx-cmpald2,6976,Brandeis Bronc Botz - Nano,13,6,274,133,5,,0.60,59.0,51.3,42.6,37.1,-0.2,0.0,0.0,0.0,24.2,22.5,17.0,13.5,18.0,15.2,-1.6,-1.1,
1516resq-tx-cmpald2,4545,ViperBots Ouroboros,14,6,269,162,5,W2,0.60,38.2,37.7,41.2,39.2,0.5,0.5,0.0,0.0,56.2,48.9,-15.0,-9.9,-3.5,-1.9,0.5,0.4,
1516resq-tx-cmpald2,9875,LASA MurPHy,15,6,267,218,5,,0.60,77.6,67.9,60.8,53.7,0.3,0.3,0.0,0.0,19.1,19.8,50.4,41.3,7.8,6.3,8.9,7.8,
1516resq-tx-cmpald2,5695,Robo Wolves,16,6,213,173,5,,0.60,38.3,46.8,46.8,52.1,0.2,0.2,0.0,0.0,42.0,44.8,-1.2,3.2,-2.7,-1.7,-5.8,-3.8,
1516resq-tx-cmpald2,10782,Clawbots,17,6,150,217,5,,0.60,31.2,38.5,25.9,35.7,1.5,1.4,0.0,0.0,4.7,15.0,22.3,20.8,2.7,1.2,2.6,1.5,
1516resq-tx-cmpald2,4848,Team Chaos,18,4,417,171,5,,0.40,62.8,58.9,46.9,47.4,-0.6,-0.5,0.0,0.0,56.3,50.9,2.4,6.0,4.8,2.3,11.1,9.1,
1516resq-tx-cmpald2,4932,Team CIA,19,4,333,133,5,,0.40,33.8,33.9,35.8,33.2,1.5,1.2,0.0,0.0,29.0,28.5,11.2,8.6,-7.9,-4.6,5.9,5.2,
1516resq-tx-cmpald2,8627,Shambots2.0,20,4,272,147,5,,0.40,33.8,38.0,33.8,36.7,3.1,2.4,0.0,0.0,22.0,24.0,4.8,7.6,3.9,3.8,-3.9,-2.6,
1516resq-tx-cmpald2,4849,The Gadgets,21,4,253,102,5,,0.40,12.3,17.7,10.7,16.7,-0.4,-0.3,0.0,0.0,30.6,29.8,-16.9,-11.3,-1.1,-0.6,2.6,1.5,
1516resq-tx-cmpald2,7789,BeachBots,22,4,252,92,5,,0.40,19.2,25.0,24.2,28.3,-0.8,-0.6,0.0,0.0,29.6,31.1,-11.6,-6.8,2.1,1.1,-7.1,-4.5,
1516resq-tx-cmpald2,7797,Victorian Voltage,23,4,233,240,5,S2,0.40,83.2,70.6,61.9,53.3,0.5,0.5,0.0,0.0,55.9,49.8,5.0,2.4,21.7,17.7,-0.4,-0.5,
1516resq-tx-cmpald2,8048,404 Not Found,24,4,203,74,5,,0.40,5.7,13.7,-2.7,7.4,2.1,1.8,0.0,0.0,7.3,11.7,-14.5,-7.8,10.8,7.8,-2.4,-1.6,
1516resq-tx-cmpald2,11009,McHi Robotics,25,4,196,135,5,,0.40,34.7,37.1,28.9,31.2,-0.1,0.0,0.0,0.0,35.4,34.4,-5.2,-2.5,4.6,4.9,1.2,0.9,
1516resq-tx-cmpald2,9228,Team Virus,26,4,182,107,5,,0.40,-4.7,5.2,-30.9,-15.4,0.3,0.3,0.0,0.0,13.6,14.1,-20.6,-10.3,1.9,0.9,24.3,19.5,
1516resq-tx-cmpald2,9585,Armor,27,4,167,168,5,,0.40,18.1,25.0,10.9,19.3,2.9,2.5,0.0,0.0,-9.1,4.3,18.8,14.1,5.5,4.0,1.7,1.6,
1516resq-tx-cmpald2,4750,X-Bots,28,4,167,110,5,,0.40,2.1,11.0,7.3,13.5,1.0,0.9,0.0,0.0,27.5,24.9,-23.4,-13.9,-2.9,-1.1,-2.2,-1.4,
1516resq-tx-cmpald2,4602,Brandeis Bronc Botz - Blue,29,4,157,72,5,,0.40,26.7,23.3,33.3,27.6,0.1,0.1,0.0,0.0,24.7,23.0,8.5,4.2,-6.5,-4.3,-0.1,-0.1,
1516resq-tx-cmpald2,8815,Iron Eagles Silverbolt,30,4,143,108,5,,0.40,-0.8,7.9,4.5,9.9,0.8,0.6,0.0,0.0,-11.2,-3.0,16.6,14.0,-7.0,-4.0,1.7,1.9,
1516resq-tx-cmpald2,4008,Brandeis Bronc Botz - Atlas,31,4,115,153,5,,0.40,-13.9,0.4,-30.3,-13.9,0.2,0.2,0.0,0.0,13.3,15.9,-23.0,-13.3,-4.4,-2.6,20.8,16.8,
1516resq-tx-cmpald2,4902,Team CHAOS,32,4,111,167,5,,0.40,5.5,12.7,11.9,16.2,0.5,0.4,0.0,0.0,-3.4,2.3,11.5,11.5,-3.1,-1.7,-3.4,-1.8,
1516resq-tx-cmpald2,7079,Faltech,33,4,90,75,5,,0.40,-12.2,-0.5,-12.4,0.0,2.2,1.7,0.0,0.0,-4.8,1.2,-9.5,-3.0,-0.0,-0.5,0.2,-0.1,
1516resq-tx-cmpald2,10632,JECA RoboRaptors,34,2,464,165,5,,0.20,67.3,60.1,71.1,62.6,1.3,1.1,0.0,0.0,51.8,48.1,18.0,13.2,-3.8,-2.4,0.0,-0.1,
1516resq-tx-cmpald2,5809,Dark Horse,35,2,310,171,5,S1,0.20,47.3,40.9,52.2,43.3,-0.2,-0.1,0.0,0.0,30.0,27.6,20.6,14.6,-3.0,-1.4,-1.9,-1.1,
1516resq-tx-cmpald2,10775,R Cubed,36,2,267,240,5,,0.20,43.8,48.5,16.9,25.5,0.4,0.3,0.0,0.0,35.7,36.7,-11.9,-5.3,19.7,16.6,7.2,6.3,
1516resq-tx-cmpald2,4752,Orange Salvation,37,2,195,79,5,,0.20,3.4,8.9,1.2,7.0,-0.8,-0.4,0.0,0.0,20.5,19.4,-17.9,-11.1,1.5,0.9,0.6,1.0,
1516resq-tx-cmpald2,10823,GriffTech,38,2,189,129,5,,0.20,-13.6,-1.7,-11.3,-0.4,-0.7,-0.5,0.0,0.0,7.3,12.1,-22.2,-14.7,2.0,1.2,-4.3,-2.6,
1516resq-tx-cmpald2,5714,Shambots,39,2,173,149,5,,0.20,23.6,23.8,35.5,30.9,-0.8,-0.6,0.0,0.0,13.7,15.1,13.3,10.2,-2.7,-1.1,-9.2,-6.0,
1516resq-tx-cmpald2,7993,VOLT,40,2,105,81,5,,0.20,-7.5,0.6,-8.0,0.9,1.9,1.5,0.0,0.0,1.2,5.2,-9.4,-5.0,-1.2,-1.3,1.7,0.9,
1516resq-tx-cmpald2,7694,EmojiBotz,41,0,171,88,5,,0.00,4.3,6.2,-17.5,-12.4,-0.7,-0.5,0.0,0.0,1.0,5.1,5.2,2.0,-1.2,-0.6,23.0,19.0,
