TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-tx-cmplpps,7239,The Knights of Cybertron,1,9,217,67,5,,0.90,18.3,19.8,21.2,21.7,1.0,0.8,0.0,0.0,18.2,20.0,-1.2,-1.1,0.3,0.2,-3.2,-2.1,
1516resq-tx-cmplpps,9362,Samurai Robotics,2,8,231,164,5,W1,0.80,111.0,93.7,113.4,95.1,0.1,0.1,0.0,0.0,46.8,41.4,64.5,52.5,-0.4,-0.2,-2.0,-1.3,
1516resq-tx-cmplpps,9204,DEEZ NUTS N BOLTS,3,8,195,164,5,,0.80,9.9,15.6,7.0,13.4,0.1,0.0,0.0,0.0,2.9,8.7,4.5,5.0,2.4,1.9,0.5,0.3,
1516resq-tx-cmplpps,11004,Heartbreakers,4,7,174,157,5,,0.70,21.6,27.7,13.3,21.1,-0.2,-0.1,0.0,0.0,19.0,22.9,2.3,4.7,0.5,0.2,7.8,6.3,
1516resq-tx-cmplpps,10527,Tech-Knights,5,7,131,201,5,SC,0.70,53.6,51.5,52.3,50.8,-0.3,-0.2,0.0,0.0,52.5,48.0,1.4,3.8,-0.0,-0.1,1.3,0.7,
1516resq-tx-cmplpps,4886,Robo Junkies,6,6,157,201,5,WC,0.60,62.4,55.1,65.3,56.6,0.1,0.1,0.0,0.0,64.2,56.8,-0.6,-1.1,-1.3,-0.6,-1.6,-1.0,
1516resq-tx-cmplpps,4874,"FHS Jets A Team ""Salvage the LOST""",7,6,144,67,5,S1,0.60,24.6,23.1,27.7,25.1,1.0,0.8,0.0,0.0,20.4,20.3,4.7,3.1,-1.5,-1.0,-1.6,-1.1,
1516resq-tx-cmplpps,4906,Midland High Junkyard Dawgs,8,5,263,87,5,,0.50,37.4,33.6,40.0,35.3,0.0,0.0,0.0,0.0,34.9,31.0,5.0,4.3,-2.5,-1.8,-0.0,0.0,
1516resq-tx-cmplpps,10861,Transformerz,9,5,255,76,5,S1,0.50,42.2,38.1,32.5,30.0,-0.4,-0.2,0.0,0.0,44.0,39.0,-1.6,-0.8,0.2,0.1,9.5,7.9,
1516resq-tx-cmplpps,10860,Boneyard Bandits,10,5,115,87,5,F1,0.50,18.0,21.0,9.8,14.3,-0.0,-0.0,0.0,0.0,13.9,16.7,-3.5,-1.9,7.6,6.3,0.6,0.3,
1516resq-tx-cmplpps,4885,OmegaBotzs,11,4,217,85,5,,0.40,34.1,30.9,37.1,32.8,0.0,0.0,0.0,0.0,27.7,25.4,7.4,6.2,-1.1,-0.7,-1.9,-1.3,
1516resq-tx-cmplpps,10519,LEGINTELLEX,12,4,173,145,5,,0.40,16.3,20.5,17.3,21.1,0.1,0.0,0.0,0.0,11.3,15.1,5.8,6.0,-0.9,-0.7,-0.1,0.0,
1516resq-tx-cmplpps,10864,"FHS Jets B Team ""Incident Command""",13,4,156,76,5,SC,0.40,18.6,20.8,10.6,14.2,-0.2,-0.1,0.0,0.0,11.5,14.4,-0.3,0.3,7.7,6.3,0.4,0.2,
1516resq-tx-cmplpps,9381,Hot Bots,14,4,135,79,5,,0.40,18.6,20.5,20.2,21.7,-0.2,-0.1,0.0,0.0,20.1,20.9,-0.8,0.0,-0.4,-0.3,-1.1,-1.0,
1516resq-tx-cmplpps,10529,Andrews Innovative Technology,15,2,138,55,5,FC,0.20,-5.6,1.1,-6.1,0.8,-0.3,-0.2,0.0,0.0,11.3,12.1,-16.5,-10.8,0.0,-0.0,0.5,0.2,
1516resq-tx-cmplpps,4897,Bodacious Bulldawgs,16,2,100,85,5,,0.20,-2.6,3.2,-2.5,3.4,-0.2,-0.1,0.0,0.0,2.2,5.8,-4.0,-2.0,-0.6,-0.5,0.5,0.2,
1516resq-tx-cmplpps,10528,GEARHEADS,17,0,127,54,5,,0.00,8.1,10.2,7.2,9.2,0.2,0.1,0.0,0.0,4.3,8.0,3.1,1.9,0.4,0.2,0.5,0.6,
