TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-txa2,5815,Disgruntled Robots,1,10,232,132,5,SC,
1516resq-txa2,5808,Hypnobots,2,10,174,144,5,SC,
1516resq-txa2,5628,The Tau Manifesto,3,8,196,141,5,FC,
1516resq-txa2,8814,Iron Eagles Guardian,4,8,185,115,5,S1,
1516resq-txa2,7161,ViperBots Hydra,5,6,290,85,5,WC,
1516resq-txa2,9793,RobotSEA,6,6,120,144,5,W1,
1516resq-txa2,9875,LASA MurPHy,7,6,104,90,5,F1,
1516resq-txa2,9053,Psionics,8,4,223,125,5,S1,
1516resq-txa2,5764,Blue Sabers,9,4,218,68,5,,
1516resq-txa2,5809,Dark Horse,10,4,183,68,5,,
1516resq-txa2,8424,E-Cubed,11,4,177,96,5,,
1516resq-txa2,6504,Torque Omega,12,4,142,141,5,,
1516resq-txa2,5767,Iron Riot,13,4,116,115,5,,
1516resq-txa2,6804,Electric Sheep,14,4,102,51,5,,
1516resq-txa2,8815,Iron Eagles Silverbolt,15,2,207,61,5,,
1516resq-txa2,6990,Static Void,16,2,162,125,5,,
1516resq-txa2,5998,LASA Ultra Violet,17,2,139,122,5,,
1516resq-txa2,9482,Platinum Phoenix,18,2,134,56,5,,
