TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-txcmplld-Q-1,Q-1,14-45 B,6510,7216,0,3674,10726,0,14,0,0,14,0,0,45,0,0,45,0,0,
1516resq-txcmplld-Q-2,Q-2,76-48 R,5175,4641,0,6678,7788,0,76,0,0,26,0,50,48,0,0,48,0,0,
1516resq-txcmplld-Q-3,Q-3,15-33 B,7788,5175,0,10726,6510,0,15,0,0,15,0,0,33,0,0,33,0,0,
1516resq-txcmplld-Q-4,Q-4,94-10 R,4641,6678,0,3674,7216,0,94,0,0,94,0,0,10,0,0,10,0,0,
1516resq-txcmplld-Q-5,Q-5,22-40 B,6678,3674,0,6510,5175,0,22,0,0,22,0,0,40,5,0,35,0,0,
1516resq-txcmplld-Q-6,Q-6,20-6 R,10726,7788,0,4641,7216,0,20,0,0,20,0,0,6,0,0,6,0,0,
1516resq-txcmplld-Q-7,Q-7,4-24 B,6678,7216,0,7788,6510,0,4,0,0,4,0,0,24,5,0,19,0,0,
1516resq-txcmplld-Q-8,Q-8,44-45 B,3674,5175,0,4641,10726,0,44,0,0,44,0,0,45,0,0,45,0,0,
1516resq-txcmplld-Q-9,Q-9,102-74 R,10726,7216,0,6678,5175,0,102,0,0,22,80,0,74,5,0,69,0,0,
1516resq-txcmplld-Q-10,Q-10,17-20 B,6510,3674,0,7788,4641,0,17,0,0,17,0,0,20,0,0,0,0,20,
