TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-vaead2,5527,Dynamic GEARS,1,10,104,90,5,WC,
1516resq-vaead2,6010,Thunder Stone,2,8,155,138,5,W1,
1516resq-vaead2,10873,Brainstormers,3,8,155,81,5,SC,
1516resq-vaead2,5648,TekTwisters 2.0,4,8,145,135,5,S1,
1516resq-vaead2,6027,L.E.D. Empire,5,8,127,139,5,FC,
1516resq-vaead2,9901,Techie Titans,6,8,127,111,5,SC,
1516resq-vaead2,5872,MAVERICS,7,8,74,186,5,F1,
1516resq-vaead2,5086,Tutu Turtles,8,6,89,186,5,S1,
1516resq-vaead2,293,Cape Squad,9,6,88,139,5,S2,
1516resq-vaead2,3804,Team Snuffleupagus,10,4,157,75,5,,
1516resq-vaead2,6124,Geek Gods,11,4,131,138,5,W2,
1516resq-vaead2,10716,Titans,12,4,130,81,5,,
1516resq-vaead2,7580,Royal Blockheads,13,4,123,53,5,S2,
1516resq-vaead2,3116,Robo Warriors,14,4,120,72,5,,
1516resq-vaead2,975,Synergy,15,4,103,67,5,,
1516resq-vaead2,4592,Nuts and Bolts,16,4,92,54,5,F2,
1516resq-vaead2,5607,Metal Eagles,17,4,81,56,5,,
1516resq-vaead2,10567,Voltage,18,4,70,135,5,,
1516resq-vaead2,10808,Expecto Robotum,19,4,60,43,5,,
1516resq-vaead2,4970,Loose Screws,20,4,52,76,5,,
1516resq-vaead2,5251,Übercharged,21,2,176,90,5,,
1516resq-vaead2,10869,Maze Masters,22,2,67,111,5,,
1516resq-vaead2,6158,Spartabots,23,2,40,48,5,,
1516resq-vaead2,8037,TechnoHawks,24,0,98,41,5,,
