TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1516resq-wsr-cmpd2,8471,The Ducks,1,16,1745,443,9,WC,0.89,215.0,204.8,193.8,185.6,4.9,5.5,0.0,0.0,184.6,173.4,22.6,23.5,2.9,2.4,18.3,16.7,
1516resq-wsr-cmpd2,8606,RSF Intergalactic Dragons,2,16,1528,393,9,W1,0.89,202.8,192.1,203.3,192.5,8.4,8.4,0.0,0.0,125.6,118.9,68.1,64.2,0.7,0.5,-1.1,-0.9,
1516resq-wsr-cmpd2,8466,The Fellowship of the Robot,3,14,1494,392,9,FC,0.78,188.1,177.0,190.9,179.1,15.0,13.6,0.0,0.0,124.3,117.6,50.8,47.2,-1.9,-1.5,-0.8,-0.7,
1516resq-wsr-cmpd2,5220,RoboKnights 5220,4,14,1158,367,9,F1,0.78,126.0,125.1,127.5,125.5,18.1,16.3,0.0,0.0,124.0,120.1,-11.0,-7.4,-5.1,-3.9,3.6,3.4,
1516resq-wsr-cmpd2,9915,Robo Thunder,5,12,1671,413,9,SC,0.67,195.1,181.3,187.0,173.9,26.7,24.2,0.0,0.0,71.7,69.1,87.7,80.1,8.9,7.8,-0.9,-0.5,
1516resq-wsr-cmpd2,10060,Klamath Coyotes,6,12,1530,364,9,SC,0.67,144.3,138.3,150.0,142.6,29.6,26.6,0.0,0.0,37.7,39.6,81.5,75.5,-4.5,-3.4,-1.2,-0.9,
1516resq-wsr-cmpd2,5942,Team Torch,7,12,1501,443,9,W2,0.67,171.2,161.2,160.4,151.2,22.3,20.0,0.0,0.0,78.6,76.4,66.7,61.4,3.6,3.3,7.3,6.6,
1516resq-wsr-cmpd2,4143,Occam's Razor,8,12,1462,392,9,F2,0.67,147.0,142.9,144.7,141.2,-1.1,0.4,0.0,0.0,112.5,108.7,32.5,31.6,3.2,2.2,-0.8,-0.6,
1516resq-wsr-cmpd2,6929,Data Force,9,12,1442,413,9,S1,0.67,134.2,130.2,132.6,127.9,6.9,6.4,0.0,0.0,139.6,130.9,-6.5,-2.7,-5.8,-4.5,7.4,6.7,
1516resq-wsr-cmpd2,2891,WarriorBorgs,10,12,1359,316,9,,0.67,111.9,108.4,90.9,89.5,3.4,3.7,0.0,0.0,69.2,67.5,21.9,21.8,17.4,15.4,3.7,3.4,
1516resq-wsr-cmpd2,6220,Centripetal,11,12,1353,373,9,,0.67,143.2,135.0,144.0,135.6,13.8,12.5,0.0,0.0,60.0,58.9,68.8,63.0,0.6,0.5,-1.4,-1.2,
1516resq-wsr-cmpd2,9761,The PrestidigiTaters,12,12,1096,320,9,,0.67,56.1,65.1,60.6,68.4,4.5,4.7,0.0,0.0,36.5,41.9,18.1,20.6,-3.0,-2.3,-1.5,-1.1,
1516resq-wsr-cmpd2,5206,The Knights of Ni,13,10,1772,418,9,S2,0.56,164.5,158.2,161.8,155.5,6.4,6.6,0.0,0.0,123.7,118.2,32.2,31.5,2.1,1.8,0.6,0.9,
1516resq-wsr-cmpd2,8372,TNT (Trial N Terror),14,10,1709,418,9,,0.56,195.8,183.5,195.3,182.9,17.6,15.7,0.0,0.0,84.7,81.5,95.2,87.6,-1.7,-1.3,2.3,1.8,
1516resq-wsr-cmpd2,10485,sa-Bot-age,15,10,1321,275,9,S1,0.56,95.1,94.5,91.9,91.5,-3.1,-2.2,0.0,0.0,75.4,73.9,19.7,20.1,3.1,2.6,0.1,0.3,
1516resq-wsr-cmpd2,8949,The Gifted Gears,16,10,1230,390,9,,0.56,105.7,107.3,111.6,111.8,14.1,13.2,0.0,0.0,78.0,77.1,19.8,21.7,-6.3,-4.9,0.3,0.3,
1516resq-wsr-cmpd2,10061,Occam's Razor,17,10,1052,347,9,,0.56,75.2,78.4,75.9,78.7,1.4,1.8,0.0,0.0,53.8,56.1,21.1,21.0,-1.0,-0.6,0.3,0.2,
1516resq-wsr-cmpd2,5132,AHERT Ravens,18,10,1007,330,9,,0.56,39.8,50.5,37.6,48.3,0.9,2.4,0.0,0.0,17.9,24.5,22.7,25.0,-1.8,-1.5,4.0,3.6,
1516resq-wsr-cmpd2,5218,Javabots - a Rock 'n Roll Robots team,19,8,1643,286,9,,0.44,78.1,85.0,80.7,86.4,-5.5,-3.6,0.0,0.0,8.9,15.9,73.5,71.0,1.3,1.6,-3.9,-3.1,
1516resq-wsr-cmpd2,9019,Nuclear Wolves,20,8,1480,432,9,,0.44,101.3,101.6,103.8,103.5,11.6,10.7,0.0,0.0,53.3,56.3,37.4,35.4,-1.0,-0.8,-1.5,-1.1,
