TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1516resq-wsrcmpd2,8471,The Ducks,1,16,1745,443,9,WC,
1516resq-wsrcmpd2,8606,RSF Intergalactic Dragons,2,16,1528,393,9,W1,
1516resq-wsrcmpd2,8466,The Fellowship of the Robot,3,14,1494,392,9,FC,
1516resq-wsrcmpd2,5220,RoboKnights 5220,4,14,1158,367,9,F1,
1516resq-wsrcmpd2,9915,Robo Thunder,5,12,1671,413,9,SC,
1516resq-wsrcmpd2,10060,Klamath Coyotes,6,12,1530,364,9,SC,
1516resq-wsrcmpd2,5942,Team Torch,7,12,1501,443,9,W2,
1516resq-wsrcmpd2,4143,Occam's Razor,8,12,1462,392,9,F2,
1516resq-wsrcmpd2,6929,Data Force,9,12,1442,413,9,S1,
1516resq-wsrcmpd2,2891,WarriorBorgs,10,12,1359,316,9,,
1516resq-wsrcmpd2,6220,Centripetal,11,12,1353,373,9,,
1516resq-wsrcmpd2,9761,The PrestidigiTaters,12,12,1096,320,9,,
1516resq-wsrcmpd2,5206,The Knights of Ni,13,10,1772,418,9,S2,
1516resq-wsrcmpd2,8372,TNT (Trial N Terror),14,10,1709,418,9,,
1516resq-wsrcmpd2,10485,sa-Bot-age,15,10,1321,275,9,S1,
1516resq-wsrcmpd2,8949,The Gifted Gears,16,10,1230,390,9,,
1516resq-wsrcmpd2,10061,Occam's Razor,17,10,1052,347,9,,
1516resq-wsrcmpd2,5132,AHERT Ravens,18,10,1007,330,9,,
1516resq-wsrcmpd2,5218,Javabots - a Rock 'n Roll Robots team,19,8,1643,286,9,,
1516resq-wsrcmpd2,9019,Nuclear Wolves,20,8,1480,432,9,,
1516resq-wsrcmpd2,724,RedNek Robotics Wun,21,8,1388,347,9,S2,
1516resq-wsrcmpd2,71,Teton County Search and Rescue Robotics,22,8,1287,286,9,,
1516resq-wsrcmpd2,4133,Fusion,23,8,1214,246,9,,
1516resq-wsrcmpd2,9112,Skeleton Crew,24,8,1161,302,9,,
1516resq-wsrcmpd2,6427,Wright Angle,25,8,1059,272,9,,
1516resq-wsrcmpd2,3231,Maelstrom,26,6,1643,372,9,,
1516resq-wsrcmpd2,8660,Charging Champions,27,6,1447,330,9,,
1516resq-wsrcmpd2,3491,FIX IT,28,6,1332,298,9,,
1516resq-wsrcmpd2,10400,NanoBytes,29,6,1285,314,9,,
1516resq-wsrcmpd2,9164,Zorrobots,30,6,1221,325,9,,
1516resq-wsrcmpd2,7104,Synergists; Team 7104,31,6,1185,230,9,,
1516resq-wsrcmpd2,4344,Rickrollers,32,4,1556,303,9,,
1516resq-wsrcmpd2,8570,InFALAbles,33,4,1018,219,9,,
1516resq-wsrcmpd2,417,S.K.I.D,34,4,1004,327,9,,
1516resq-wsrcmpd2,8720,Eagles,35,2,1266,311,9,,
1516resq-wsrcmpd2,6688,Lambda,36,2,857,168,9,,
