TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-ak-se-Q-1,1,1,1,6281,6280,0,3081,5389,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,0,0,0,0,1,0,0,0,0,0,
1617velv-ak-se-Q-2,1,1,2,11497,10099,0,10915,12087,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,3,1,1,0,0,1,0,0,0,0,0,TRUE,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-ak-se-Q-3,1,1,3,3766,10915,0,12374,4358,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,4,1,0,0,0,0,2,0,0,FALSE,0,0,0,0,0,0,2,0,2,0,0,0,
1617velv-ak-se-Q-4,1,1,4,6281,12087,0,11497,3766,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,2,0,0,0,0,0,0,0,0,TRUE,0,0,3,0,2,1,1,0,0,0,0,0,
1617velv-ak-se-Q-5,1,1,5,12374,10099,0,6280,5389,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,1,2,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,2,0,2,0,0,0,0,0,
1617velv-ak-se-Q-6,1,1,6,4358,12087,0,3081,6280,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,4,0,0,0,0,1,0,0,0,TRUE,0,0,1,0,0,0,0,1,0,0,0,1,
1617velv-ak-se-Q-7,1,1,7,5389,6281,0,10915,4358,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,1,0,0,0,0,0,1,0,FALSE,0,0,0,0,4,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-ak-se-Q-8,1,1,8,11497,3081,0,3766,10099,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,3,0,0,1,1,0,0,0,0,0,FALSE,0,0,0,0,4,0,0,1,0,0,0,0,
1617velv-ak-se-Q-9,1,1,9,12087,10099,0,12374,6281,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,4,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-ak-se-Q-10,1,1,10,3081,4358,0,11497,12374,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,1,3,1,1,0,0,0,0,0,0,0,TRUE,0,0,3,0,3,0,1,0,0,0,0,0,
1617velv-ak-se-Q-11,1,1,11,3766,5389,0,6280,10915,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,4,3,0,1,0,0,1,0,0,TRUE,0,0,1,0,0,0,0,1,1,0,0,0,
1617velv-ak-se-Q-12,1,1,12,12374,6280,0,11497,6281,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,0,2,3,0,4,0,0,0,0,0,0,0,
1617velv-ak-se-Q-13,1,1,13,5389,10915,0,3081,12087,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,3,0,0,0,0,0,0,0,0,TRUE,0,0,1,0,1,2,0,0,0,0,0,0,
1617velv-ak-se-Q-14,1,1,14,4358,3766,0,10099,5389,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,0,3,1,0,1,0,0,0,0,0,FALSE,0,0,1,0,1,0,4,1,0,0,0,0,
1617velv-ak-se-SF-1-1,1,3,11,3766,11497,0,6281,12087,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,1,3,0,3,0,0,1,2,0,2,0,0,TRUE,0,0,0,0,3,0,0,0,2,0,2,0,
1617velv-ak-se-SF-2-1,1,3,21,10099,3081,0,5389,4358,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,1,0,3,1,0,0,0,1,0,0,0,TRUE,0,0,0,0,1,0,0,0,0,0,0,1,
1617velv-ak-se-SF-1-2,1,3,12,3766,11497,0,6281,12087,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,3,3,0,1,0,0,0,0,0,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-ak-se-SF-2-2,1,3,22,10099,3081,0,5389,4358,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,4,0,0,0,0,0,0,0,
1617velv-ak-se-SF-2-3,1,3,23,10099,3081,0,5389,4358,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,2,0,1,1,3,3,0,1,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-ak-se-SF-2-4,1,3,24,10099,3081,0,5389,4358,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,1,1,0,3,0,0,0,0,0,0,0,FALSE,0,0,0,0,4,0,0,0,0,0,0,0,
1617velv-ak-se-F-1,1,4,1,3766,11497,0,10099,3081,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,1,3,0,0,1,0,0,0,0,0,TRUE,2,0,0,0,1,1,0,1,0,0,0,0,
1617velv-ak-se-F-2,1,4,2,3766,11497,0,10099,3081,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,1,3,0,1,0,0,0,0,0,TRUE,2,0,1,0,3,1,0,0,0,0,0,0,
1617velv-ak-se-F-3,1,4,3,3766,11497,0,10099,3081,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,1,2,2,0,0,0,0,0,0,0,TRUE,1,0,1,0,2,0,0,0,0,0,0,0,
