TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-aksa,3492,Team Zip Ties,1,8,156,80,5,,
1617velv-aksa,5394,TacoS,2,8,146,95,5,,
1617velv-aksa,10610,Mears Gears,3,7,92,75,5,,
1617velv-aksa,10998,MechaLynx,4,6,164,95,5,,
1617velv-aksa,10513,Smart Metal,5,6,115,51,5,,
1617velv-aksa,5215,MethodHeads,6,6,90,51,5,,
1617velv-aksa,4955,Dimond Engineering Per 4,7,5,113,35,5,,
1617velv-aksa,4951,Dimondz Nutz and Boltz,8,4,118,55,5,,
1617velv-aksa,4539,3 G's and Aden,9,3,155,50,5,,
1617velv-aksa,4954,SPECTRE,10,3,115,65,5,,
1617velv-aksa,5530,I 8 Sum Pi,11,2,147,75,5,,
1617velv-aksa,5247,Rock Paper Scissors,12,2,93,55,5,,
