TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-az-qc-Q-1,Q-1,76-22 R,11297,5132,0,6174,7221,0,76,10,0,26,40,0,22,0,0,22,0,0,false,false,false,false,
1617velv-az-qc-Q-2,Q-2,70-50 R,2844,7167,0,11219,10239,0,70,5,0,25,40,0,50,10,0,40,0,0,false,false,false,false,
1617velv-az-qc-Q-3,Q-3,95-47 R,10246,8995,0,12200,10984,0,95,35,0,60,0,0,47,10,0,37,0,0,false,false,false,false,
1617velv-az-qc-Q-4,Q-4,10-100 B,8081,6174,0,11202,2844,0,10,0,0,10,0,0,100,10,0,50,40,0,false,false,false,false,
1617velv-az-qc-Q-5,Q-5,80-160 B,10246,10239,0,5132,8995,0,80,65,0,5,10,0,160,85,0,65,10,0,false,false,false,false,
1617velv-az-qc-Q-6,Q-6,22-40 B,7221,11202,0,11219,10984,0,22,10,0,12,0,0,40,0,0,30,10,0,false,false,false,false,
1617velv-az-qc-Q-7,Q-7,13-47 B,8081,12200,0,7167,11297,0,13,10,0,3,0,0,47,5,0,42,0,0,false,false,false,false,
1617velv-az-qc-Q-8,Q-8,20-60 B,10239,6174,0,10984,10246,0,20,10,0,10,0,0,60,5,0,55,0,0,true,false,true,false,
1617velv-az-qc-Q-9,Q-9,105-1 R,11219,5132,0,11297,8081,0,105,10,0,55,0,40,1,0,0,1,0,0,false,false,false,false,
1617velv-az-qc-Q-10,Q-10,109-76 R,12200,8995,0,2844,7221,0,109,60,0,49,0,0,76,20,0,16,40,0,false,false,false,false,
1617velv-az-qc-Q-11,Q-11,95-25 R,7167,10239,0,11202,11297,0,95,5,0,40,10,40,25,5,0,0,20,0,false,false,false,false,
1617velv-az-qc-Q-12,Q-12,18-70 B,2844,12200,0,10984,5132,0,18,0,0,18,0,0,70,35,0,25,0,10,false,false,false,false,
1617velv-az-qc-Q-13,Q-13,50-90 B,11219,8081,0,8995,6174,0,50,10,0,30,10,0,90,45,0,35,0,10,false,false,false,false,
1617velv-az-qc-Q-14,Q-14,40-86 B,7167,11202,0,7221,10246,0,40,10,0,10,20,0,86,40,0,46,0,0,false,false,false,false,
1617velv-az-qc-Q-15,Q-15,80-25 R,6174,11219,0,12200,10239,0,80,0,0,40,40,0,25,5,0,0,10,10,false,false,false,false,
1617velv-az-qc-Q-16,Q-16,31-25 R,10246,11297,0,10984,2844,0,31,25,0,6,0,0,25,0,0,25,0,0,false,false,false,false,
1617velv-az-qc-Q-17,Q-17,45-70 B,11202,5132,0,8995,7167,0,45,15,0,30,0,0,70,20,0,50,0,0,false,false,false,false,
1617velv-az-qc-Q-18,Q-18,60-10 R,7221,10984,0,8081,10239,0,60,0,0,60,0,0,10,0,0,0,10,0,false,false,false,false,
1617velv-az-qc-SF-1-1,SF-1-1,175-55 R,8995,2844,0,11219,10984,0,175,110,0,65,0,0,55,15,0,40,0,0,false,false,false,false,
1617velv-az-qc-SF-1-2,SF-1-2,170-120 R,8995,2844,0,11219,10984,0,170,90,0,40,40,0,120,20,0,60,0,40,false,false,false,false,
1617velv-az-qc-SF-2-1,SF-2-1,105-55 R,10246,6174,0,7167,5132,0,105,55,0,40,10,0,55,20,0,35,0,0,false,false,false,false,
1617velv-az-qc-SF-2-2,SF-2-2,115-75 R,10246,6174,0,7167,5132,0,115,75,0,40,0,0,75,20,0,55,0,0,false,false,false,false,
1617velv-az-qc-F-1,F-1,85-65 R,8995,2844,0,10246,6174,0,85,40,0,45,0,0,65,30,0,25,0,10,false,false,false,false,
1617velv-az-qc-F-2,F-2,170-60 R,8995,2844,0,10246,6174,0,170,100,0,70,0,0,60,45,0,15,0,0,false,false,false,false,
