TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-cala-a1m1,4512,West Torrance Robotics,1,8,101,70,5,,0.80,40.8,37.1,39.2,35.0,21.7,18.7,0.0,0.0,26.1,22.7,-3.9,-2.4,-3.2,-1.9,4.8,3.9,
1617velv-cala-a1m1,5390,Vikings,2,7,117,66,5,,0.70,22.4,22.4,12.9,13.4,-3.2,-1.2,0.0,0.0,9.2,9.8,9.7,7.9,6.6,5.7,2.9,3.1,
1617velv-cala-a1m1,11770,Curiosity,3,7,116,85,5,,0.70,28.2,27.0,29.9,27.5,-4.0,-1.5,0.0,0.0,26.2,23.0,7.0,5.8,-1.1,-0.5,-0.6,-0.1,
1617velv-cala-a1m1,9324,BWS Eagles,4,6,131,80,5,,0.60,26.3,24.9,26.6,23.9,13.4,12.2,0.0,0.0,16.9,15.1,-0.7,-0.2,-3.3,-2.2,3.0,3.1,
1617velv-cala-a1m1,11546,BWS Eaglets,5,6,126,70,5,,0.60,24.4,24.7,19.0,19.4,1.3,2.0,0.0,0.0,14.2,13.9,2.2,2.6,6.9,6.1,-1.4,-0.9,
1617velv-cala-a1m1,7758,Panda Works,6,6,110,65,5,,0.60,22.5,22.0,12.0,12.5,4.3,5.0,0.0,0.0,22.8,19.4,-2.8,-1.3,-1.8,-1.2,12.3,10.6,
1617velv-cala-a1m1,10446,RoboHuskies 2.0,7,5,156,41,5,,0.50,10.8,12.7,10.3,11.5,7.5,7.3,0.0,0.0,2.4,3.3,-3.1,-1.7,3.9,3.7,-3.4,-2.5,
1617velv-cala-a1m1,3526,Marlbots,8,5,126,85,5,,0.50,28.2,27.3,11.9,13.2,14.4,12.5,0.0,0.0,6.7,8.4,6.0,5.3,1.1,1.1,15.2,13.0,
1617velv-cala-a1m1,9887,RoboVikings,9,2,165,60,5,,0.20,14.8,16.4,17.6,17.6,14.0,13.0,0.0,0.0,-2.3,0.7,5.3,4.0,-2.3,-1.3,-0.6,0.1,
1617velv-cala-a1m1,7296,HuskyBots,10,2,100,70,5,,0.20,10.9,14.0,6.2,9.2,4.9,5.3,0.0,0.0,-4.6,-0.3,3.9,3.2,6.8,5.7,-2.0,-1.0,
1617velv-cala-a1m1,542,WHS Robotics,11,2,95,60,5,,0.20,22.7,22.0,6.6,8.2,5.1,6.0,0.0,0.0,0.8,1.6,1.1,1.1,15.6,13.3,0.5,0.4,
