TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA0Pk,RA1Pk,BTBeac,BTCent,BTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA0Pk,BA1Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-cala-bm2-Q-1,1,1,1,11334,11386,0,11333,11336,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,4,4,5,0,0,0,0,0,0,0,true,0,0,0,1,0,0,1,0,0,0,0,0,
1617velv-cala-bm2-Q-2,1,1,2,11385,11379,0,11332,11380,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,2,0,0,0,0,1,1,0,0,true,0,0,0,3,2,0,0,0,1,0,0,1,
1617velv-cala-bm2-Q-3,1,1,3,11335,11336,0,11337,11385,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,1,3,0,9,0,0,0,0,0,0,0,true,0,0,2,3,4,0,0,0,0,0,0,0,
1617velv-cala-bm2-Q-4,1,1,4,11380,11334,0,11337,11386,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,0,0,0,0,1,1,0,0,true,0,0,3,0,4,0,0,0,1,0,0,1,
1617velv-cala-bm2-Q-5,1,1,5,11335,11333,0,11332,11379,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,1,0,6,0,0,0,0,0,0,0,false,0,0,0,0,2,3,0,0,0,0,0,0,
1617velv-cala-bm2-Q-6,1,1,6,11334,11379,0,11385,11336,0,0,0,0,false,false,false,0,0,0,false,false,false,1,0,0,1,0,0,1,0,true,0,0,0,4,4,1,0,0,0,0,0,0,0,true,0,0,2,3,0,0,1,0,0,0,0,0,
1617velv-cala-bm2-Q-7,1,1,7,11386,11380,0,11335,11332,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,0,0,0,3,2,0,0,0,0,0,0,0,0,true,2,0,0,1,1,6,0,0,0,0,0,0,
1617velv-cala-bm2-Q-8,1,1,8,11333,11332,0,11337,11336,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,2,1,0,0,0,0,1,0,0,true,0,0,0,1,2,0,2,0,1,0,0,0,
1617velv-cala-bm2-Q-9,1,1,9,11337,11334,0,11335,11379,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,4,1,1,4,0,0,0,0,0,0,0,true,2,0,3,1,3,4,1,0,0,0,0,0,
1617velv-cala-bm2-Q-10,1,1,10,11386,11333,0,11385,11380,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,2,0,0,0,0,0,0,0,0,true,0,0,2,0,2,0,0,0,0,0,0,0,
1617velv-cala-bm2-Q-11,1,1,11,11336,11334,0,11335,11380,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,3,2,3,1,0,0,0,0,0,0,true,1,0,0,1,2,1,0,0,0,0,0,0,
1617velv-cala-bm2-Q-12,1,1,12,11337,11379,0,11385,11386,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,3,0,0,2,0,0,0,0,0,0,true,0,0,2,3,4,0,0,1,0,0,0,0,
1617velv-cala-bm2-Q-13,1,1,13,11332,11385,0,11333,11334,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,4,0,0,0,0,0,0,0,0,true,0,0,0,0,0,1,0,0,0,0,0,0,
