TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-cala-bm2,11335,Delta Tech,1,10,251,96,5,,1.00,64.8,55.0,72.1,59.4,35.0,29.3,0.0,0.0,33.4,27.8,0.4,0.2,-3.9,-2.4,-3.3,-2.0,
1617velv-cala-bm2,11332,LASERS,2,8,162,80,5,,0.80,35.3,31.8,27.3,24.4,2.3,3.4,0.0,0.0,23.5,20.3,-0.1,-0.1,9.7,8.1,-1.6,-0.7,
1617velv-cala-bm2,11380,Golden Path,3,6,161,70,5,,0.60,6.2,13.0,-12.5,-2.4,6.2,7.6,0.0,0.0,-8.1,-1.7,-0.8,-0.5,8.9,7.4,9.8,8.0,
1617velv-cala-bm2,11385,Thee Wood Warriors,4,6,132,70,5,,0.60,21.3,21.1,21.0,19.5,8.5,7.9,0.0,0.0,14.9,14.1,1.7,1.4,-3.9,-2.3,4.1,3.9,
1617velv-cala-bm2,11386,Nitron 10,5,6,113,90,5,,0.60,50.9,44.2,46.9,39.9,12.6,11.4,0.0,0.0,30.4,26.0,2.0,1.6,5.9,5.2,-1.9,-0.9,
1617velv-cala-bm2,11379,PowerOp,6,4,143,96,5,,0.40,13.3,17.7,5.6,11.2,3.5,5.1,0.0,0.0,9.6,12.1,-0.3,-0.2,0.5,0.5,7.2,5.9,
1617velv-cala-bm2,11333,Samurai,7,4,113,70,5,,0.40,-7.2,1.4,-7.7,0.9,0.4,2.5,0.0,0.0,-7.2,-1.3,-0.4,-0.3,0.0,0.4,0.5,0.2,
1617velv-cala-bm2,11336,Hub Squad,8,2,170,90,5,,0.20,14.2,16.4,13.0,15.5,7.8,8.6,0.0,0.0,6.1,7.7,-0.2,-0.1,0.4,0.2,0.8,0.8,
1617velv-cala-bm2,11337,Robonauts,9,2,159,90,5,,0.20,23.5,24.1,14.5,16.1,6.4,6.7,0.0,0.0,9.9,11.2,-0.7,-0.5,7.9,6.6,1.2,1.4,
1617velv-cala-bm2,11334,Alpha Tech,10,2,122,80,5,,0.20,26.7,24.0,25.2,21.4,5.5,5.2,0.0,0.0,23.4,20.0,0.1,-0.0,-2.3,-1.2,3.7,3.8,
